wavelength,reflectance
1300.0,0.4818
1302.0,0.4808
1304.0,0.4803
1306.0,0.47869999999999996
1308.0,0.47979999999999995
1310.0,0.4806
1312.0,0.48
1314.0,0.48090000000000005
1316.0,0.4814
1318.0,0.47979999999999995
1320.0,0.4797
1322.0,0.4788
1324.0,0.4778
1326.0,0.47759999999999997
1328.0,0.47609999999999997
1330.0,0.4764
1332.0,0.4783
1334.0,0.47869999999999996
1336.0,0.4783
1338.0,0.4782
1340.0,0.47740000000000005
1342.0,0.4779
1344.0,0.47850000000000004
1346.0,0.4779
1348.0,0.4779
1350.0,0.4779
1352.0,0.4779
1354.0,0.4782
1356.0,0.47850000000000004
1358.0,0.4788
1360.0,0.47909999999999997
1362.0,0.4794
1364.0,0.47979999999999995
1366.0,0.4799
1368.0,0.48
1370.0,0.48009999999999997
1372.0,0.48009999999999997
1374.0,0.48009999999999997
1376.0,0.4802
1378.0,0.48
1380.0,0.47950000000000004
1382.0,0.4789
1384.0,0.4779
1386.0,0.4768
1388.0,0.47490000000000004
1390.0,0.4727
1392.0,0.4705
1394.0,0.4678
1396.0,0.465
1398.0,0.4628
1400.0,0.4606
1402.0,0.4587
1404.0,0.4572
1406.0,0.4557
1408.0,0.4546
1410.0,0.4547
1412.0,0.4561
1414.0,0.4582
1416.0,0.46090000000000003
1418.0,0.46399999999999997
1420.0,0.4672
1422.0,0.4705
1424.0,0.47350000000000003
1426.0,0.47600000000000003
1428.0,0.478
1430.0,0.4799
1432.0,0.4816
1434.0,0.48310000000000003
1436.0,0.4842
1438.0,0.48479999999999995
1440.0,0.48619999999999997
1442.0,0.48700000000000004
1444.0,0.4877
1446.0,0.4886
1448.0,0.4893
1450.0,0.4901
1452.0,0.4911
1454.0,0.4915
1456.0,0.4918
1458.0,0.4926
1460.0,0.49340000000000006
1462.0,0.49420000000000003
1464.0,0.4949
1466.0,0.49520000000000003
1468.0,0.49570000000000003
1470.0,0.4963
1472.0,0.49700000000000005
1474.0,0.498
1476.0,0.4988
1478.0,0.4996
1480.0,0.5004
1482.0,0.5008
1484.0,0.5018
1486.0,0.5028
1488.0,0.5036
1490.0,0.5044
1492.0,0.5054
1494.0,0.50625
1496.0,0.5073
1498.0,0.5085000000000001
1500.0,0.5092
1502.0,0.5097
1504.0,0.5105
1506.0,0.5113
1508.0,0.5122
1510.0,0.5131
1512.0,0.5139
1514.0,0.5144
1516.0,0.5151
1518.0,0.51595
1520.0,0.5166
1522.0,0.5173
1524.0,0.5182
1526.0,0.5189
1528.0,0.51955
1530.0,0.5204
1532.0,0.521
1534.0,0.52135
1536.0,0.5222
1538.0,0.5227
1540.0,0.5234000000000001
1542.0,0.5245000000000001
1544.0,0.5254
1546.0,0.5259
1548.0,0.5265
1550.0,0.5268
1552.0,0.5273
1554.0,0.528
1556.0,0.5286
1558.0,0.5295000000000001
1560.0,0.5305
1562.0,0.5312
1564.0,0.5316
1566.0,0.53175
1568.0,0.5326
1570.0,0.5334
1572.0,0.534
1574.0,0.5344
1576.0,0.535
1578.0,0.5355
1580.0,0.5362
1582.0,0.5367000000000001
1584.0,0.5374
1586.0,0.5378499999999999
1588.0,0.5381
1590.0,0.5384
1592.0,0.5392
1594.0,0.5396500000000001
1596.0,0.5403
1598.0,0.5404
1600.0,0.5406
1602.0,0.541
1604.0,0.5414
1606.0,0.5417000000000001
1608.0,0.5422
1610.0,0.5427000000000001
1612.0,0.5431
1614.0,0.54325
1616.0,0.5437
1618.0,0.5442
1620.0,0.5447
1622.0,0.5449
1624.0,0.5453
1626.0,0.5454
1628.0,0.5455
1630.0,0.5457
1632.0,0.5463
1634.0,0.5468500000000001
1636.0,0.5468
1638.0,0.5465
1640.0,0.5464
1642.0,0.5468
1644.0,0.547
1646.0,0.5466
1648.0,0.5459
1650.0,0.5461
1652.0,0.5465
1654.0,0.5468500000000001
1656.0,0.5473
1658.0,0.5479999999999999
