wavelength,reflectance
1300.0,0.3779
1302.0,0.3811
1304.0,0.385
1306.0,0.3856
1308.0,0.38530000000000003
1310.0,0.3872
1312.0,0.3901
1314.0,0.3917
1316.0,0.3912
1318.0,0.3911
1320.0,0.3925
1322.0,0.39490000000000003
1324.0,0.39740000000000003
1326.0,0.39875
1328.0,0.39990000000000003
1330.0,0.4014
1332.0,0.40325000000000005
1334.0,0.405
1336.0,0.4068
1338.0,0.40880000000000005
1340.0,0.41
1342.0,0.41100000000000003
1344.0,0.4127
1346.0,0.41479999999999995
1348.0,0.4163
1350.0,0.4181
1352.0,0.4194
1354.0,0.42100000000000004
1356.0,0.4226
1358.0,0.4242
1360.0,0.4257
1362.0,0.42710000000000004
1364.0,0.42829999999999996
1366.0,0.42950000000000005
1368.0,0.4305
1370.0,0.43189999999999995
1372.0,0.4335
1374.0,0.4349
1376.0,0.436
1378.0,0.4372
1380.0,0.43829999999999997
1382.0,0.43939999999999996
1384.0,0.4403
1386.0,0.4411
1388.0,0.4416
1390.0,0.44189999999999996
1392.0,0.44179999999999997
1394.0,0.44189999999999996
1396.0,0.4424
1398.0,0.44299999999999995
1400.0,0.444
1402.0,0.445
1404.0,0.4454
1406.0,0.4451
1408.0,0.4432
1410.0,0.4399
1412.0,0.4366
1414.0,0.4347
1416.0,0.4355
1418.0,0.439
1420.0,0.4435
1422.0,0.4468
1424.0,0.44630000000000003
1426.0,0.439
1428.0,0.4233
1430.0,0.4004
1432.0,0.3768
1434.0,0.36200000000000004
1436.0,0.36310000000000003
1438.0,0.3799
1440.0,0.4052
1442.0,0.4291
1444.0,0.4457
1446.0,0.455
1448.0,0.45990000000000003
1450.0,0.4628
1452.0,0.46490000000000004
1454.0,0.46590000000000004
1456.0,0.4661
1458.0,0.4657
1460.0,0.465
1462.0,0.4636
1464.0,0.46149999999999997
1466.0,0.45890000000000003
1468.0,0.45549999999999996
1470.0,0.4509
1472.0,0.4445
1474.0,0.4355
1476.0,0.4242
1478.0,0.41259999999999997
1480.0,0.4045
1482.0,0.40415
1484.0,0.413
1486.0,0.42810000000000004
1488.0,0.4445
1490.0,0.4586
1492.0,0.4692
1494.0,0.47659999999999997
1496.0,0.48200000000000004
1498.0,0.486
1500.0,0.489
1502.0,0.4913
1504.0,0.49340000000000006
1506.0,0.4953
1508.0,0.4971
1510.0,0.4988
1512.0,0.5005
1514.0,0.5019
1516.0,0.5034000000000001
1518.0,0.5051
1520.0,0.5065
1522.0,0.5079
1524.0,0.5091
1526.0,0.5101
1528.0,0.5109
1530.0,0.5119
1532.0,0.513
1534.0,0.514
1536.0,0.515
1538.0,0.51595
1540.0,0.517
1542.0,0.5177499999999999
1544.0,0.51845
1546.0,0.519
1548.0,0.51955
1550.0,0.52025
1552.0,0.5213
1554.0,0.5219
1556.0,0.5225
1558.0,0.5233
1560.0,0.5238
1562.0,0.5244
1564.0,0.5249
1566.0,0.5254
1568.0,0.5265
1570.0,0.5272
1572.0,0.5276
1574.0,0.528
1576.0,0.52815
1578.0,0.5284
1580.0,0.5292
1582.0,0.5297
1584.0,0.5302
1586.0,0.5307999999999999
1588.0,0.5316
1590.0,0.5322
1592.0,0.5328
1594.0,0.5333
1596.0,0.53355
1598.0,0.5341
1600.0,0.5342
1602.0,0.5343
1604.0,0.5346
1606.0,0.5352
1608.0,0.5359
1610.0,0.5362
1612.0,0.5363
1614.0,0.5366
1616.0,0.5368999999999999
1618.0,0.53715
1620.0,0.5375
1622.0,0.5377000000000001
1624.0,0.5378000000000001
1626.0,0.5381
1628.0,0.5384
1630.0,0.53895
1632.0,0.5393
1634.0,0.5393
1636.0,0.5393
1638.0,0.5393
1640.0,0.5394
1642.0,0.5396
1644.0,0.5399
1646.0,0.5402
1648.0,0.5402
1650.0,0.5401
1652.0,0.5402
1654.0,0.5406
1656.0,0.5412
1658.0,0.5414
1660.0,0.5412
1662.0,0.5407500000000001
1664.0,0.5407
1666.0,0.5405
1668.0,0.5402
1670.0,0.5402
1672.0,0.5404
1674.0,0.541
1676.0,0.5411
1678.0,0.541
1680.0,0.5407500000000001
1682.0,0.541
1684.0,0.5411
1686.0,0.5414
1688.0,0.5414
1690.0,0.5413
1692.0,0.5414
1694.0,0.5413
1696.0,0.5416
1698.0,0.542
1700.0,0.5422
1702.0,0.5424
1704.0,0.5424
1706.0,0.5423
1708.0,0.5423
1710.0,0.5422
1712.0,0.5423
1714.0,0.5426
1716.0,0.542
