wavelength,reflectance
1300.0,0.7111
1302.0,0.7099
1304.0,0.7120000000000001
1306.0,0.7111
1308.0,0.7075
1310.0,0.7077500000000001
1312.0,0.7091
1314.0,0.7084999999999999
1316.0,0.7077500000000001
1318.0,0.7070000000000001
1320.0,0.705
1322.0,0.7043
1324.0,0.70345
1326.0,0.70345
1328.0,0.7031999999999999
1330.0,0.7025
1332.0,0.7021
1334.0,0.7006999999999999
1336.0,0.6997
1338.0,0.6986
1340.0,0.6972
1342.0,0.6962999999999999
1344.0,0.6966
1346.0,0.6975
1348.0,0.6987000000000001
1350.0,0.6997
1352.0,0.7001000000000001
1354.0,0.7001999999999999
1356.0,0.7003
1358.0,0.7006999999999999
1360.0,0.7014
1362.0,0.7019
1364.0,0.7021999999999999
1366.0,0.7021
1368.0,0.7012999999999999
1370.0,0.7006999999999999
1372.0,0.7004
1374.0,0.7001999999999999
1376.0,0.7003
1378.0,0.7003
1380.0,0.6990999999999999
1382.0,0.6988
1384.0,0.6981999999999999
1386.0,0.6975
1388.0,0.6962999999999999
1390.0,0.6949
1392.0,0.693
1394.0,0.691
1396.0,0.6879000000000001
1398.0,0.6839
1400.0,0.6790999999999999
1402.0,0.6739
1404.0,0.6693000000000001
1406.0,0.6657500000000001
1408.0,0.6629999999999999
1410.0,0.66035
1412.0,0.6572
1414.0,0.6524
1416.0,0.6467
1418.0,0.6399
1420.0,0.6325999999999999
1422.0,0.6251
1424.0,0.6175
1426.0,0.6099
1428.0,0.602
1430.0,0.59355
1432.0,0.585
1434.0,0.5753
1436.0,0.56445
1438.0,0.5513
1440.0,0.5362
1442.0,0.5213
1444.0,0.51
1446.0,0.5055
1448.0,0.5091
1450.0,0.5197999999999999
1452.0,0.5349
1454.0,0.5509000000000001
1456.0,0.5657
1458.0,0.5783
1460.0,0.5889
1462.0,0.5976
1464.0,0.6049
1466.0,0.6106
1468.0,0.61545
1470.0,0.6189
1472.0,0.6219
1474.0,0.6242
1476.0,0.6258
1478.0,0.6269
1480.0,0.6278
1482.0,0.6284000000000001
1484.0,0.6292
1486.0,0.6299
1488.0,0.6303
1490.0,0.6303
1492.0,0.6302
1494.0,0.6301
1496.0,0.6299
1498.0,0.6293
1500.0,0.629
1502.0,0.6285000000000001
1504.0,0.628
1506.0,0.62765
1508.0,0.6273
1510.0,0.6267
1512.0,0.6262
1514.0,0.6254
1516.0,0.6243
1518.0,0.62335
1520.0,0.6225
1522.0,0.622
1524.0,0.6225
1526.0,0.624
1528.0,0.6263000000000001
1530.0,0.62945
1532.0,0.6328
1534.0,0.6361
1536.0,0.63915
1538.0,0.6415000000000001
1540.0,0.6434000000000001
1542.0,0.6452500000000001
1544.0,0.647
1546.0,0.6485
1548.0,0.6498
1550.0,0.6506000000000001
1552.0,0.6511
1554.0,0.6514
1556.0,0.6518999999999999
1558.0,0.6523
1560.0,0.6529
1562.0,0.6527
1564.0,0.6524
1566.0,0.6522
1568.0,0.6522
1570.0,0.6520999999999999
1572.0,0.6518999999999999
1574.0,0.6512
1576.0,0.65065
1578.0,0.6501
1580.0,0.6494
1582.0,0.6487
1584.0,0.6476999999999999
1586.0,0.6466
1588.0,0.6454000000000001
1590.0,0.6442
1592.0,0.6431
1594.0,0.6423000000000001
1596.0,0.6411
1598.0,0.6396999999999999
1600.0,0.6381
1602.0,0.6366499999999999
1604.0,0.6357
1606.0,0.6345000000000001
1608.0,0.63305
1610.0,0.6312
1612.0,0.62945
1614.0,0.6282
1616.0,0.62695
1618.0,0.6257
1620.0,0.6242
1622.0,0.6225
1624.0,0.6207
1626.0,0.61905
1628.0,0.6175
1630.0,0.6158
1632.0,0.6142
1634.0,0.6121
1636.0,0.6103000000000001
1638.0,0.6086
1640.0,0.607
1642.0,0.6054999999999999
1644.0,0.6038
1646.0,0.6021
1648.0,0.6007
1650.0,0.5992999999999999
1652.0,0.598
1654.0,0.5966
1656.0,0.595
1658.0,0.5935
1660.0,0.5916
1662.0,0.58995
1664.0,0.5889
1666.0,0.5871999999999999
1668.0,0.5854
1670.0,0.5838
1672.0,0.5822999999999999
1674.0,0.5814
1676.0,0.5802499999999999
1678.0,0.5788
1680.0,0.5772999999999999
1682.0,0.5758
1684.0,0.5741499999999999
1686.0,0.5727
1688.0,0.5714
1690.0,0.5696
1692.0,0.5679
1694.0,0.5661
1696.0,0.5639
1698.0,0.5617
1700.0,0.5597
1702.0,0.5579
1704.0,0.556
1706.0,0.5542
1708.0,0.5522
1710.0,0.5505
1712.0,0.5489
1714.0,0.5472
1716.0,0.5456
1718.0,0.5442
1720.0,0.5432
1722.0,0.542
1724.0,0.541
1726.0,0.5405
1728.0,0.54
1730.0,0.5394
1732.0,0.5388000000000001
1734.0,0.5379999999999999
1736.0,0.5374
1738.0,0.5368999999999999
1740.0,0.5364
1742.0,0.5355
1744.0,0.5342
1746.0,0.5333
1748.0,0.5323
1750.0,0.5316
1752.0,0.5314
1754.0,0.5307
1756.0,0.5303
1758.0,0.5297
1760.0,0.5292
1762.0,0.5288
1764.0,0.5281
1766.0,0.5278
1768.0,0.5273
1770.0,0.5268999999999999
1772.0,0.5263
1774.0,0.5259
1776.0,0.5256000000000001
1778.0,0.5255
1780.0,0.5251
1782.0,0.5246999999999999
1784.0,0.5245000000000001
1786.0,0.5244
1788.0,0.5241
1790.0,0.5238499999999999
1792.0,0.5235
1794.0,0.52315
1796.0,0.5231
1798.0,0.5228
1800.0,0.5228
1802.0,0.5227
1804.0,0.5224
1806.0,0.5223
1808.0,0.52205
1810.0,0.522
1812.0,0.5223
1814.0,0.52205
1816.0,0.522
1818.0,0.5222
1820.0,0.5226
1822.0,0.5228
1824.0,0.5226
1826.0,0.52205
1828.0,0.5219
1830.0,0.5223
1832.0,0.5226
1834.0,0.5227
1836.0,0.5224
1838.0,0.5222
1840.0,0.5222
1842.0,0.5218
1844.0,0.5215
1846.0,0.5207999999999999
1848.0,0.5197999999999999
1850.0,0.5188
1852.0,0.5179
1854.0,0.5168
1856.0,0.5155
1858.0,0.5138
1860.0,0.5119
1862.0,0.5102
1864.0,0.508
1866.0,0.5054
1868.0,0.5024000000000001
1870.0,0.49979999999999997
1872.0,0.4974
1874.0,0.4949
1876.0,0.49219999999999997
1878.0,0.4892
1880.0,0.4857
1882.0,0.48100000000000004
1884.0,0.4755
1886.0,0.4693
1888.0,0.46149999999999997
1890.0,0.4523
1892.0,0.4403
1894.0,0.42590000000000006
1896.0,0.40845
1898.0,0.3884
1900.0,0.3667
1902.0,0.34450000000000003
1904.0,0.32289999999999996
1906.0,0.3025
1908.0,0.2836
1910.0,0.2675
1912.0,0.25615
1914.0,0.2522
1916.0,0.25739999999999996
1918.0,0.2706
1920.0,0.2895
1922.0,0.311
1924.0,0.33159999999999995
1926.0,0.34990000000000004
1928.0,0.3655
