wavelength,reflectance
1300.0,0.6382
1302.0,0.6379
1304.0,0.6386
1306.0,0.6389
1308.0,0.6391
1310.0,0.63845
1312.0,0.63735
1314.0,0.6361
1316.0,0.6352
1318.0,0.6353
1320.0,0.6358
1322.0,0.6368
1324.0,0.638
1326.0,0.6379
1328.0,0.6375
1330.0,0.6368
1332.0,0.6362
1334.0,0.6358
1336.0,0.6358
1338.0,0.636
1340.0,0.6364
1342.0,0.6363
1344.0,0.636
1346.0,0.6355
1348.0,0.6347999999999999
1350.0,0.634
1352.0,0.6334000000000001
1354.0,0.6325999999999999
1356.0,0.6325
1358.0,0.6328
1360.0,0.6333
1362.0,0.6333
1364.0,0.63305
1366.0,0.6327
1368.0,0.6324000000000001
1370.0,0.6321
1372.0,0.6315999999999999
1374.0,0.6308
1376.0,0.6303
1378.0,0.6299
1380.0,0.6296
1382.0,0.6291
1384.0,0.6282
1386.0,0.6271
1388.0,0.626
1390.0,0.6246
1392.0,0.6228
1394.0,0.61975
1396.0,0.6163000000000001
1398.0,0.6124
1400.0,0.609
1402.0,0.6057
1404.0,0.6029
1406.0,0.5999
1408.0,0.5971
1410.0,0.5947
1412.0,0.5938
1414.0,0.5948
1416.0,0.5975
1418.0,0.6009
1420.0,0.6046
1422.0,0.6081
1424.0,0.6115999999999999
1426.0,0.615
1428.0,0.6181
1430.0,0.6203
1432.0,0.6221
1434.0,0.6231
1436.0,0.6238
1438.0,0.6246
1440.0,0.6249
1442.0,0.62515
1444.0,0.6255
1446.0,0.62585
1448.0,0.6261
1450.0,0.6262
1452.0,0.6265
1454.0,0.6265999999999999
1456.0,0.6265
1458.0,0.6265
1460.0,0.6264
1462.0,0.6262
1464.0,0.6257
1466.0,0.625
1468.0,0.6246
1470.0,0.6245
1472.0,0.6248
1474.0,0.6251
1476.0,0.6251
1478.0,0.6253
1480.0,0.6256
1482.0,0.6255
1484.0,0.6251
1486.0,0.6249
1488.0,0.6249
1490.0,0.62515
1492.0,0.62515
1494.0,0.625
1496.0,0.6248
1498.0,0.6249
1500.0,0.6253
1502.0,0.6254
1504.0,0.625
1506.0,0.6248
1508.0,0.6248
1510.0,0.6251
1512.0,0.6249
1514.0,0.6247
1516.0,0.6242
1518.0,0.6238
1520.0,0.6236
1522.0,0.6236
1524.0,0.6236999999999999
1526.0,0.6238
1528.0,0.6236999999999999
1530.0,0.6233
1532.0,0.6231
1534.0,0.6229
1536.0,0.6225999999999999
1538.0,0.6225999999999999
1540.0,0.6228
1542.0,0.623
1544.0,0.6228
1546.0,0.6225
1548.0,0.6223
1550.0,0.6222
1552.0,0.6222
1554.0,0.6223
1556.0,0.6224000000000001
1558.0,0.6225999999999999
1560.0,0.6229
1562.0,0.6231
1564.0,0.6232
1566.0,0.6231
1568.0,0.6229
1570.0,0.6229
1572.0,0.623
1574.0,0.6227
1576.0,0.6227
1578.0,0.6225999999999999
1580.0,0.6225
1582.0,0.6225999999999999
1584.0,0.6225
1586.0,0.6223
1588.0,0.6221
1590.0,0.6221
1592.0,0.6221
1594.0,0.622
1596.0,0.6217
1598.0,0.6218
1600.0,0.6218
1602.0,0.622
1604.0,0.6221
1606.0,0.6221
1608.0,0.622
1610.0,0.6218
1612.0,0.62155
1614.0,0.62155
1616.0,0.6217
1618.0,0.62155
1620.0,0.6214999999999999
1622.0,0.6214
1624.0,0.6214
1626.0,0.6214999999999999
1628.0,0.6214999999999999
1630.0,0.6214999999999999
1632.0,0.6214999999999999
1634.0,0.6213000000000001
1636.0,0.6211
1638.0,0.6211
1640.0,0.6211
1642.0,0.6212
1644.0,0.6213000000000001
1646.0,0.6212
1648.0,0.6208
1650.0,0.6206
1652.0,0.6204999999999999
1654.0,0.6204999999999999
1656.0,0.6206
1658.0,0.6204
1660.0,0.6202000000000001
1662.0,0.6202000000000001
1664.0,0.6202000000000001
1666.0,0.6203
1668.0,0.6202000000000001
1670.0,0.62
1672.0,0.6199
1674.0,0.62
1676.0,0.6203
1678.0,0.62
1680.0,0.6197
1682.0,0.6195
1684.0,0.6194
1686.0,0.6196
1688.0,0.6196
1690.0,0.6193
1692.0,0.619
1694.0,0.61905
1696.0,0.61905
1698.0,0.619
1700.0,0.6188
1702.0,0.6187
1704.0,0.6187
1706.0,0.6188
1708.0,0.6187
1710.0,0.6189
