wavelength,reflectance
1300.0,0.5863499999999999
1302.0,0.5893999999999999
1304.0,0.5902000000000001
1306.0,0.5909
1308.0,0.5926
1310.0,0.5931000000000001
1312.0,0.5942000000000001
1314.0,0.597
1316.0,0.5985499999999999
1318.0,0.6009
1320.0,0.6032500000000001
1322.0,0.6051
1324.0,0.6061
1326.0,0.6069
1328.0,0.6079
1330.0,0.6086
1332.0,0.6099
1334.0,0.612
1336.0,0.6138
1338.0,0.6153
1340.0,0.6167
1342.0,0.6175
1344.0,0.6188
1346.0,0.6206
1348.0,0.6224000000000001
1350.0,0.624
1352.0,0.6258
1354.0,0.6267
1356.0,0.6281
1358.0,0.6297
1360.0,0.6312
1362.0,0.6328
1364.0,0.6342
1366.0,0.63555
1368.0,0.637
1370.0,0.6383
1372.0,0.6393
1374.0,0.6397999999999999
1376.0,0.6406999999999999
1378.0,0.6417
1380.0,0.643
1382.0,0.6442
1384.0,0.6452
1386.0,0.6459
1388.0,0.6465000000000001
1390.0,0.6467
1392.0,0.647
1394.0,0.6472
1396.0,0.6475
1398.0,0.6475
1400.0,0.6472
1402.0,0.64705
1404.0,0.64705
1406.0,0.6472
1408.0,0.6476000000000001
1410.0,0.6479
1412.0,0.6483
1414.0,0.6486
1416.0,0.64885
1418.0,0.6492
1420.0,0.6493000000000001
1422.0,0.6495000000000001
1424.0,0.65
1426.0,0.6507999999999999
1428.0,0.6513
1430.0,0.6514
1432.0,0.6515000000000001
1434.0,0.6515000000000001
1436.0,0.6514
1438.0,0.6518
1440.0,0.6518
1442.0,0.6518999999999999
1444.0,0.652
1446.0,0.6518
1448.0,0.6516
1450.0,0.6514
1452.0,0.6506000000000001
1454.0,0.6496999999999999
1456.0,0.649
1458.0,0.64815
1460.0,0.6474
1462.0,0.6459999999999999
1464.0,0.6443000000000001
1466.0,0.6426000000000001
1468.0,0.6406000000000001
1470.0,0.639
1472.0,0.6373
1474.0,0.6357
1476.0,0.6342
1478.0,0.6325999999999999
1480.0,0.63125
1482.0,0.6304
1484.0,0.6301
1486.0,0.6301
1488.0,0.6307
1490.0,0.6315
1492.0,0.63305
1494.0,0.6347999999999999
1496.0,0.637
1498.0,0.63915
1500.0,0.6411
1502.0,0.6429
1504.0,0.6444
1506.0,0.6461
1508.0,0.6479
1510.0,0.6493000000000001
1512.0,0.6504000000000001
1514.0,0.6512
1516.0,0.6518
1518.0,0.6520999999999999
1520.0,0.6520999999999999
1522.0,0.6520999999999999
1524.0,0.6522
1526.0,0.6524
1528.0,0.6528
1530.0,0.65315
1532.0,0.6537999999999999
1534.0,0.6541
1536.0,0.6542
1538.0,0.65425
1540.0,0.6546
1542.0,0.6552
1544.0,0.6562
1546.0,0.65675
1548.0,0.6574
1550.0,0.6578
1552.0,0.6584
1554.0,0.659
1556.0,0.6596
1558.0,0.6601
1560.0,0.6606000000000001
1562.0,0.6613
1564.0,0.6617000000000001
1566.0,0.6617000000000001
1568.0,0.6617000000000001
1570.0,0.662
1572.0,0.6628000000000001
1574.0,0.6633
1576.0,0.6637000000000001
1578.0,0.6642
1580.0,0.6646
1582.0,0.6648999999999999
1584.0,0.6646500000000001
1586.0,0.6643000000000001
1588.0,0.6644
1590.0,0.665
1592.0,0.6657500000000001
1594.0,0.6661
1596.0,0.6662
1598.0,0.6659
1600.0,0.6656
1602.0,0.6653
1604.0,0.6651
1606.0,0.6648999999999999
1608.0,0.6648000000000001
1610.0,0.6646500000000001
1612.0,0.6645
1614.0,0.6640999999999999
1616.0,0.6638
1618.0,0.6634
1620.0,0.6633
1622.0,0.6631
1624.0,0.6628000000000001
1626.0,0.6625
1628.0,0.66215
1630.0,0.6617000000000001
1632.0,0.6615000000000001
1634.0,0.66105
1636.0,0.6607999999999999
1638.0,0.66035
1640.0,0.6598
1642.0,0.6593000000000001
1644.0,0.659
1646.0,0.6585500000000001
1648.0,0.6583
1650.0,0.6578
1652.0,0.6578
1654.0,0.6577
1656.0,0.6573
1658.0,0.657
1660.0,0.6564
1662.0,0.6559999999999999
1664.0,0.6557999999999999
1666.0,0.6556000000000001
1668.0,0.6551
1670.0,0.6541
1672.0,0.6533
1674.0,0.6528
1676.0,0.6529
1678.0,0.653
1680.0,0.6527
1682.0,0.6524
1684.0,0.652
1686.0,0.6518
1688.0,0.6517000000000001
1690.0,0.6515000000000001
1692.0,0.6515000000000001
1694.0,0.6514
1696.0,0.6507999999999999
1698.0,0.6506000000000001
1700.0,0.6504000000000001
1702.0,0.6501
1704.0,0.6496999999999999
1706.0,0.6491
1708.0,0.6487
1710.0,0.6483
1712.0,0.6476999999999999
1714.0,0.6472
1716.0,0.6463
1718.0,0.6456999999999999
1720.0,0.6448999999999999
1722.0,0.6439
1724.0,0.6433
1726.0,0.6426000000000001
1728.0,0.642
1730.0,0.6417
1732.0,0.6413
1734.0,0.6406999999999999
1736.0,0.6399
1738.0,0.6389
1740.0,0.638
1742.0,0.6375
1744.0,0.6365999999999999
1746.0,0.6358
1748.0,0.6352
1750.0,0.6346
1752.0,0.634
1754.0,0.633
1756.0,0.6315999999999999
1758.0,0.6308
1760.0,0.6301
1762.0,0.6292
1764.0,0.6279
1766.0,0.6265999999999999
1768.0,0.6256
1770.0,0.6246
1772.0,0.6236999999999999
1774.0,0.6227
1776.0,0.6217
1778.0,0.6204999999999999
1780.0,0.6194
1782.0,0.6186
1784.0,0.61795
1786.0,0.6171
1788.0,0.6158
1790.0,0.6147
1792.0,0.6136
1794.0,0.6126
1796.0,0.6115999999999999
1798.0,0.6103999999999999
1800.0,0.6093500000000001
1802.0,0.6086
1804.0,0.608
1806.0,0.6072
1808.0,0.6062
1810.0,0.605
1812.0,0.6036
1814.0,0.6028
1816.0,0.602
1818.0,0.601
1820.0,0.5999
1822.0,0.5982
1824.0,0.59605
1826.0,0.5939
1828.0,0.5919
1830.0,0.5902000000000001
1832.0,0.5886
1834.0,0.5869
1836.0,0.5851
1838.0,0.5832
1840.0,0.5811999999999999
1842.0,0.5791
1844.0,0.5771000000000001
1846.0,0.57485
1848.0,0.5732
1850.0,0.5719
1852.0,0.5708
1854.0,0.5697
1856.0,0.5686
1858.0,0.5679
1860.0,0.5674
1862.0,0.5672
1864.0,0.56695
1866.0,0.56695
1868.0,0.5672999999999999
1870.0,0.568
1872.0,0.5683
1874.0,0.5687
1876.0,0.5690999999999999
1878.0,0.5699000000000001
1880.0,0.5707
1882.0,0.5716
1884.0,0.57235
1886.0,0.5732
1888.0,0.5737
1890.0,0.5737
1892.0,0.57305
1894.0,0.5722999999999999
1896.0,0.5718
1898.0,0.5710999999999999
1900.0,0.5703
1902.0,0.5690999999999999
1904.0,0.5677
1906.0,0.56695
1908.0,0.56625
1910.0,0.5656
1912.0,0.5646
1914.0,0.5637
1916.0,0.5626
1918.0,0.5624
1920.0,0.5621
1922.0,0.562
1924.0,0.5615
1926.0,0.5605
1928.0,0.5602
1930.0,0.5596
1932.0,0.5594
1934.0,0.5589999999999999
1936.0,0.5587
1938.0,0.5585
1940.0,0.5583
1942.0,0.5586
1944.0,0.5585
1946.0,0.5589999999999999
1948.0,0.5593
1950.0,0.5594
1952.0,0.5595
1954.0,0.5593
1956.0,0.5595
1958.0,0.5597
1960.0,0.5599000000000001
1962.0,0.5600999999999999
1964.0,0.5605
1966.0,0.5607
1968.0,0.5607
1970.0,0.5606
1972.0,0.5611
1974.0,0.5617
1976.0,0.5625
1978.0,0.5629
1980.0,0.5633
1982.0,0.5636
1984.0,0.5637
1986.0,0.5640999999999999
1988.0,0.56445
1990.0,0.565
1992.0,0.5654
1994.0,0.5655
1996.0,0.5655
1998.0,0.5654
2000.0,0.5655
2002.0,0.5658
2004.0,0.56625
2006.0,0.5665
2008.0,0.5667
2010.0,0.5668
2012.0,0.5667
2014.0,0.5667
2016.0,0.5666
2018.0,0.5665
2020.0,0.5666
2022.0,0.5665
2024.0,0.5665
2026.0,0.5664
2028.0,0.56625
2030.0,0.5666
2032.0,0.5661999999999999
2034.0,0.5657
2036.0,0.5654
2038.0,0.5654
2040.0,0.5654
2042.0,0.5658
2044.0,0.5658
2046.0,0.5657
2048.0,0.56515
2050.0,0.5647
2052.0,0.5649000000000001
2054.0,0.5647
2056.0,0.5644
2058.0,0.5638000000000001
2060.0,0.5635
2062.0,0.563
2064.0,0.5625
2066.0,0.5623
2068.0,0.5621
2070.0,0.562
2072.0,0.5623
2074.0,0.5624
2076.0,0.5621
2078.0,0.5615
2080.0,0.561
2082.0,0.5606
2084.0,0.5598
2086.0,0.5589
2088.0,0.5583
2090.0,0.5576
2092.0,0.5569
2094.0,0.5569
2096.0,0.5571
2098.0,0.55655
2100.0,0.55545
2102.0,0.5540999999999999
2104.0,0.55365
2106.0,0.5531
2108.0,0.5526
2110.0,0.5521
2112.0,0.5517
2114.0,0.5514
2116.0,0.5505
2118.0,0.5502
2120.0,0.5496
2122.0,0.54935
2124.0,0.5489999999999999
2126.0,0.5481
2128.0,0.5472
2130.0,0.546
2132.0,0.5453
2134.0,0.5449
2136.0,0.5444
2138.0,0.5436
2140.0,0.5423
2142.0,0.5412
2144.0,0.5407500000000001
2146.0,0.5402
2148.0,0.5395
2150.0,0.5385
2152.0,0.5377000000000001
2154.0,0.5374
2156.0,0.5368999999999999
2158.0,0.5360499999999999
2160.0,0.535
2162.0,0.53355
2164.0,0.5328
2166.0,0.532
2168.0,0.5313
2170.0,0.5307999999999999
2172.0,0.5297999999999999
2174.0,0.5288
2176.0,0.5273
2178.0,0.526
2180.0,0.5243
2182.0,0.5229
2184.0,0.5213
2186.0,0.51955
2188.0,0.518
2190.0,0.5163
2192.0,0.5151
2194.0,0.513
2196.0,0.5114
2198.0,0.51
2200.0,0.5085999999999999
2202.0,0.5067
2204.0,0.5041
2206.0,0.5024000000000001
2208.0,0.5011
2210.0,0.49979999999999997
2212.0,0.4984
2214.0,0.4968
2216.0,0.4959
2218.0,0.49420000000000003
2220.0,0.4926
2222.0,0.4911
2224.0,0.48960000000000004
2226.0,0.4876
2228.0,0.4857
2230.0,0.4842
2232.0,0.4828
2234.0,0.4805
2236.0,0.47729999999999995
2238.0,0.475
2240.0,0.4731
2242.0,0.4714
2244.0,0.46880000000000005
2246.0,0.46630000000000005
2248.0,0.4636
2250.0,0.4612
2252.0,0.4587
2254.0,0.45640000000000003
2256.0,0.4542
2258.0,0.45189999999999997
2260.0,0.4489
2262.0,0.4454
2264.0,0.4426
2266.0,0.4396
2268.0,0.43729999999999997
2270.0,0.4351
2272.0,0.43310000000000004
2274.0,0.4315
2276.0,0.43060000000000004
2278.0,0.4305
2280.0,0.4301
2282.0,0.42979999999999996
2284.0,0.4299
2286.0,0.4304
2288.0,0.4316
2290.0,0.4322
2292.0,0.43329999999999996
2294.0,0.4343
2296.0,0.4357
2298.0,0.4374
2300.0,0.4387
2302.0,0.44
2304.0,0.44189999999999996
2306.0,0.4437
2308.0,0.4456
2310.0,0.4474
2312.0,0.4495
2314.0,0.4508
2316.0,0.4524
2318.0,0.4539
2320.0,0.45549999999999996
2322.0,0.4567
2324.0,0.4586
2326.0,0.4606
2328.0,0.4619
2330.0,0.4635
2332.0,0.46490000000000004
2334.0,0.4661
2336.0,0.4664
2338.0,0.467
2340.0,0.46759999999999996
2342.0,0.4677
2344.0,0.4681
2346.0,0.4686
2348.0,0.46869999999999995
2350.0,0.46840000000000004
2352.0,0.46740000000000004
2354.0,0.467
2356.0,0.46619999999999995
2358.0,0.46549999999999997
2360.0,0.4643
2362.0,0.46399999999999997
2364.0,0.4637
2366.0,0.4635
2368.0,0.46240000000000003
2370.0,0.4607
2372.0,0.45880000000000004
2374.0,0.4582
2376.0,0.4571
2378.0,0.4562
2380.0,0.4543
2382.0,0.4524
2384.0,0.4499
2386.0,0.4486
2388.0,0.4475
2390.0,0.4461
2392.0,0.4446
2394.0,0.4424
2396.0,0.44
2398.0,0.4382
2400.0,0.4371
2402.0,0.4359
2404.0,0.4338
2406.0,0.43200000000000005
2408.0,0.43119999999999997
2410.0,0.4299
2412.0,0.4286
2414.0,0.4263
2416.0,0.425
2418.0,0.4239
2420.0,0.42340000000000005
2422.0,0.4216
2424.0,0.41950000000000004
2426.0,0.41729999999999995
2428.0,0.4163
2430.0,0.4144
2432.0,0.41259999999999997
2434.0,0.41090000000000004
2436.0,0.40979999999999994
2438.0,0.40840000000000004
2440.0,0.4064
2442.0,0.40509999999999996
2444.0,0.40325000000000005
2446.0,0.4018
2448.0,0.39990000000000003
2450.0,0.3986
2452.0,0.39740000000000003
2454.0,0.3962
2456.0,0.3947
2458.0,0.39354999999999996
2460.0,0.39280000000000004
2462.0,0.3924
2464.0,0.39159999999999995
2466.0,0.39130000000000004
2468.0,0.391
2470.0,0.3906
2472.0,0.39039999999999997
2474.0,0.3908
2476.0,0.39020000000000005
2478.0,0.3897
2480.0,0.3893
2482.0,0.38905
2484.0,0.3885
2486.0,0.3881
2488.0,0.38670000000000004
2490.0,0.38549999999999995
2492.0,0.384
2494.0,0.3825
2496.0,0.3807
2498.0,0.3804
2500.0,0.37979999999999997
