wavelength,reflectance
1300.0,0.667
1302.0,0.6661
1304.0,0.6648999999999999
1306.0,0.6655
1308.0,0.6673
1310.0,0.6662
1312.0,0.6657500000000001
1314.0,0.6648999999999999
1316.0,0.6628499999999999
1318.0,0.6637000000000001
1320.0,0.6646
1322.0,0.6659
1324.0,0.6662
1326.0,0.6657
1328.0,0.6638
1330.0,0.6636
1332.0,0.6642
1334.0,0.6648000000000001
1336.0,0.6655
1338.0,0.6655
1340.0,0.6646
1342.0,0.6646500000000001
1344.0,0.6651
1346.0,0.6648000000000001
1348.0,0.6643000000000001
1350.0,0.6639499999999999
1352.0,0.6642
1354.0,0.6644
1356.0,0.6643000000000001
1358.0,0.6644
1360.0,0.6642
1362.0,0.6644
1364.0,0.6646500000000001
1366.0,0.6646
1368.0,0.6646
1370.0,0.6648999999999999
1372.0,0.6643000000000001
1374.0,0.6646
1376.0,0.6642
1378.0,0.6640999999999999
1380.0,0.6642
1382.0,0.6640999999999999
1384.0,0.6639
1386.0,0.6639
1388.0,0.6634
1390.0,0.6631999999999999
1392.0,0.6629999999999999
1394.0,0.6624
1396.0,0.6618
1398.0,0.6609999999999999
1400.0,0.66035
1402.0,0.66035
1404.0,0.6606000000000001
1406.0,0.6606000000000001
1408.0,0.6606000000000001
1410.0,0.6602
1412.0,0.66
1414.0,0.6597
1416.0,0.6593000000000001
1418.0,0.6589
1420.0,0.6587000000000001
1422.0,0.6585
1424.0,0.6581
1426.0,0.6570999999999999
1428.0,0.6556000000000001
1430.0,0.6546
1432.0,0.6534
1434.0,0.6529
1436.0,0.6524
1438.0,0.6523
1440.0,0.6526000000000001
1442.0,0.6529
1444.0,0.653
1446.0,0.6529
1448.0,0.6522
1450.0,0.6513
1452.0,0.6502
1454.0,0.649
1456.0,0.648
1458.0,0.6469
1460.0,0.6459
1462.0,0.6445000000000001
1464.0,0.6422
1466.0,0.63915
1468.0,0.6339
1470.0,0.626
1472.0,0.6151
1474.0,0.6009
1476.0,0.5848
1478.0,0.5695
1480.0,0.5587
1482.0,0.5554
1484.0,0.56
1486.0,0.5709000000000001
1488.0,0.584
1490.0,0.5962
1492.0,0.606
1494.0,0.6132
1496.0,0.6189
1498.0,0.6244
1500.0,0.6299
1502.0,0.6357
1504.0,0.6411
1506.0,0.6456999999999999
1508.0,0.6494
1510.0,0.6526000000000001
1512.0,0.6553
1514.0,0.6577
1516.0,0.6595
1518.0,0.6609
1520.0,0.66215
1522.0,0.6633
1524.0,0.6640999999999999
1526.0,0.6648999999999999
1528.0,0.6654000000000001
1530.0,0.6657500000000001
1532.0,0.6661
1534.0,0.6663
1536.0,0.6666
1538.0,0.6668999999999999
1540.0,0.667
1542.0,0.667
1544.0,0.6673
1546.0,0.6677
1548.0,0.6681
1550.0,0.6684
1552.0,0.66825
1554.0,0.66825
1556.0,0.6684
1558.0,0.6688
1560.0,0.6694
1562.0,0.6698999999999999
1564.0,0.67
1566.0,0.6698000000000001
1568.0,0.67
1570.0,0.6698999999999999
1572.0,0.6700499999999999
1574.0,0.6701999999999999
1576.0,0.6700499999999999
1578.0,0.6700499999999999
1580.0,0.6701999999999999
1582.0,0.6704000000000001
1584.0,0.6705
1586.0,0.6706
1588.0,0.6704000000000001
1590.0,0.6704000000000001
1592.0,0.6705
1594.0,0.6706
1596.0,0.6707
1598.0,0.6709
1600.0,0.6707500000000001
1602.0,0.6707500000000001
1604.0,0.6707500000000001
1606.0,0.6707500000000001
1608.0,0.6709
1610.0,0.6707500000000001
1612.0,0.6706
1614.0,0.6707
1616.0,0.6707
1618.0,0.6707
1620.0,0.6707500000000001
1622.0,0.6707500000000001
1624.0,0.6707500000000001
1626.0,0.6707500000000001
1628.0,0.6707
1630.0,0.6707
1632.0,0.6706
1634.0,0.6707
1636.0,0.6705
1638.0,0.6705
1640.0,0.6704000000000001
1642.0,0.6705
1644.0,0.6706
1646.0,0.6706
1648.0,0.6705
1650.0,0.6700499999999999
1652.0,0.6696
1654.0,0.6693000000000001
1656.0,0.6692
1658.0,0.6696
1660.0,0.6698999999999999
1662.0,0.6695
1664.0,0.6690999999999999
1666.0,0.6684
1668.0,0.6681
1670.0,0.6684
1672.0,0.6685
1674.0,0.6681999999999999
1676.0,0.6677
1678.0,0.6672
1680.0,0.6672
1682.0,0.6678000000000001
1684.0,0.6679999999999999
1686.0,0.6681
1688.0,0.6681999999999999
1690.0,0.66825
1692.0,0.6685
1694.0,0.66825
1696.0,0.6679
1698.0,0.6679
1700.0,0.6681
1702.0,0.66825
1704.0,0.66825
1706.0,0.6678000000000001
1708.0,0.6675
1710.0,0.6672
1712.0,0.6668999999999999
1714.0,0.6667000000000001
1716.0,0.6664
1718.0,0.6662
1720.0,0.6657500000000001
1722.0,0.6657500000000001
1724.0,0.6659
1726.0,0.6662
1728.0,0.6663
1730.0,0.6656
1732.0,0.6652
1734.0,0.6646500000000001
1736.0,0.6642
1738.0,0.6640999999999999
1740.0,0.6640999999999999
1742.0,0.6643000000000001
1744.0,0.6646
1746.0,0.6644
1748.0,0.6640999999999999
1750.0,0.6643000000000001
1752.0,0.6645
1754.0,0.6648999999999999
1756.0,0.6651
1758.0,0.665
1760.0,0.6646
1762.0,0.6644
1764.0,0.6646
1766.0,0.6646500000000001
1768.0,0.665
1770.0,0.6652
1772.0,0.6652
1774.0,0.6654000000000001
1776.0,0.6655
1778.0,0.6656
1780.0,0.6657500000000001
1782.0,0.6656
1784.0,0.6655
1786.0,0.6652
1788.0,0.6648000000000001
1790.0,0.6646500000000001
1792.0,0.6648999999999999
1794.0,0.665
1796.0,0.6652
1798.0,0.6648999999999999
1800.0,0.6642
1802.0,0.6639
1804.0,0.6637000000000001
1806.0,0.6636
1808.0,0.6634
1810.0,0.6631
1812.0,0.6627
1814.0,0.662
1816.0,0.6612
1818.0,0.6603
1820.0,0.6597
1822.0,0.6594
1824.0,0.6587999999999999
1826.0,0.6581999999999999
1828.0,0.6570999999999999
1830.0,0.6565000000000001
1832.0,0.6564
1834.0,0.6563
1836.0,0.6562
1838.0,0.6559
1840.0,0.6557999999999999
1842.0,0.6557
1844.0,0.6557999999999999
1846.0,0.6557
1848.0,0.6552
1850.0,0.6548
1852.0,0.6544
1854.0,0.65425
1856.0,0.6539
1858.0,0.65315
1860.0,0.6527
1862.0,0.6520999999999999
1864.0,0.6512
1866.0,0.6501
1868.0,0.6487999999999999
1870.0,0.6476999999999999
1872.0,0.6461
1874.0,0.6448
1876.0,0.6437999999999999
1878.0,0.6433
1880.0,0.64345
1882.0,0.6437
1884.0,0.6441
1886.0,0.64455
1888.0,0.6445000000000001
1890.0,0.6437999999999999
1892.0,0.6426000000000001
1894.0,0.6411
1896.0,0.6397999999999999
1898.0,0.6386
1900.0,0.63735
1902.0,0.6369
1904.0,0.6364
1906.0,0.6361
1908.0,0.6359
1910.0,0.63555
1912.0,0.6358
1914.0,0.6359
1916.0,0.6361
1918.0,0.6369
1920.0,0.6376
1922.0,0.638
1924.0,0.6379
1926.0,0.63735
1928.0,0.6372
1930.0,0.6372
1932.0,0.6371
1934.0,0.6371
1936.0,0.637
1938.0,0.637
1940.0,0.6375
1942.0,0.6375
1944.0,0.638
1946.0,0.6383
1948.0,0.6386999999999999
1950.0,0.6394
1952.0,0.6397999999999999
1954.0,0.6403
1956.0,0.6406000000000001
1958.0,0.6408
1960.0,0.6408
1962.0,0.6412
1964.0,0.6413
1966.0,0.64095
1968.0,0.6409
1970.0,0.6414
1972.0,0.6423000000000001
1974.0,0.6425
1976.0,0.6426999999999999
1978.0,0.6426000000000001
1980.0,0.6429
1982.0,0.6431999999999999
1984.0,0.643
1986.0,0.6431
1988.0,0.643
1990.0,0.6433
1992.0,0.64345
1994.0,0.6431
1996.0,0.6426999999999999
1998.0,0.6422
2000.0,0.6424
2002.0,0.6424
2004.0,0.6424
2006.0,0.6423000000000001
2008.0,0.642
2010.0,0.6420999999999999
2012.0,0.6418
2014.0,0.6417
2016.0,0.6415000000000001
2018.0,0.6413
2020.0,0.6413
2022.0,0.6413
2024.0,0.6417
2026.0,0.642
2028.0,0.642
2030.0,0.6419
2032.0,0.6420999999999999
2034.0,0.6426000000000001
2036.0,0.6425
2038.0,0.6422
2040.0,0.6418
2042.0,0.6420999999999999
2044.0,0.6429
2046.0,0.6431999999999999
2048.0,0.6433
2050.0,0.6433
2052.0,0.6434000000000001
2054.0,0.643
2056.0,0.6423000000000001
2058.0,0.642
2060.0,0.6424
2062.0,0.6424
2064.0,0.6419
2066.0,0.6416
2068.0,0.6420999999999999
2070.0,0.6423000000000001
2072.0,0.6426000000000001
2074.0,0.6423000000000001
2076.0,0.642
2078.0,0.6419
2080.0,0.6412
2082.0,0.6411
