wavelength,reflectance
1300.0,0.586
1302.0,0.5878
1304.0,0.5879
1306.0,0.5866
1308.0,0.5871999999999999
1310.0,0.5868
1312.0,0.5856
1314.0,0.5859000000000001
1316.0,0.5856
1318.0,0.5848
1320.0,0.5848
1322.0,0.5841
1324.0,0.58385
1326.0,0.5849
1328.0,0.5856
1330.0,0.58565
1332.0,0.5851
1334.0,0.5842
1336.0,0.5841
1338.0,0.5844
1340.0,0.5842
1342.0,0.584
1344.0,0.58385
1346.0,0.5838
1348.0,0.58385
1350.0,0.5835
1352.0,0.583
1354.0,0.58275
1356.0,0.583
1358.0,0.5835
1360.0,0.58385
1362.0,0.584
1364.0,0.5841
1366.0,0.5838
1368.0,0.5836
1370.0,0.5836
1372.0,0.5836
1374.0,0.5835
1376.0,0.5832999999999999
1378.0,0.5832
1380.0,0.583
1382.0,0.5827
1384.0,0.5824
1386.0,0.5819
1388.0,0.5815
1390.0,0.5807
1392.0,0.5799
1394.0,0.5788
1396.0,0.578
1398.0,0.5772999999999999
1400.0,0.5766
1402.0,0.5758
1404.0,0.5747
1406.0,0.5738
1408.0,0.5734
1410.0,0.5729
1412.0,0.5726
1414.0,0.57235
1416.0,0.5721
1418.0,0.5718
1420.0,0.5716
1422.0,0.5714
1424.0,0.5714
1426.0,0.5715
1428.0,0.5716
1430.0,0.5718
1432.0,0.5721
1434.0,0.5722999999999999
1436.0,0.5722999999999999
1438.0,0.57235
1440.0,0.57235
1442.0,0.573
1444.0,0.57305
1446.0,0.5736
1448.0,0.5739
1450.0,0.5743
1452.0,0.5745
1454.0,0.5747
1456.0,0.575
1458.0,0.5753
1460.0,0.5755
1462.0,0.5757
1464.0,0.5758
1466.0,0.5761999999999999
1468.0,0.5768
1470.0,0.5770000000000001
1472.0,0.5772999999999999
1474.0,0.5775
1476.0,0.5781000000000001
1478.0,0.5789
1480.0,0.5794
1482.0,0.58
1484.0,0.5801
1486.0,0.5806
1488.0,0.5813
1490.0,0.5819
1492.0,0.5826
1494.0,0.5835
1496.0,0.584
1498.0,0.5848
1500.0,0.5854
1502.0,0.5859000000000001
1504.0,0.5865
1506.0,0.5872999999999999
1508.0,0.588
1510.0,0.5891
1512.0,0.5896
1514.0,0.5897
1516.0,0.5896
1518.0,0.5902000000000001
1520.0,0.5913
1522.0,0.5921
1524.0,0.5927
1526.0,0.593
1528.0,0.5935
