wavelength,reflectance
1300.0,0.6397999999999999
1302.0,0.6393
1304.0,0.6393
1306.0,0.6413
1308.0,0.6402
1310.0,0.6404000000000001
1312.0,0.6406999999999999
1314.0,0.6394
1316.0,0.6388
1318.0,0.63735
1320.0,0.63555
1322.0,0.6342
1324.0,0.6351
1326.0,0.6347
1328.0,0.6334000000000001
1330.0,0.6318
1332.0,0.63
1334.0,0.6291
1336.0,0.6281
1338.0,0.6271
1340.0,0.6257
1342.0,0.624
1344.0,0.6228
1346.0,0.6221
1348.0,0.6214999999999999
1350.0,0.62085
1352.0,0.62
1354.0,0.6189
1356.0,0.6182
1358.0,0.6175
1360.0,0.6164999999999999
1362.0,0.6148
1364.0,0.6133
1366.0,0.6114
1368.0,0.6091
1370.0,0.6068
1372.0,0.60395
1374.0,0.5988
1376.0,0.589
1378.0,0.5737
1380.0,0.5564
1382.0,0.5423
1384.0,0.5366
1386.0,0.5393
1388.0,0.546
1390.0,0.5514
1392.0,0.5523
1394.0,0.54865
1396.0,0.5424
1398.0,0.5347999999999999
1400.0,0.5268999999999999
1402.0,0.5191
1404.0,0.5119
1406.0,0.5055
1408.0,0.5001
1410.0,0.4959
1412.0,0.4928
1414.0,0.49079999999999996
1416.0,0.48960000000000004
1418.0,0.4894
1420.0,0.4899
1422.0,0.491
1424.0,0.49200000000000005
1426.0,0.493
1428.0,0.4938
1430.0,0.49450000000000005
1432.0,0.4949
1434.0,0.495
1436.0,0.49479999999999996
1438.0,0.4947
1440.0,0.49450000000000005
1442.0,0.49439999999999995
1444.0,0.49450000000000005
1446.0,0.4951
1448.0,0.4962
1450.0,0.4979
1452.0,0.4999
1454.0,0.5018
1456.0,0.5035000000000001
1458.0,0.5049
1460.0,0.5059
1462.0,0.5068
1464.0,0.5074000000000001
1466.0,0.5078
1468.0,0.50805
1470.0,0.5091
1472.0,0.5097
1474.0,0.5108
1476.0,0.5126
1478.0,0.5143
1480.0,0.5163
1482.0,0.5186999999999999
1484.0,0.5212
1486.0,0.524
1488.0,0.5268999999999999
1490.0,0.5295000000000001
1492.0,0.53175
1494.0,0.5341
1496.0,0.5365
1498.0,0.5390999999999999
1500.0,0.5416
1502.0,0.5440999999999999
1504.0,0.5461
1506.0,0.5482
1508.0,0.5503
1510.0,0.5525
1512.0,0.5542
1514.0,0.5554
1516.0,0.5567
1518.0,0.5585
1520.0,0.5602
1522.0,0.5618
1524.0,0.5629
1526.0,0.5638000000000001
1528.0,0.5650999999999999
1530.0,0.56625
1532.0,0.5674
1534.0,0.5687
1536.0,0.5697
1538.0,0.5708
1540.0,0.5717
1542.0,0.5728
1544.0,0.5739
1546.0,0.575
1548.0,0.5761999999999999
1550.0,0.5771000000000001
1552.0,0.5781000000000001
1554.0,0.5791
1556.0,0.5801
1558.0,0.5811999999999999
1560.0,0.58205
1562.0,0.583
1564.0,0.584
1566.0,0.5847
1568.0,0.5856
1570.0,0.5863
1572.0,0.5868
1574.0,0.5872999999999999
1576.0,0.5879
1578.0,0.5884
1580.0,0.5891
1582.0,0.5895
1584.0,0.5897
1586.0,0.5899
1588.0,0.5902000000000001
1590.0,0.5905
1592.0,0.5912
1594.0,0.5917
1596.0,0.5922
1598.0,0.5926
1600.0,0.593
1602.0,0.5931000000000001
1604.0,0.5934
1606.0,0.59355
1608.0,0.5937
1610.0,0.5939
1612.0,0.59425
1614.0,0.5946
1616.0,0.5947
1618.0,0.5947
1620.0,0.5945
1622.0,0.5948
1624.0,0.5954999999999999
1626.0,0.5959
1628.0,0.5962
1630.0,0.5964
1632.0,0.5966
1634.0,0.5966
1636.0,0.5964
1638.0,0.59605
1640.0,0.5958
1642.0,0.5959
1644.0,0.59605
1646.0,0.59605
1648.0,0.596
1650.0,0.5959
1652.0,0.5957
1654.0,0.5954999999999999
1656.0,0.5953
1658.0,0.5951
1660.0,0.5951
1662.0,0.595
1664.0,0.5953
1666.0,0.5952000000000001
1668.0,0.5948
1670.0,0.5943999999999999
1672.0,0.5941
1674.0,0.5942000000000001
1676.0,0.59425
1678.0,0.5941
1680.0,0.594
1682.0,0.5939
1684.0,0.5935
1686.0,0.59355
1688.0,0.5939
1690.0,0.5937
1692.0,0.5938
1694.0,0.5935
1696.0,0.593
1698.0,0.5928
1700.0,0.5927
1702.0,0.5922999999999999
1704.0,0.5922
1706.0,0.5913
1708.0,0.591
1710.0,0.591
1712.0,0.59065
1714.0,0.5897
1716.0,0.5888
1718.0,0.588
1720.0,0.5878
1722.0,0.5877
1724.0,0.5871
1726.0,0.5863499999999999
1728.0,0.5859000000000001
1730.0,0.5856
1732.0,0.5852
1734.0,0.5845
1736.0,0.5835
1738.0,0.5829
1740.0,0.5822999999999999
1742.0,0.5819
1744.0,0.5811
1746.0,0.5801
1748.0,0.5795
1750.0,0.5793
1752.0,0.5788
1754.0,0.578
1756.0,0.5770000000000001
1758.0,0.5761999999999999
1760.0,0.5753
1762.0,0.5751
1764.0,0.5745
1766.0,0.5737
1768.0,0.5727
1770.0,0.5715
1772.0,0.5707
1774.0,0.5699000000000001
1776.0,0.5693
1778.0,0.5686
1780.0,0.5672
1782.0,0.56625
1784.0,0.5658
1786.0,0.5654
1788.0,0.56515
1790.0,0.56445
1792.0,0.5638000000000001
1794.0,0.56335
1796.0,0.5629
1798.0,0.5632
1800.0,0.56335
1802.0,0.5633
1804.0,0.5631
1806.0,0.5626
1808.0,0.56265
1810.0,0.563
1812.0,0.5631
1814.0,0.5631
1816.0,0.56265
1818.0,0.5621
1820.0,0.5618
1822.0,0.5619
1824.0,0.5616
1826.0,0.5611999999999999
1828.0,0.56
1830.0,0.55905
1832.0,0.5587
1834.0,0.5582
1836.0,0.5576
1838.0,0.5565
1840.0,0.5553
1842.0,0.5538000000000001
1844.0,0.5521
1846.0,0.5504
1848.0,0.5488000000000001
1850.0,0.5466
1852.0,0.544
1854.0,0.5407
1856.0,0.5371
1858.0,0.5338
1860.0,0.5299
1862.0,0.5252
1864.0,0.5197999999999999
1866.0,0.5131
1868.0,0.5049
1870.0,0.4959
1872.0,0.486
1874.0,0.4753
1876.0,0.4645
1878.0,0.4534
1880.0,0.44179999999999997
1882.0,0.42950000000000005
1884.0,0.4164
1886.0,0.40270000000000006
1888.0,0.3885
1890.0,0.37415
1892.0,0.359
1894.0,0.34409999999999996
1896.0,0.3301
1898.0,0.31739999999999996
1900.0,0.3059
1902.0,0.2962
1904.0,0.2883
1906.0,0.2824
1908.0,0.2782
1910.0,0.2749
1912.0,0.2727
1914.0,0.2711
1916.0,0.2706
1918.0,0.27149999999999996
1920.0,0.2742
1922.0,0.2789
1924.0,0.2849
1926.0,0.2916
1928.0,0.2986
1930.0,0.3053
1932.0,0.312
1934.0,0.318
1936.0,0.3231
1938.0,0.3271
1940.0,0.3299
1942.0,0.3322
1944.0,0.3347
1946.0,0.3371
1948.0,0.3392
1950.0,0.3407
1952.0,0.34165
1954.0,0.3432
1956.0,0.345
1958.0,0.34700000000000003
1960.0,0.34865
1962.0,0.3503
1964.0,0.35159999999999997
1966.0,0.35295000000000004
1968.0,0.3543
