wavelength,reflectance
1300.0,0.5981000000000001
1302.0,0.601
1304.0,0.598
1306.0,0.595
1308.0,0.5945
1310.0,0.5945
1312.0,0.5963
1314.0,0.599
1316.0,0.5992999999999999
1318.0,0.6002000000000001
1320.0,0.6007
1322.0,0.5999
1324.0,0.5998
1326.0,0.5996
1328.0,0.5993999999999999
1330.0,0.5993999999999999
1332.0,0.5985499999999999
1334.0,0.5977
1336.0,0.5969
1338.0,0.5959
1340.0,0.5943999999999999
1342.0,0.5909
1344.0,0.5842
1346.0,0.5733
1348.0,0.5589
1350.0,0.54325
1352.0,0.5306000000000001
1354.0,0.5241
1356.0,0.5247999999999999
1358.0,0.5309
1360.0,0.5396
1362.0,0.5478999999999999
1364.0,0.5538000000000001
1366.0,0.5558
1368.0,0.5517
1370.0,0.5367000000000001
1372.0,0.5065999999999999
1374.0,0.46090000000000003
1376.0,0.40845
1378.0,0.3632
1380.0,0.3345
1382.0,0.3215
1384.0,0.3159
1386.0,0.3109
1388.0,0.3066
1390.0,0.30820000000000003
1392.0,0.32130000000000003
1394.0,0.34590000000000004
1396.0,0.3774
1398.0,0.409
1400.0,0.43560000000000004
1402.0,0.45659999999999995
1404.0,0.4736
1406.0,0.48829999999999996
1408.0,0.50195
1410.0,0.5141
1412.0,0.5244
1414.0,0.5322
1416.0,0.5375
1418.0,0.5407
1420.0,0.5428000000000001
1422.0,0.5443
1424.0,0.5463
1426.0,0.5484
1428.0,0.5507
1430.0,0.5529
1432.0,0.5550999999999999
1434.0,0.5569
1436.0,0.5586
1438.0,0.5600999999999999
1440.0,0.5616
1442.0,0.5632
1444.0,0.5647
1446.0,0.5660000000000001
1448.0,0.5672999999999999
1450.0,0.5685
1452.0,0.5695
1454.0,0.5704
1456.0,0.5710999999999999
1458.0,0.5715
1460.0,0.5722999999999999
1462.0,0.573
1464.0,0.574
1466.0,0.575
1468.0,0.5757
1470.0,0.5761999999999999
1472.0,0.5771000000000001
1474.0,0.5779
1476.0,0.5788
1478.0,0.58
1480.0,0.5811
1482.0,0.5820000000000001
1484.0,0.5829
1486.0,0.5837
1488.0,0.5848
1490.0,0.5861
1492.0,0.5872999999999999
1494.0,0.5886
1496.0,0.5898
1498.0,0.591
1500.0,0.5924499999999999
1502.0,0.5932999999999999
1504.0,0.5943999999999999
1506.0,0.5952000000000001
1508.0,0.5957
1510.0,0.5962
1512.0,0.5968
1514.0,0.5976
1516.0,0.5989
1518.0,0.6003000000000001
1520.0,0.6013000000000001
1522.0,0.6019
1524.0,0.6021500000000001
1526.0,0.6026
1528.0,0.6032500000000001
1530.0,0.6041
1532.0,0.6048
1534.0,0.6054999999999999
1536.0,0.6062
1538.0,0.6073
1540.0,0.6085
1542.0,0.6095
1544.0,0.6102000000000001
1546.0,0.6107
1548.0,0.6111
1550.0,0.6114999999999999
1552.0,0.6122
1554.0,0.6128
1556.0,0.6134000000000001
1558.0,0.6138
1560.0,0.6141
1562.0,0.6143
1564.0,0.615
1566.0,0.6157
1568.0,0.6165999999999999
1570.0,0.6174000000000001
1572.0,0.6178
1574.0,0.6179
1576.0,0.6183
1578.0,0.6187
1580.0,0.6193
1582.0,0.6197
1584.0,0.6201
1586.0,0.62085
1588.0,0.6217
1590.0,0.6217
1592.0,0.62155
1594.0,0.622
1596.0,0.6225999999999999
1598.0,0.6233
1600.0,0.6235
1602.0,0.6235
1604.0,0.6236
1606.0,0.6236999999999999
1608.0,0.6239
1610.0,0.6243
1612.0,0.6247
1614.0,0.6248
1616.0,0.6248
1618.0,0.625
1620.0,0.6249
1622.0,0.6249
1624.0,0.625
1626.0,0.625
1628.0,0.62515
1630.0,0.6255
1632.0,0.6257
1634.0,0.626
1636.0,0.626
1638.0,0.6256
1640.0,0.6254
1642.0,0.6258
1644.0,0.62585
1646.0,0.62585
1648.0,0.6257
1650.0,0.6255
1652.0,0.6255
1654.0,0.6253
1656.0,0.62515
1658.0,0.6255
1660.0,0.62515
1662.0,0.6248
1664.0,0.6245
1666.0,0.6242
1668.0,0.6236999999999999
1670.0,0.6233
1672.0,0.6228
1674.0,0.6225999999999999
1676.0,0.6223
1678.0,0.6222
1680.0,0.6223
1682.0,0.6225
1684.0,0.6225
1686.0,0.622
1688.0,0.6217
1690.0,0.6218
1692.0,0.6217
1694.0,0.6218
1696.0,0.6219
1698.0,0.6219
1700.0,0.6217
1702.0,0.6213000000000001
1704.0,0.621
1706.0,0.6204999999999999
1708.0,0.6199
1710.0,0.6192
1712.0,0.6189
1714.0,0.6187
1716.0,0.6184000000000001
1718.0,0.6177
1720.0,0.6171
1722.0,0.6163000000000001
1724.0,0.6156
1726.0,0.61545
1728.0,0.6151
1730.0,0.6146
1732.0,0.6143
1734.0,0.6139
1736.0,0.6138
1738.0,0.6136
1740.0,0.613
1742.0,0.6121
1744.0,0.6114999999999999
1746.0,0.6108
1748.0,0.6099
1750.0,0.6091
1752.0,0.6086
1754.0,0.6081
1756.0,0.6075
1758.0,0.6067
1760.0,0.6056
1762.0,0.6048
1764.0,0.6039
1766.0,0.6032
1768.0,0.6021500000000001
1770.0,0.6013000000000001
1772.0,0.6007
1774.0,0.6002000000000001
1776.0,0.6
1778.0,0.5996
1780.0,0.5988
1782.0,0.598
1784.0,0.5972999999999999
1786.0,0.5968
1788.0,0.5964
1790.0,0.5958
1792.0,0.5951
1794.0,0.5949
1796.0,0.5941
1798.0,0.59355
