wavelength,reflectance
1300.0,0.7268000000000001
1302.0,0.7231000000000001
1304.0,0.7249
1306.0,0.7261
1308.0,0.7267
1310.0,0.7245
1312.0,0.72285
1314.0,0.7212000000000001
1316.0,0.7190000000000001
1318.0,0.7182999999999999
1320.0,0.7178
1322.0,0.7167
1324.0,0.7164
1326.0,0.7155
1328.0,0.7143
1330.0,0.7137
1332.0,0.7129000000000001
1334.0,0.7126
1336.0,0.7125
1338.0,0.7118000000000001
1340.0,0.7109000000000001
1342.0,0.7106
1344.0,0.7094
1346.0,0.7088500000000001
1348.0,0.7090000000000001
1350.0,0.7082999999999999
1352.0,0.7075
1354.0,0.7075
1356.0,0.7070000000000001
1358.0,0.7067
1360.0,0.7068000000000001
1362.0,0.7064
1364.0,0.7058
1366.0,0.7055
1368.0,0.705
1370.0,0.7049
1372.0,0.705
1374.0,0.7049
1376.0,0.7045
1378.0,0.7041
1380.0,0.70345
1382.0,0.7028
1384.0,0.7021999999999999
1386.0,0.7012999999999999
1388.0,0.7004
1390.0,0.6994
1392.0,0.6983
1394.0,0.6972
1396.0,0.6960999999999999
1398.0,0.6949
1400.0,0.6933
1402.0,0.6918000000000001
1404.0,0.69015
1406.0,0.6887000000000001
1408.0,0.6868000000000001
1410.0,0.685
1412.0,0.6833
1414.0,0.6809999999999999
1416.0,0.679
1418.0,0.6765000000000001
1420.0,0.67365
1422.0,0.6707500000000001
1424.0,0.6679
1426.0,0.6648999999999999
1428.0,0.6617000000000001
1430.0,0.6584
1432.0,0.6548999999999999
1434.0,0.6513
1436.0,0.6476999999999999
1438.0,0.6441
1440.0,0.6399
1442.0,0.6359
1444.0,0.6321
1446.0,0.6284000000000001
1448.0,0.625
1450.0,0.622
1452.0,0.6184000000000001
1454.0,0.6151
1456.0,0.61185
1458.0,0.6086
1460.0,0.6057
1462.0,0.6029
1464.0,0.5999
1466.0,0.5969
1468.0,0.5939
1470.0,0.59065
1472.0,0.5874
1474.0,0.5841
1476.0,0.5811
1478.0,0.5783
1480.0,0.5757
1482.0,0.5732
1484.0,0.5704
1486.0,0.5672999999999999
1488.0,0.5647
1490.0,0.562
1492.0,0.5595
1494.0,0.5574
1496.0,0.5552
1498.0,0.5532
1500.0,0.5515
1502.0,0.5496
1504.0,0.5478000000000001
1506.0,0.5467
1508.0,0.5457500000000001
1510.0,0.5448
1512.0,0.544
1514.0,0.5425
1516.0,0.5416
1518.0,0.5411
1520.0,0.5407
1522.0,0.5401
1524.0,0.5399
1526.0,0.5392
1528.0,0.5387
1530.0,0.5382
1532.0,0.5379999999999999
1534.0,0.5386
1536.0,0.5396
1538.0,0.5411
1540.0,0.5429999999999999
1542.0,0.5453
1544.0,0.5482
1546.0,0.551
1548.0,0.5538000000000001
1550.0,0.556
1552.0,0.5582
1554.0,0.56
1556.0,0.5621
1558.0,0.564
1560.0,0.5659000000000001
1562.0,0.5676
1564.0,0.5690999999999999
1566.0,0.5704
1568.0,0.5714
1570.0,0.57235
1572.0,0.5729
1574.0,0.5729
1576.0,0.5729
1578.0,0.5732
1580.0,0.5733
1582.0,0.573
1584.0,0.5725
1586.0,0.5720000000000001
1588.0,0.5714
1590.0,0.57055
1592.0,0.5697
1594.0,0.5690999999999999
1596.0,0.56875
1598.0,0.5682
1600.0,0.5671
1602.0,0.5659000000000001
1604.0,0.5648
