wavelength,reflectance
1300.0,0.6423000000000001
1302.0,0.6397999999999999
1304.0,0.6411
1306.0,0.6461
1308.0,0.6455
1310.0,0.643
1312.0,0.6422
1314.0,0.6422
1316.0,0.6425
1318.0,0.6448999999999999
1320.0,0.6462
1322.0,0.6452
1324.0,0.6434000000000001
1326.0,0.6436
1328.0,0.6431
1330.0,0.6424
1332.0,0.6423000000000001
1334.0,0.6422
1336.0,0.6409
1338.0,0.6393
1340.0,0.6383
1342.0,0.6371
1344.0,0.6364
1346.0,0.6364
1348.0,0.6363
1350.0,0.6352
1352.0,0.6343
1354.0,0.6342
1356.0,0.633
1358.0,0.632
1360.0,0.6322
1362.0,0.632
1364.0,0.6315999999999999
1366.0,0.6315
1368.0,0.6303
1370.0,0.6283
1372.0,0.6258
1374.0,0.6235
1376.0,0.6201
1378.0,0.6161
1380.0,0.6122
1382.0,0.607
1384.0,0.6003000000000001
1386.0,0.5932
1388.0,0.5847
1390.0,0.5740999999999999
1392.0,0.562
1394.0,0.5485
1396.0,0.5341
1398.0,0.5196999999999999
1400.0,0.5059
1402.0,0.4927
1404.0,0.48
1406.0,0.4685
1408.0,0.4582
1410.0,0.4485
1412.0,0.4396
1414.0,0.4316
1416.0,0.4242
1418.0,0.41729999999999995
1420.0,0.4113
1422.0,0.40659999999999996
1424.0,0.4025
1426.0,0.39899999999999997
1428.0,0.39649999999999996
1430.0,0.39409999999999995
1432.0,0.3917
1434.0,0.3901
1436.0,0.3884
1438.0,0.38670000000000004
1440.0,0.3851
1442.0,0.384
1444.0,0.38270000000000004
1446.0,0.3815
1448.0,0.38130000000000003
1450.0,0.3815
1452.0,0.38159999999999994
1454.0,0.382
1456.0,0.3829
1458.0,0.3835
1460.0,0.38409999999999994
1462.0,0.38530000000000003
1464.0,0.3864
1466.0,0.38780000000000003
1468.0,0.3897
1470.0,0.3926
1472.0,0.3957
1474.0,0.3994
1476.0,0.4035
1478.0,0.4075
1480.0,0.4117
1482.0,0.41619999999999996
1484.0,0.42060000000000003
1486.0,0.4244
1488.0,0.4282
1490.0,0.4326
1492.0,0.4366
1494.0,0.4414
1496.0,0.4464
1498.0,0.4511
1500.0,0.45549999999999996
1502.0,0.4604
1504.0,0.46490000000000004
1506.0,0.4697
1508.0,0.4742
1510.0,0.4789
1512.0,0.4832
1514.0,0.4874
1516.0,0.4924
1518.0,0.49729999999999996
1520.0,0.5019
1522.0,0.5068
1524.0,0.5115
1526.0,0.5158
1528.0,0.5204
1530.0,0.5249
1532.0,0.5287
1534.0,0.5325
1536.0,0.5365
1538.0,0.5404
1540.0,0.5444
1542.0,0.5488000000000001
1544.0,0.5526
1546.0,0.5559000000000001
1548.0,0.5594
1550.0,0.5628
1552.0,0.5657
1554.0,0.5687
1556.0,0.5719
1558.0,0.5748
1560.0,0.5775
1562.0,0.5811
1564.0,0.5843
1566.0,0.5872999999999999
1568.0,0.5902000000000001
1570.0,0.5931000000000001
1572.0,0.5954999999999999
1574.0,0.5982
1576.0,0.601
1578.0,0.6031
1580.0,0.6049
1582.0,0.6073
1584.0,0.6096
1586.0,0.6122
1588.0,0.6148
1590.0,0.6165999999999999
1592.0,0.6179
1594.0,0.62
1596.0,0.6219
1598.0,0.6238
1600.0,0.6258
1602.0,0.6283
1604.0,0.6302
1606.0,0.6325
1608.0,0.6344
1610.0,0.6358
1612.0,0.6371
1614.0,0.6384000000000001
1616.0,0.6394
1618.0,0.6408
1620.0,0.6426999999999999
1622.0,0.6448
1624.0,0.6466
1626.0,0.6481
1628.0,0.6493000000000001
1630.0,0.6504000000000001
1632.0,0.6515000000000001
1634.0,0.6526000000000001
1636.0,0.6536
1638.0,0.6541
1640.0,0.6555
1642.0,0.6564
1644.0,0.6573
1646.0,0.6587000000000001
1648.0,0.6597
1650.0,0.6607
1652.0,0.6618999999999999
1654.0,0.6628000000000001
1656.0,0.6634
1658.0,0.6639
1660.0,0.6646
1662.0,0.6646
1664.0,0.6657
1666.0,0.667
1668.0,0.6678000000000001
1670.0,0.6687000000000001
1672.0,0.67
1674.0,0.6703
1676.0,0.6707
1678.0,0.6711
1680.0,0.6712
1682.0,0.6709999999999999
1684.0,0.6711
1686.0,0.6714
1688.0,0.6717
1690.0,0.6728000000000001
1692.0,0.6735
1694.0,0.6736
1696.0,0.6742
1698.0,0.6748000000000001
1700.0,0.6743000000000001
1702.0,0.6738
1704.0,0.6736
1706.0,0.6733
1708.0,0.6734
1710.0,0.6740999999999999
1712.0,0.674
1714.0,0.674
1716.0,0.6745
1718.0,0.6740999999999999
1720.0,0.674
1722.0,0.674
1724.0,0.6731
1726.0,0.6720999999999999
1728.0,0.6711
1730.0,0.6706
1732.0,0.6693000000000001
1734.0,0.6686
1736.0,0.6679999999999999
1738.0,0.6668000000000001
1740.0,0.6659
1742.0,0.6645
1744.0,0.6628000000000001
1746.0,0.6615000000000001
1748.0,0.6606000000000001
1750.0,0.6589
1752.0,0.657
1754.0,0.6557
1756.0,0.6542
1758.0,0.6531
1760.0,0.6522
1762.0,0.6511
1764.0,0.6501
