wavelength,reflectance
1300.0,0.5317000000000001
1302.0,0.5295000000000001
1304.0,0.529
1306.0,0.5329
1308.0,0.5367999999999999
1310.0,0.5364
1312.0,0.5367999999999999
1314.0,0.5371
1316.0,0.53715
1318.0,0.5376
1320.0,0.5378499999999999
1322.0,0.53715
1324.0,0.5374
1326.0,0.5371
1328.0,0.5373
1330.0,0.53715
1332.0,0.5375
1334.0,0.5377000000000001
1336.0,0.5385
1338.0,0.5384
1340.0,0.5383
1342.0,0.5379999999999999
1344.0,0.5383
1346.0,0.5388000000000001
1348.0,0.5395
1350.0,0.5396500000000001
1352.0,0.5402
1354.0,0.5407
1356.0,0.541
1358.0,0.5412
1360.0,0.5411
1362.0,0.5414
1364.0,0.542
1366.0,0.5426
1368.0,0.5429999999999999
1370.0,0.5432
1372.0,0.54325
1374.0,0.5435
1376.0,0.5434
1378.0,0.5429999999999999
1380.0,0.5421
1382.0,0.5407
1384.0,0.5389
1386.0,0.5362
1388.0,0.5335
1390.0,0.5307999999999999
1392.0,0.5284
1394.0,0.5271
1396.0,0.5256000000000001
1398.0,0.524
1400.0,0.5226
1402.0,0.52135
1404.0,0.521
1406.0,0.5216
1408.0,0.5226
1410.0,0.5238
1412.0,0.5256000000000001
1414.0,0.5279
1416.0,0.5306000000000001
1418.0,0.5333
1420.0,0.53535
1422.0,0.537
1424.0,0.5379999999999999
1426.0,0.53895
1428.0,0.54
1430.0,0.541
1432.0,0.5418999999999999
1434.0,0.5426
1436.0,0.5435
1438.0,0.5444
1440.0,0.54505
1442.0,0.5457
1444.0,0.5461
1446.0,0.5467
1448.0,0.5478000000000001
1450.0,0.54865
1452.0,0.5492
1454.0,0.5495
1456.0,0.5498
1458.0,0.5504
1460.0,0.55115
1462.0,0.5518
1464.0,0.5524
1466.0,0.5532
1468.0,0.5536
1470.0,0.5540999999999999
1472.0,0.5540999999999999
1474.0,0.5535
1476.0,0.5534
1478.0,0.5532
1480.0,0.5532
1482.0,0.5535
1484.0,0.5538000000000001
1486.0,0.5547
1488.0,0.5561
1490.0,0.5577000000000001
1492.0,0.55905
1494.0,0.5604
1496.0,0.5616
1498.0,0.56265
1500.0,0.5637
1502.0,0.5640999999999999
1504.0,0.56445
1506.0,0.56515
1508.0,0.5658
1510.0,0.5666
1512.0,0.5672999999999999
1514.0,0.5678
1516.0,0.5678
1518.0,0.5682
1520.0,0.5687
1522.0,0.5692
1524.0,0.5698
1526.0,0.5703
1528.0,0.57055
1530.0,0.5710000000000001
1532.0,0.5715
1534.0,0.5719
1536.0,0.5722
1538.0,0.5725
1540.0,0.5727
1542.0,0.573
1544.0,0.5733
1546.0,0.5736
1548.0,0.5735
1550.0,0.5735
1552.0,0.5735
1554.0,0.5735
1556.0,0.5738
1558.0,0.574
1560.0,0.574
1562.0,0.5741499999999999
1564.0,0.5746
1566.0,0.57485
1568.0,0.5752
1570.0,0.5752
1572.0,0.5751
1574.0,0.5753
1576.0,0.5757
1578.0,0.5758
1580.0,0.57595
1582.0,0.5761999999999999
1584.0,0.5764
1586.0,0.5769
1588.0,0.5771000000000001
1590.0,0.5772999999999999
1592.0,0.5775
1594.0,0.5778
1596.0,0.5783
1598.0,0.579
1600.0,0.5787
1602.0,0.579
1604.0,0.579
1606.0,0.5793
1608.0,0.5795
1610.0,0.5794
1612.0,0.5793
1614.0,0.5792
1616.0,0.5791
1618.0,0.5792
1620.0,0.5793
1622.0,0.5795
1624.0,0.5793
1626.0,0.5795
1628.0,0.5795
1630.0,0.5792
1632.0,0.579
1634.0,0.5788
1636.0,0.5788
1638.0,0.5794
1640.0,0.5798
1642.0,0.5795
1644.0,0.579
1646.0,0.5784
1648.0,0.5782
1650.0,0.578
1652.0,0.5782
1654.0,0.5783
1656.0,0.57845
1658.0,0.5787
1660.0,0.5788
1662.0,0.5788
1664.0,0.5786
1666.0,0.5787
1668.0,0.5786
1670.0,0.5788
1672.0,0.5786
1674.0,0.5788
1676.0,0.5787
1678.0,0.579
1680.0,0.5793
1682.0,0.5796
1684.0,0.5798
1686.0,0.5798
1688.0,0.5794
1690.0,0.5794
1692.0,0.5799
1694.0,0.5802499999999999
1696.0,0.5807
1698.0,0.5807
1700.0,0.5808
1702.0,0.58095
1704.0,0.5811999999999999
1706.0,0.5816
1708.0,0.5816
1710.0,0.5818
1712.0,0.5821999999999999
1714.0,0.58205
1716.0,0.5824
1718.0,0.5822999999999999
1720.0,0.5821999999999999
1722.0,0.5821999999999999
1724.0,0.58205
1726.0,0.5825
1728.0,0.5829
1730.0,0.5831000000000001
1732.0,0.5831000000000001
1734.0,0.5832
1736.0,0.5836
1738.0,0.5841
1740.0,0.5845
1742.0,0.5845
1744.0,0.58455
1746.0,0.58455
1748.0,0.5848
1750.0,0.585
1752.0,0.585
1754.0,0.5848
1756.0,0.58455
1758.0,0.5845
1760.0,0.58455
1762.0,0.5848
1764.0,0.5849
1766.0,0.5849
1768.0,0.5849
1770.0,0.585
1772.0,0.5849
1774.0,0.5851
1776.0,0.5852
1778.0,0.5853
1780.0,0.5854
1782.0,0.5854
1784.0,0.5855
1786.0,0.5854
1788.0,0.585
1790.0,0.5848
1792.0,0.5849
1794.0,0.5852
1796.0,0.5856
1798.0,0.5856
1800.0,0.5852
1802.0,0.5853
1804.0,0.5853
1806.0,0.5854
1808.0,0.5856
1810.0,0.5855
1812.0,0.5856
1814.0,0.5859000000000001
1816.0,0.5859000000000001
1818.0,0.5855
1820.0,0.585
1822.0,0.58455
1824.0,0.5844
1826.0,0.5841
1828.0,0.5838
1830.0,0.5835
1832.0,0.5832999999999999
1834.0,0.5832
1836.0,0.5825
1838.0,0.5818
1840.0,0.5816
1842.0,0.5817
1844.0,0.5818
1846.0,0.5814
1848.0,0.5813
1850.0,0.5816
1852.0,0.5819
1854.0,0.5816
1856.0,0.5807
1858.0,0.5798
1860.0,0.5795
1862.0,0.5795
1864.0,0.5791
1866.0,0.5787
1868.0,0.578
1870.0,0.5771999999999999
1872.0,0.5763
1874.0,0.5752
1876.0,0.5740999999999999
1878.0,0.5727
1880.0,0.5713
1882.0,0.5699000000000001
1884.0,0.5687
1886.0,0.5672999999999999
1888.0,0.5656
1890.0,0.5633
1892.0,0.5598
1894.0,0.5562
1896.0,0.5529
1898.0,0.5498
1900.0,0.5468
1902.0,0.54325
1904.0,0.5402
1906.0,0.5373
1908.0,0.5352
1910.0,0.5342
1912.0,0.5337
1914.0,0.5332
1916.0,0.5325
1918.0,0.5328
1920.0,0.5333
1922.0,0.5339
1924.0,0.5343
1926.0,0.5347
1928.0,0.5357999999999999
1930.0,0.5367000000000001
1932.0,0.5376
1934.0,0.5383
1936.0,0.5393
1938.0,0.5403
1940.0,0.5412
1942.0,0.54145
1944.0,0.5418999999999999
1946.0,0.5427000000000001
1948.0,0.5435
1950.0,0.5440999999999999
1952.0,0.5446
1954.0,0.5453
1956.0,0.5459
1958.0,0.5465
1960.0,0.547
1962.0,0.5471
1964.0,0.5473
1966.0,0.54755
1968.0,0.5478999999999999
1970.0,0.5482
1972.0,0.5485
1974.0,0.5488000000000001
1976.0,0.5492
1978.0,0.5495
1980.0,0.5499
1982.0,0.5507
1984.0,0.5515
1986.0,0.5521
1988.0,0.5524
1990.0,0.5529
1992.0,0.5533
1994.0,0.5538000000000001
1996.0,0.5544
1998.0,0.5549000000000001
2000.0,0.55545
2002.0,0.5559000000000001
2004.0,0.55655
2006.0,0.5574
2008.0,0.5582
2010.0,0.5589999999999999
2012.0,0.5596
2014.0,0.5602
2016.0,0.5607
2018.0,0.56085
2020.0,0.5613
2022.0,0.5617
2024.0,0.5625
2026.0,0.5631
2028.0,0.5637
2030.0,0.5640999999999999
2032.0,0.56445
2034.0,0.5654
2036.0,0.5660000000000001
2038.0,0.5669
2040.0,0.5679
2042.0,0.5683
2044.0,0.5681
2046.0,0.5683
2048.0,0.5685
2050.0,0.5692
2052.0,0.5697
2054.0,0.5699000000000001
2056.0,0.5700999999999999
2058.0,0.5702
2060.0,0.5703
2062.0,0.5707
2064.0,0.5713
2066.0,0.5716
2068.0,0.5719
2070.0,0.5716
2072.0,0.5717
2074.0,0.5719
2076.0,0.5719
2078.0,0.5721
2080.0,0.5721
2082.0,0.5722999999999999
2084.0,0.5718
2086.0,0.5716
2088.0,0.5718
2090.0,0.5718
2092.0,0.5719
2094.0,0.5713
2096.0,0.5709000000000001
2098.0,0.5707
2100.0,0.5705
2102.0,0.57055
2104.0,0.57055
2106.0,0.5703
2108.0,0.5699000000000001
2110.0,0.5692
2112.0,0.569
2114.0,0.5690999999999999
2116.0,0.5692
2118.0,0.5694
2120.0,0.56875
2122.0,0.5684
2124.0,0.5682
2126.0,0.5682
2128.0,0.5679
2130.0,0.5672999999999999
2132.0,0.5669
2134.0,0.5666
2136.0,0.56625
2138.0,0.5661
2140.0,0.5658
2142.0,0.5656
2144.0,0.5648
2146.0,0.5644
2148.0,0.5638000000000001
2150.0,0.5633
2152.0,0.563
2154.0,0.5625
2156.0,0.5619
2158.0,0.5611999999999999
2160.0,0.56
2162.0,0.5589
2164.0,0.5574
2166.0,0.5558
2168.0,0.5545
2170.0,0.5528
2172.0,0.5515
2174.0,0.5502
2176.0,0.54865
2178.0,0.5471
2180.0,0.5456
2182.0,0.5439
2184.0,0.542
2186.0,0.5402
2188.0,0.5382
2190.0,0.5367000000000001
2192.0,0.5347999999999999
2194.0,0.5332
2196.0,0.53175
2198.0,0.5307999999999999
2200.0,0.5297999999999999
2202.0,0.5287
2204.0,0.5286
2206.0,0.529
2208.0,0.52925
2210.0,0.5296
2212.0,0.5301
2214.0,0.5304
2216.0,0.53105
2218.0,0.5305
2220.0,0.5297
2222.0,0.5284
2224.0,0.5268
2226.0,0.52565
2228.0,0.5243
2230.0,0.5223
2232.0,0.5197999999999999
2234.0,0.5169
2236.0,0.5145000000000001
2238.0,0.5118
2240.0,0.51
2242.0,0.5075
2244.0,0.5052
2246.0,0.5034000000000001
2248.0,0.5014
2250.0,0.49920000000000003
2252.0,0.49670000000000003
2254.0,0.49439999999999995
2256.0,0.493
2258.0,0.4921
2260.0,0.49200000000000005
2262.0,0.4925
2264.0,0.49340000000000006
2266.0,0.49420000000000003
2268.0,0.4953
2270.0,0.49579999999999996
2272.0,0.49579999999999996
2274.0,0.496
2276.0,0.4954
2278.0,0.4941
2280.0,0.49200000000000005
2282.0,0.4901
2284.0,0.48829999999999996
2286.0,0.486
2288.0,0.4841
2290.0,0.4827
2292.0,0.4818
2294.0,0.48119999999999996
2296.0,0.4807
2298.0,0.4797
2300.0,0.47859999999999997
2302.0,0.47740000000000005
2304.0,0.4768
2306.0,0.47600000000000003
2308.0,0.4743
2310.0,0.4719
2312.0,0.4692
2314.0,0.46659999999999996
2316.0,0.4631
2318.0,0.4595
2320.0,0.4559
2322.0,0.4523
2324.0,0.4485
2326.0,0.4447
2328.0,0.4416
2330.0,0.4391
2332.0,0.43700000000000006
2334.0,0.4353
2336.0,0.4336
2338.0,0.4326
2340.0,0.43119999999999997
2342.0,0.4301
2344.0,0.4292
2346.0,0.42829999999999996
2348.0,0.42700000000000005
2350.0,0.425
2352.0,0.4227
2354.0,0.4208
2356.0,0.4199
2358.0,0.4203
2360.0,0.4202
2362.0,0.4208
2364.0,0.4225
2366.0,0.4255
2368.0,0.4288
2370.0,0.4329
2372.0,0.4371
2374.0,0.4412
2376.0,0.44439999999999996
2378.0,0.4472
2380.0,0.4489
2382.0,0.4506
2384.0,0.45270000000000005
2386.0,0.4548
2388.0,0.45640000000000003
2390.0,0.457
2392.0,0.4576
2394.0,0.45880000000000004
2396.0,0.46020000000000005
2398.0,0.4617
2400.0,0.4629
2402.0,0.46399999999999997
2404.0,0.4646
2406.0,0.46509999999999996
2408.0,0.4664
2410.0,0.46630000000000005
2412.0,0.4661
2414.0,0.4657
2416.0,0.466
2418.0,0.46590000000000004
2420.0,0.4654
2422.0,0.4646
2424.0,0.4632
2426.0,0.46159999999999995
2428.0,0.46049999999999996
2430.0,0.4586
2432.0,0.45740000000000003
2434.0,0.45659999999999995
2436.0,0.45549999999999996
2438.0,0.4537
2440.0,0.4518
2442.0,0.45020000000000004
2444.0,0.4485
2446.0,0.44689999999999996
2448.0,0.44530000000000003
2450.0,0.4432
2452.0,0.44060000000000005
2454.0,0.4384
2456.0,0.4363
2458.0,0.43420000000000003
2460.0,0.43189999999999995
2462.0,0.431
2464.0,0.4305
2466.0,0.4305
2468.0,0.43
2470.0,0.429
2472.0,0.4289
2474.0,0.4301
2476.0,0.43079999999999996
2478.0,0.4318
2480.0,0.433
2482.0,0.43439999999999995
2484.0,0.4349
2486.0,0.4354
2488.0,0.4363
2490.0,0.4361
2492.0,0.4353
2494.0,0.4335
2496.0,0.4329
2498.0,0.4326
2500.0,0.43270000000000003
