wavelength,reflectance
1300.0,0.6498999999999999
1302.0,0.6422
1304.0,0.6379
1306.0,0.6377
1308.0,0.6394
1310.0,0.6406999999999999
1312.0,0.6415000000000001
1314.0,0.6416
1316.0,0.6416
1318.0,0.6415000000000001
1320.0,0.6401
1322.0,0.6386999999999999
1324.0,0.6372
1326.0,0.63555
1328.0,0.6338
1330.0,0.6344
1332.0,0.6363
1334.0,0.6363
1336.0,0.6343
1338.0,0.6309
1340.0,0.6257
1342.0,0.6217
1344.0,0.6184000000000001
1346.0,0.6127
1348.0,0.6062
1350.0,0.5982999999999999
1352.0,0.5887
1354.0,0.5795
1356.0,0.5717
1358.0,0.5655
1360.0,0.5617
1362.0,0.5592
1364.0,0.5556
1366.0,0.5489999999999999
1368.0,0.5378000000000001
1370.0,0.5205
1372.0,0.49829999999999997
1374.0,0.47350000000000003
1376.0,0.45020000000000004
1378.0,0.43320000000000003
1380.0,0.426
1382.0,0.42979999999999996
1384.0,0.4447
1386.0,0.466
1388.0,0.489
1390.0,0.5105
1392.0,0.5271
1394.0,0.5385
1396.0,0.545
1398.0,0.5461
1400.0,0.5426
1402.0,0.5341
1404.0,0.51955
1406.0,0.4966
1408.0,0.46520000000000006
1410.0,0.43
1412.0,0.3995
1414.0,0.3831
1416.0,0.38655
1418.0,0.40909999999999996
1420.0,0.4454
1422.0,0.4876
1424.0,0.5284
1426.0,0.563
1428.0,0.5903
1430.0,0.6109
1432.0,0.6265
1434.0,0.6386999999999999
1436.0,0.6479
1438.0,0.65495
1440.0,0.66035
1442.0,0.6643000000000001
1444.0,0.6674
1446.0,0.6698000000000001
1448.0,0.6720999999999999
1450.0,0.6747
1452.0,0.6779000000000001
1454.0,0.6812999999999999
1456.0,0.6846
1458.0,0.6873
1460.0,0.6894499999999999
1462.0,0.69125
1464.0,0.6928
1466.0,0.6937000000000001
1468.0,0.6940000000000001
1470.0,0.6944
1472.0,0.6947
1474.0,0.695
1476.0,0.696
1478.0,0.6969
1480.0,0.6976
1482.0,0.6980500000000001
1484.0,0.698
1486.0,0.698
1488.0,0.6984999999999999
1490.0,0.6989
1492.0,0.6990000000000001
1494.0,0.6990999999999999
1496.0,0.69915
1498.0,0.6994
1500.0,0.6995
1502.0,0.6993
1504.0,0.6990999999999999
1506.0,0.6990000000000001
1508.0,0.6994
1510.0,0.6995999999999999
1512.0,0.69985
1514.0,0.7
1516.0,0.69985
1518.0,0.6998000000000001
1520.0,0.6995999999999999
1522.0,0.6995
1524.0,0.6995999999999999
1526.0,0.6997
1528.0,0.6995
1530.0,0.6990000000000001
1532.0,0.6987000000000001
1534.0,0.6983
1536.0,0.6979000000000001
1538.0,0.6975
1540.0,0.6970999999999999
1542.0,0.6970000000000001
1544.0,0.6969
1546.0,0.6967
1548.0,0.6964
1550.0,0.6962999999999999
1552.0,0.696
1554.0,0.6958
1556.0,0.6958
1558.0,0.6958
1560.0,0.6958
1562.0,0.6958
1564.0,0.6954
1566.0,0.6953
1568.0,0.6955
1570.0,0.696
1572.0,0.696
1574.0,0.6959000000000001
1576.0,0.6958
1578.0,0.6959000000000001
1580.0,0.6958
1582.0,0.6959000000000001
1584.0,0.696
1586.0,0.6959000000000001
1588.0,0.6962
1590.0,0.6962999999999999
1592.0,0.6962
1594.0,0.6964
1596.0,0.6966
1598.0,0.6968000000000001
1600.0,0.6970999999999999
1602.0,0.6972
1604.0,0.6970000000000001
1606.0,0.6970000000000001
1608.0,0.6969
1610.0,0.6966
1612.0,0.6964
1614.0,0.696
1616.0,0.696
1618.0,0.696
1620.0,0.6958
1622.0,0.6953
1624.0,0.6944
1626.0,0.69375
1628.0,0.6936
1630.0,0.6936
1632.0,0.6936
1634.0,0.6933
1636.0,0.693
1638.0,0.6929000000000001
1640.0,0.6929000000000001
1642.0,0.6927
1644.0,0.6925
1646.0,0.6918000000000001
1648.0,0.691
1650.0,0.6909000000000001
1652.0,0.6906
