wavelength,reflectance
1300.0,0.5123
1302.0,0.5138
1304.0,0.5158
1306.0,0.51595
1308.0,0.5134000000000001
1310.0,0.5118
1312.0,0.511
1314.0,0.5121
1316.0,0.5136999999999999
1318.0,0.5141
1320.0,0.5132
1322.0,0.513
1324.0,0.5123
1326.0,0.5125
1328.0,0.512
1330.0,0.5119
1332.0,0.51235
1334.0,0.5119
1336.0,0.5119
1338.0,0.5121
1340.0,0.5116499999999999
1342.0,0.5126
1344.0,0.51345
1346.0,0.5131
1348.0,0.5125
1350.0,0.5118
1352.0,0.5115999999999999
1354.0,0.5119
1356.0,0.5123
1358.0,0.5125
1360.0,0.51235
1362.0,0.5121
1364.0,0.5119
1366.0,0.5118
1368.0,0.5122
1370.0,0.51235
1372.0,0.51235
1374.0,0.5123
1376.0,0.512
1378.0,0.5118
1380.0,0.5115999999999999
1382.0,0.5111
1384.0,0.5108
1386.0,0.5104
1388.0,0.5101
1390.0,0.5094
1392.0,0.509
1394.0,0.5083
1396.0,0.5077
1398.0,0.5072
1400.0,0.5068
1402.0,0.5064
1404.0,0.506
1406.0,0.5055
1408.0,0.5049
1410.0,0.5044
1412.0,0.504
1414.0,0.50375
1416.0,0.504
1418.0,0.5044
1420.0,0.505
1422.0,0.5053
1424.0,0.5057
1426.0,0.5058
1428.0,0.5058
1430.0,0.506
1432.0,0.5065999999999999
1434.0,0.5073
1436.0,0.5079
1438.0,0.508
1440.0,0.5079
1442.0,0.50805
1444.0,0.5083
1446.0,0.5085999999999999
1448.0,0.5085999999999999
1450.0,0.5088
1452.0,0.5092
1454.0,0.5094
1456.0,0.5095000000000001
1458.0,0.5093
1460.0,0.509
1462.0,0.5093
1464.0,0.5092
1466.0,0.5092
1468.0,0.5093
1470.0,0.5093
1472.0,0.5093
1474.0,0.5094
1476.0,0.509
1478.0,0.5092
1480.0,0.5093
1482.0,0.5094
1484.0,0.5092
1486.0,0.5089
1488.0,0.5088
1490.0,0.5089
1492.0,0.5089
1494.0,0.509
1496.0,0.5086999999999999
1498.0,0.5085999999999999
1500.0,0.5085000000000001
1502.0,0.50805
1504.0,0.5078
1506.0,0.5073
1508.0,0.507
1510.0,0.5072
1512.0,0.5069
1514.0,0.5065999999999999
1516.0,0.5061
1518.0,0.5051
1520.0,0.50445
1522.0,0.5039
1524.0,0.5028
1526.0,0.5017
1528.0,0.5008
1530.0,0.5001
1532.0,0.4997
1534.0,0.4991
1536.0,0.4984
1538.0,0.49770000000000003
1540.0,0.4971
1542.0,0.4964
1544.0,0.4959
1546.0,0.4951
1548.0,0.495
1550.0,0.4953
1552.0,0.496
1554.0,0.4972
1556.0,0.4984
1558.0,0.4999
1560.0,0.5015
1562.0,0.5029
1564.0,0.5041
1566.0,0.5047
1568.0,0.5053
1570.0,0.5065999999999999
1572.0,0.5075999999999999
1574.0,0.5085999999999999
1576.0,0.5091
1578.0,0.5095000000000001
1580.0,0.5104
1582.0,0.5114
1584.0,0.5122
1586.0,0.5129
1588.0,0.5136
1590.0,0.51415
1592.0,0.5146999999999999
1594.0,0.5151
1596.0,0.5157
1598.0,0.5163
1600.0,0.5165
1602.0,0.517
1604.0,0.5174
1606.0,0.5179
1608.0,0.5182
1610.0,0.5182
1612.0,0.5183
1614.0,0.5186
1616.0,0.5191
1618.0,0.5193
1620.0,0.5195000000000001
1622.0,0.5197999999999999
1624.0,0.52
1626.0,0.5202
1628.0,0.5204
1630.0,0.5207
1632.0,0.52135
1634.0,0.5217
1636.0,0.5218
1638.0,0.5217
1640.0,0.5218
1642.0,0.5219
1644.0,0.5222
1646.0,0.52205
1648.0,0.5223
1650.0,0.5224
1652.0,0.5225
1654.0,0.5226
1656.0,0.523
1658.0,0.52315
1660.0,0.52315
1662.0,0.523
1664.0,0.5227
1666.0,0.523
1668.0,0.5233
1670.0,0.52315
1672.0,0.523
1674.0,0.523
1676.0,0.5233
1678.0,0.5236
1680.0,0.5238
1682.0,0.5238
1684.0,0.5238499999999999
1686.0,0.5241
1688.0,0.5243
1690.0,0.5244
1692.0,0.5244
1694.0,0.5243
1696.0,0.5245000000000001
1698.0,0.5249
1700.0,0.5256000000000001
1702.0,0.5261
1704.0,0.5263
1706.0,0.5262
1708.0,0.5261
1710.0,0.5262
1712.0,0.5265
1714.0,0.5268
1716.0,0.5272
1718.0,0.5271
1720.0,0.5271
1722.0,0.5273
1724.0,0.5278
1726.0,0.5285
1728.0,0.5286
1730.0,0.5286
1732.0,0.5284
1734.0,0.5284
1736.0,0.5286
1738.0,0.5291
1740.0,0.5295000000000001
1742.0,0.5295000000000001
1744.0,0.52925
1746.0,0.52925
1748.0,0.5295000000000001
1750.0,0.5295000000000001
1752.0,0.5295000000000001
1754.0,0.5296
1756.0,0.5299499999999999
1758.0,0.5305
1760.0,0.5307999999999999
1762.0,0.5309
1764.0,0.53105
1766.0,0.5312
1768.0,0.531
1770.0,0.531
1772.0,0.53105
1774.0,0.53105
1776.0,0.5314
1778.0,0.5314
1780.0,0.5316
1782.0,0.532
1784.0,0.5322
1786.0,0.5325
1788.0,0.5325
1790.0,0.5324
1792.0,0.5321
1794.0,0.5318999999999999
1796.0,0.5318999999999999
1798.0,0.5318999999999999
1800.0,0.5318999999999999
1802.0,0.532
1804.0,0.5322
1806.0,0.5324
1808.0,0.5324
1810.0,0.5321
1812.0,0.5314
1814.0,0.5305
1816.0,0.5297
1818.0,0.5289
1820.0,0.5276
1822.0,0.5261
1824.0,0.5246999999999999
