wavelength,reflectance
1300.0,0.455
1302.0,0.4571
1304.0,0.4572
1306.0,0.45659999999999995
1308.0,0.4575
1310.0,0.45649999999999996
1312.0,0.45640000000000003
1314.0,0.4569
1316.0,0.4558
1318.0,0.455
1320.0,0.4545
1322.0,0.4549
1324.0,0.456
1326.0,0.457
1328.0,0.4573
1330.0,0.4576
1332.0,0.4573
1334.0,0.4569
1336.0,0.457
1338.0,0.45659999999999995
1340.0,0.4572
1342.0,0.4576
1344.0,0.45740000000000003
1346.0,0.45770000000000005
1348.0,0.4582
1350.0,0.45880000000000004
1352.0,0.4593
1354.0,0.4596
1356.0,0.45990000000000003
1358.0,0.46009999999999995
1360.0,0.46009999999999995
1362.0,0.4603
1364.0,0.4607
1366.0,0.461
1368.0,0.46149999999999997
1370.0,0.4618
1372.0,0.4622
1374.0,0.46259999999999996
1376.0,0.46299999999999997
1378.0,0.46340000000000003
1380.0,0.46380000000000005
1382.0,0.4642
1384.0,0.46490000000000004
1386.0,0.46490000000000004
1388.0,0.46509999999999996
1390.0,0.4657
1392.0,0.4657
1394.0,0.466
1396.0,0.46630000000000005
1398.0,0.46630000000000005
1400.0,0.4667
1402.0,0.4672
1404.0,0.4677
1406.0,0.4683
1408.0,0.4686
1410.0,0.46869999999999995
1412.0,0.46909999999999996
1414.0,0.4696
1416.0,0.4703
1418.0,0.4711
1420.0,0.47159999999999996
1422.0,0.4722
1424.0,0.4728
1426.0,0.47340000000000004
1428.0,0.4742
1430.0,0.47479999999999994
1432.0,0.4756
1434.0,0.47600000000000003
1436.0,0.4765
1438.0,0.4771
1440.0,0.47759999999999997
1442.0,0.4781
1444.0,0.4789
1446.0,0.4794
1448.0,0.48009999999999997
1450.0,0.4807
1452.0,0.48109999999999997
1454.0,0.4816
1456.0,0.48210000000000003
1458.0,0.4825
1460.0,0.4829
1462.0,0.48350000000000004
1464.0,0.484
1466.0,0.48469999999999996
1468.0,0.48560000000000003
1470.0,0.4861
1472.0,0.4866
1474.0,0.48729999999999996
1476.0,0.4875
1478.0,0.48840000000000006
1480.0,0.4891
1482.0,0.48960000000000004
1484.0,0.49
1486.0,0.4907
1488.0,0.491
1490.0,0.4916
1492.0,0.4921
1494.0,0.4926
1496.0,0.49340000000000006
1498.0,0.4943
1500.0,0.4953
1502.0,0.4959
1504.0,0.4965
1506.0,0.49700000000000005
1508.0,0.4979
1510.0,0.4988
1512.0,0.4996
1514.0,0.4999
1516.0,0.50015
1518.0,0.5007
1520.0,0.5015
1522.0,0.5022
1524.0,0.5028
1526.0,0.5033
1528.0,0.5035000000000001
1530.0,0.504
1532.0,0.5046
1534.0,0.5052
1536.0,0.5057
1538.0,0.50625
1540.0,0.5069
1542.0,0.5075999999999999
1544.0,0.5085000000000001
1546.0,0.5091
1548.0,0.5091
1550.0,0.5095000000000001
1552.0,0.51
1554.0,0.51055
1556.0,0.5114
1558.0,0.512
1560.0,0.51235
1562.0,0.5131
1564.0,0.5136999999999999
1566.0,0.514
1568.0,0.5143
1570.0,0.5146000000000001
1572.0,0.515
1574.0,0.5159
1576.0,0.5166
1578.0,0.5169
1580.0,0.5174
1582.0,0.5177
1584.0,0.5177
1586.0,0.5177499999999999
1588.0,0.5182
1590.0,0.5186
1592.0,0.5192
1594.0,0.5199
1596.0,0.5201
1598.0,0.52025
1600.0,0.5207
1602.0,0.521
1604.0,0.5213
1606.0,0.5215
1608.0,0.522
1610.0,0.5227
1612.0,0.5233
1614.0,0.5236999999999999
1616.0,0.5233
1618.0,0.5231
1620.0,0.52315
1622.0,0.5236
1624.0,0.5236
1626.0,0.524
1628.0,0.524
1630.0,0.5242
1632.0,0.5246
1634.0,0.5247999999999999
1636.0,0.5251
1638.0,0.5255
1640.0,0.5254
1642.0,0.5255
1644.0,0.5252
1646.0,0.5252
1648.0,0.5256000000000001
1650.0,0.5257999999999999
1652.0,0.5259
1654.0,0.5262
1656.0,0.5265
1658.0,0.5267000000000001
1660.0,0.5267000000000001
1662.0,0.5266
1664.0,0.5265
1666.0,0.5265
1668.0,0.5266
1670.0,0.5265
1672.0,0.5263
1674.0,0.5262
1676.0,0.5262
1678.0,0.5266
1680.0,0.5268999999999999
1682.0,0.527
1684.0,0.527
1686.0,0.527
1688.0,0.5273
1690.0,0.5279
1692.0,0.5281
1694.0,0.5284
1696.0,0.5289
1698.0,0.529
1700.0,0.5291
1702.0,0.52925
1704.0,0.5295000000000001
1706.0,0.5296
1708.0,0.5297
1710.0,0.5295000000000001
1712.0,0.52925
1714.0,0.5297999999999999
1716.0,0.5306000000000001
1718.0,0.5309
1720.0,0.53105
1722.0,0.5307999999999999
1724.0,0.5306000000000001
1726.0,0.5307999999999999
1728.0,0.531
1730.0,0.5312
1732.0,0.5317000000000001
1734.0,0.53175
1736.0,0.5318999999999999
1738.0,0.5318999999999999
