wavelength,reflectance
1300.0,0.8128
1302.0,0.8138
1304.0,0.8133499999999999
1306.0,0.8123
1308.0,0.8122
1310.0,0.8109999999999999
1312.0,0.8101
1314.0,0.8083
1316.0,0.8057
1318.0,0.8040999999999999
1320.0,0.80365
1322.0,0.80295
1324.0,0.8022
1326.0,0.8006
1328.0,0.79935
1330.0,0.7978000000000001
1332.0,0.7961
1334.0,0.7953
1336.0,0.7948999999999999
1338.0,0.7944
1340.0,0.7929999999999999
1342.0,0.79145
1344.0,0.7904000000000001
1346.0,0.7901
1348.0,0.7889499999999999
1350.0,0.7874
1352.0,0.7859999999999999
1354.0,0.7846
1356.0,0.7839
1358.0,0.7834
1360.0,0.7826000000000001
1362.0,0.7815000000000001
1364.0,0.7803
1366.0,0.7787999999999999
1368.0,0.7776000000000001
1370.0,0.7764
1372.0,0.7746999999999999
1374.0,0.773
1376.0,0.7706000000000001
1378.0,0.768
1380.0,0.7653
1382.0,0.7623000000000001
1384.0,0.759
1386.0,0.7558
1388.0,0.7519499999999999
1390.0,0.7476999999999999
1392.0,0.7433
1394.0,0.7386
1396.0,0.7336
1398.0,0.7291
1400.0,0.7243999999999999
1402.0,0.7199
1404.0,0.7156
1406.0,0.7112
1408.0,0.7071999999999999
1410.0,0.70345
1412.0,0.69985
1414.0,0.6970000000000001
1416.0,0.6945
1418.0,0.6922
1420.0,0.6905
1422.0,0.6890000000000001
1424.0,0.6876000000000001
1426.0,0.6862
1428.0,0.6847
1430.0,0.6829999999999999
1432.0,0.6820999999999999
1434.0,0.68045
1436.0,0.6793
1438.0,0.6775
1440.0,0.6761
1442.0,0.6745
1444.0,0.6728000000000001
1446.0,0.6711
1448.0,0.6697
1450.0,0.6684
1452.0,0.6675
1454.0,0.6662
1456.0,0.6648999999999999
1458.0,0.6634
1460.0,0.6618999999999999
1462.0,0.66035
1464.0,0.6591
1466.0,0.6579999999999999
1468.0,0.657
1470.0,0.6557999999999999
1472.0,0.6544
1474.0,0.65315
1476.0,0.6524500000000001
1478.0,0.6517000000000001
1480.0,0.65065
1482.0,0.6496999999999999
1484.0,0.6486
1486.0,0.6473
1488.0,0.6463
1490.0,0.6451
1492.0,0.6439
1494.0,0.6429
1496.0,0.6418
1498.0,0.6408
1500.0,0.6399
1502.0,0.6389
1504.0,0.6381
1506.0,0.63735
1508.0,0.6364
