wavelength,reflectance
1300.0,0.7486
1302.0,0.748
1304.0,0.7490000000000001
1306.0,0.7495
1308.0,0.75015
1310.0,0.7498999999999999
1312.0,0.7493000000000001
1314.0,0.7495999999999999
1316.0,0.7501000000000001
1318.0,0.7509999999999999
1320.0,0.7522
1322.0,0.7532
1324.0,0.7535
1326.0,0.7531
1328.0,0.753
1330.0,0.753
1332.0,0.7517
1334.0,0.7521
1336.0,0.7528
1338.0,0.7529
1340.0,0.753
1342.0,0.7525
1344.0,0.7519
1346.0,0.7528
1348.0,0.7536
1350.0,0.7532
1352.0,0.7526
1354.0,0.7525
1356.0,0.753
1358.0,0.7536
1360.0,0.7541
1362.0,0.7536
1364.0,0.75265
1366.0,0.7518
1368.0,0.7508
1370.0,0.7503
1372.0,0.7495
1374.0,0.748
1376.0,0.7467
1378.0,0.7453
1380.0,0.7440000000000001
1382.0,0.7422
1384.0,0.7399
1386.0,0.7365
1388.0,0.7328
1390.0,0.727
1392.0,0.7198
1394.0,0.7108
1396.0,0.7004
1398.0,0.6890000000000001
1400.0,0.6770999999999999
1402.0,0.6656
1404.0,0.6554000000000001
1406.0,0.6467
1408.0,0.6396000000000001
1410.0,0.6343
1412.0,0.6314
1414.0,0.63125
1416.0,0.6336999999999999
1418.0,0.63845
1420.0,0.6455
1422.0,0.6537000000000001
1424.0,0.6631
1426.0,0.6723
1428.0,0.6809999999999999
1430.0,0.6893
1432.0,0.6966
1434.0,0.7031000000000001
1436.0,0.70955
1438.0,0.7152
1440.0,0.7198
1442.0,0.7242000000000001
1444.0,0.7268000000000001
1446.0,0.7287
1448.0,0.7302
1450.0,0.7313
1452.0,0.7325499999999999
1454.0,0.7342
1456.0,0.7354
1458.0,0.7363
1460.0,0.73685
1462.0,0.7375
1464.0,0.7378
1466.0,0.7381
1468.0,0.7383
1470.0,0.7386499999999999
1472.0,0.7392
1474.0,0.7401000000000001
1476.0,0.7406999999999999
1478.0,0.7406999999999999
1480.0,0.74115
1482.0,0.74225
1484.0,0.7434000000000001
1486.0,0.745
1488.0,0.7456999999999999
1490.0,0.746
1492.0,0.7467
1494.0,0.7476999999999999
1496.0,0.7486
1498.0,0.7491
1500.0,0.7495999999999999
1502.0,0.7495999999999999
1504.0,0.7501000000000001
1506.0,0.7506999999999999
1508.0,0.7511
1510.0,0.7522
1512.0,0.7528
1514.0,0.753
1516.0,0.7535
1518.0,0.754
1520.0,0.7544
1522.0,0.7548
1524.0,0.755
1526.0,0.7555
1528.0,0.7564
1530.0,0.7567
1532.0,0.7565999999999999
1534.0,0.7565999999999999
1536.0,0.7565000000000001
1538.0,0.7569
1540.0,0.7576
1542.0,0.7572
1544.0,0.7576999999999999
1546.0,0.758
1548.0,0.7585
1550.0,0.7593000000000001
1552.0,0.75985
