wavelength,reflectance
1300.0,0.7093
1302.0,0.7109000000000001
1304.0,0.71135
1306.0,0.7097
1308.0,0.7070000000000001
1310.0,0.7040000000000001
1312.0,0.7014
1314.0,0.6989
1316.0,0.6951999999999999
1318.0,0.6907
1320.0,0.6865000000000001
1322.0,0.6811
1324.0,0.6754000000000001
1326.0,0.6706
1328.0,0.6636
1330.0,0.6557
1332.0,0.6505
1334.0,0.6467
1336.0,0.6445000000000001
1338.0,0.6445000000000001
1340.0,0.6441
1342.0,0.6444
1344.0,0.6442
1346.0,0.6426000000000001
1348.0,0.64095
1350.0,0.6399
1352.0,0.6391
1354.0,0.6396000000000001
1356.0,0.6404000000000001
1358.0,0.6418
1360.0,0.6437999999999999
1362.0,0.6457999999999999
1364.0,0.6474
1366.0,0.64815
1368.0,0.6481
1370.0,0.6475
1372.0,0.6462
1374.0,0.6444
1376.0,0.6422
1378.0,0.6399
1380.0,0.6375
1382.0,0.6354
1384.0,0.6329
1386.0,0.6299
1388.0,0.6262
1390.0,0.6219
1392.0,0.6171
1394.0,0.6114999999999999
1396.0,0.6053000000000001
1398.0,0.5985499999999999
1400.0,0.5914
1402.0,0.5836
1404.0,0.5754
1406.0,0.5667
1408.0,0.5578
1410.0,0.54865
1412.0,0.5395
1414.0,0.5306000000000001
1416.0,0.5219
1418.0,0.5132
1420.0,0.5051
1422.0,0.49729999999999996
1424.0,0.4902
1426.0,0.4841
1428.0,0.4789
1430.0,0.4744
1432.0,0.4708
1434.0,0.4675
1436.0,0.4645
1438.0,0.462
1440.0,0.4603
1442.0,0.45880000000000004
1444.0,0.4568
1446.0,0.4534
1448.0,0.4483
1450.0,0.4413
1452.0,0.43270000000000003
1454.0,0.423
1456.0,0.41340000000000005
1458.0,0.40509999999999996
1460.0,0.4
1462.0,0.3992
1464.0,0.4031
1466.0,0.4118
1468.0,0.4241
1470.0,0.43799999999999994
1472.0,0.4521
1474.0,0.4647
1476.0,0.475
1478.0,0.4824
1480.0,0.4876
1482.0,0.4903
1484.0,0.4905
1486.0,0.488
1488.0,0.4836
1490.0,0.4783
1492.0,0.4744
1494.0,0.47369999999999995
1496.0,0.47700000000000004
1498.0,0.4839
1500.0,0.493
1502.0,0.5028
1504.0,0.5121
1506.0,0.5197999999999999
1508.0,0.5259
1510.0,0.53105
1512.0,0.5347999999999999
1514.0,0.5378499999999999
1516.0,0.5409
1518.0,0.5431
1520.0,0.54505
1522.0,0.5468
1524.0,0.5483
1526.0,0.54935
1528.0,0.5503
1530.0,0.551
1532.0,0.5514
1534.0,0.5515
1536.0,0.55115
1538.0,0.5508
1540.0,0.5503
1542.0,0.5497
1544.0,0.54865
1546.0,0.5474
1548.0,0.5457
1550.0,0.5440999999999999
1552.0,0.5422
1554.0,0.5404
1556.0,0.53895
1558.0,0.5378499999999999
1560.0,0.5373
1562.0,0.53715
1564.0,0.5376
1566.0,0.5384
1568.0,0.5393
1570.0,0.5403
1572.0,0.5407
1574.0,0.5411
1576.0,0.5412
1578.0,0.5417000000000001
1580.0,0.5422
1582.0,0.5422
1584.0,0.542
1586.0,0.5417000000000001
1588.0,0.5413
1590.0,0.5409
1592.0,0.5405
1594.0,0.5399
1596.0,0.5395
1598.0,0.5394
1600.0,0.5396
1602.0,0.5399
1604.0,0.5406
1606.0,0.5412
1608.0,0.5417000000000001
1610.0,0.5428000000000001
1612.0,0.5440999999999999
1614.0,0.5452
1616.0,0.5462
1618.0,0.547
1620.0,0.5478999999999999
1622.0,0.5489999999999999
1624.0,0.5502
1626.0,0.5513
1628.0,0.5524
1630.0,0.55365
1632.0,0.5552
1634.0,0.5568
1636.0,0.5581
1638.0,0.5592
1640.0,0.5605
1642.0,0.5623
1644.0,0.5637
1646.0,0.565
1648.0,0.5661
1650.0,0.5672
1652.0,0.5689
1654.0,0.5709000000000001
1656.0,0.5726
1658.0,0.5743
1660.0,0.5757
1662.0,0.5770000000000001
1664.0,0.5781000000000001
1666.0,0.5792
1668.0,0.5801
1670.0,0.5811
1672.0,0.5824
1674.0,0.58385
1676.0,0.5853
1678.0,0.5865
1680.0,0.5875
1682.0,0.5886
1684.0,0.5898
1686.0,0.591
1688.0,0.5919
1690.0,0.5928
1692.0,0.5938
1694.0,0.5949
1696.0,0.5958
1698.0,0.5966
1700.0,0.5974
1702.0,0.598
1704.0,0.5984
1706.0,0.5989
1708.0,0.599
1710.0,0.5992000000000001
1712.0,0.59965
1714.0,0.6003000000000001
1716.0,0.6009
1718.0,0.6013000000000001
1720.0,0.6017
1722.0,0.6025
1724.0,0.6032500000000001
1726.0,0.6035
1728.0,0.6032500000000001
1730.0,0.6025
1732.0,0.6015999999999999
1734.0,0.6008
1736.0,0.5993999999999999
1738.0,0.59785
1740.0,0.5962
1742.0,0.595
1744.0,0.595
1746.0,0.5957
1748.0,0.5963
1750.0,0.597
1752.0,0.5974
1754.0,0.5972
1756.0,0.5964
1758.0,0.5941
1760.0,0.5905
1762.0,0.5859000000000001
1764.0,0.5799
1766.0,0.5734
1768.0,0.5677
1770.0,0.56335
1772.0,0.5614
1774.0,0.5622
1776.0,0.565
1778.0,0.569
1780.0,0.5729
1782.0,0.5764
1784.0,0.5793
1786.0,0.5817
1788.0,0.5831000000000001
1790.0,0.5837
1792.0,0.5837
1794.0,0.5832
1796.0,0.5821999999999999
1798.0,0.5807
1800.0,0.5782
1802.0,0.5753
1804.0,0.5719
1806.0,0.568
1808.0,0.564
1810.0,0.56
1812.0,0.5563
1814.0,0.5532
1816.0,0.5514
1818.0,0.5511
1820.0,0.5523
1822.0,0.5544
1824.0,0.55725
1826.0,0.5606
1828.0,0.5642
1830.0,0.5675
1832.0,0.5702
1834.0,0.5725
1836.0,0.574
1838.0,0.57485
1840.0,0.5751
1842.0,0.5746
1844.0,0.5734
1846.0,0.5717
1848.0,0.57
1850.0,0.5677
1852.0,0.5653
1854.0,0.5628
1856.0,0.5595
1858.0,0.5556
1860.0,0.5511
1862.0,0.546
1864.0,0.5407
1866.0,0.5343
1868.0,0.5264
1870.0,0.5176
1872.0,0.5079
1874.0,0.49729999999999996
1876.0,0.4853
1878.0,0.47119999999999995
1880.0,0.4556
1882.0,0.4382
1884.0,0.4192
1886.0,0.3996
1888.0,0.3801
1890.0,0.36174999999999996
1892.0,0.3457
1894.0,0.33140000000000003
1896.0,0.3189
1898.0,0.3078
1900.0,0.2977
1902.0,0.2888
1904.0,0.2803
1906.0,0.2717
1908.0,0.2634
1910.0,0.25525
1912.0,0.24719999999999998
1914.0,0.2395
1916.0,0.2318
1918.0,0.2241
1920.0,0.2162
1922.0,0.20809999999999998
1924.0,0.1999
1926.0,0.19140000000000001
1928.0,0.1825
1930.0,0.1726
1932.0,0.16219999999999998
1934.0,0.1512
1936.0,0.14029999999999998
1938.0,0.1298
1940.0,0.12
1942.0,0.11199999999999999
1944.0,0.1066
1946.0,0.10460000000000001
1948.0,0.1069
1950.0,0.1142
1952.0,0.1259
1954.0,0.1418
1956.0,0.15990000000000001
1958.0,0.17859999999999998
1960.0,0.19640000000000002
1962.0,0.2122
1964.0,0.2255
1966.0,0.2359
1968.0,0.24359999999999998
1970.0,0.2492
1972.0,0.25329999999999997
1974.0,0.2559
1976.0,0.2575
1978.0,0.2586
1980.0,0.259
1982.0,0.2586
1984.0,0.257
1986.0,0.2547
1988.0,0.2522
1990.0,0.2488
1992.0,0.2452
1994.0,0.2413
1996.0,0.2371
1998.0,0.23309999999999997
2000.0,0.22920000000000001
2002.0,0.2259
2004.0,0.22329999999999997
2006.0,0.22149999999999997
2008.0,0.22030000000000002
2010.0,0.2195
2012.0,0.2194
2014.0,0.2205
2016.0,0.2223
2018.0,0.2248
2020.0,0.22769999999999999
2022.0,0.23129999999999998
2024.0,0.23629999999999998
2026.0,0.2422
2028.0,0.2488
2030.0,0.256
2032.0,0.2636
2034.0,0.2716
2036.0,0.2797
2038.0,0.2872
2040.0,0.294
2042.0,0.3
2044.0,0.3053
2046.0,0.3098
2048.0,0.31370000000000003
2050.0,0.31670000000000004
2052.0,0.3189
2054.0,0.3204
2056.0,0.32159999999999994
2058.0,0.3224
2060.0,0.3225
2062.0,0.3222
2064.0,0.32130000000000003
2066.0,0.32020000000000004
2068.0,0.31865
2070.0,0.3169
2072.0,0.3148
2074.0,0.3128
2076.0,0.3111
2078.0,0.31
2080.0,0.30985
2082.0,0.3102
2084.0,0.3114
2086.0,0.313
2088.0,0.3156
2090.0,0.31920000000000004
2092.0,0.3237
2094.0,0.3287
2096.0,0.3342
2098.0,0.34
2100.0,0.34590000000000004
2102.0,0.3519
2104.0,0.3574
2106.0,0.36219999999999997
2108.0,0.3669
2110.0,0.3711
2112.0,0.3749
2114.0,0.3782
2116.0,0.3809
2118.0,0.3836
2120.0,0.3862
2122.0,0.3887
2124.0,0.3911
2126.0,0.39299999999999996
2128.0,0.3943
2130.0,0.39549999999999996
2132.0,0.39659999999999995
2134.0,0.3981
2136.0,0.3983
2138.0,0.3983
2140.0,0.39799999999999996
2142.0,0.39759999999999995
2144.0,0.3971
2146.0,0.3961
2148.0,0.3951
2150.0,0.39380000000000004
2152.0,0.3924
2154.0,0.3908
2156.0,0.3892
2158.0,0.38780000000000003
2160.0,0.38630000000000003
2162.0,0.385
2164.0,0.384
2166.0,0.3833
2168.0,0.3831
2170.0,0.3826
2172.0,0.3824
2174.0,0.3824
2176.0,0.3823
2178.0,0.3814
2180.0,0.3795
2182.0,0.3774
2184.0,0.3747
2186.0,0.37145000000000006
2188.0,0.36700000000000005
2190.0,0.3626
2192.0,0.3578
2194.0,0.3528
2196.0,0.3479
2198.0,0.3443
2200.0,0.3421
2202.0,0.3414
2204.0,0.3423
2206.0,0.3446
2208.0,0.3489
2210.0,0.35450000000000004
2212.0,0.3617
2214.0,0.3693
2216.0,0.3766
2218.0,0.3834
2220.0,0.38994999999999996
2222.0,0.3968
2224.0,0.40259999999999996
2226.0,0.4079
2228.0,0.413
2230.0,0.4179
2232.0,0.42210000000000003
2234.0,0.4253
2236.0,0.42829999999999996
2238.0,0.43090000000000006
2240.0,0.433
2242.0,0.43520000000000003
2244.0,0.4371
2246.0,0.4387
2248.0,0.44
2250.0,0.4409
2252.0,0.44170000000000004
2254.0,0.4413
2256.0,0.4399
2258.0,0.43810000000000004
2260.0,0.43729999999999997
2262.0,0.4362
2264.0,0.4341
2266.0,0.4314
2268.0,0.4292
2270.0,0.42829999999999996
2272.0,0.4279
2274.0,0.4278
2276.0,0.4282
2278.0,0.429
2280.0,0.43090000000000006
2282.0,0.4334
2284.0,0.4361
2286.0,0.4385
2288.0,0.4411
2290.0,0.44270000000000004
2292.0,0.4437
2294.0,0.44420000000000004
2296.0,0.445
2298.0,0.445
2300.0,0.44439999999999996
2302.0,0.44329999999999997
2304.0,0.442
2306.0,0.4403
2308.0,0.43810000000000004
2310.0,0.43560000000000004
2312.0,0.4329
2314.0,0.4302
2316.0,0.42719999999999997
2318.0,0.4241
2320.0,0.4208
2322.0,0.418
2324.0,0.4152
2326.0,0.41259999999999997
2328.0,0.41009999999999996
2330.0,0.4073
2332.0,0.40369999999999995
2334.0,0.40020000000000006
2336.0,0.39659999999999995
2338.0,0.3935
2340.0,0.39049999999999996
2342.0,0.3875
2344.0,0.3836
2346.0,0.38060000000000005
2348.0,0.37829999999999997
2350.0,0.3764
2352.0,0.37415
2354.0,0.3718
2356.0,0.3697
2358.0,0.36729999999999996
2360.0,0.365
2362.0,0.36219999999999997
2364.0,0.3591
2366.0,0.35590000000000005
2368.0,0.35240000000000005
2370.0,0.3482
2372.0,0.3443
2374.0,0.341
2376.0,0.3379
2378.0,0.3345
2380.0,0.331
2382.0,0.3287
2384.0,0.3264
2386.0,0.3236
2388.0,0.32159999999999994
2390.0,0.31989999999999996
2392.0,0.31775
2394.0,0.3153
2396.0,0.3122
2398.0,0.3079
2400.0,0.3024
2402.0,0.2967
2404.0,0.2898
2406.0,0.2812
2408.0,0.27140000000000003
2410.0,0.262
2412.0,0.2521
2414.0,0.24230000000000002
2416.0,0.2325
2418.0,0.2229
2420.0,0.2133
2422.0,0.204
2424.0,0.1954
2426.0,0.18795
2428.0,0.18230000000000002
2430.0,0.1794
2432.0,0.17850000000000002
2434.0,0.17915
2436.0,0.1812
2438.0,0.18510000000000001
2440.0,0.1907
2442.0,0.1961
2444.0,0.20079999999999998
2446.0,0.20420000000000002
2448.0,0.2072
2450.0,0.2095
2452.0,0.2101
2454.0,0.2095
2456.0,0.20800000000000002
2458.0,0.20670000000000002
2460.0,0.2061
2462.0,0.2064
2464.0,0.2079
2466.0,0.21100000000000002
2468.0,0.2161
2470.0,0.22219999999999998
2472.0,0.22829999999999998
2474.0,0.2348
2476.0,0.2422
2478.0,0.2487
2480.0,0.2548
2482.0,0.2611
2484.0,0.2664
2486.0,0.2712
2488.0,0.2754
2490.0,0.2786
2492.0,0.281
2494.0,0.2832
2496.0,0.2848
2498.0,0.285
2500.0,0.2845
