wavelength,reflectance
1300.0,0.5388000000000001
1302.0,0.5363
1304.0,0.5345
1306.0,0.5324
1308.0,0.5338
1310.0,0.5349
1312.0,0.5334
1314.0,0.53105
1316.0,0.5277000000000001
1318.0,0.5268999999999999
1320.0,0.5272
1322.0,0.52815
1324.0,0.52815
1326.0,0.528
1328.0,0.5271
1330.0,0.5267000000000001
1332.0,0.526
1334.0,0.5259
1336.0,0.526
1338.0,0.5257999999999999
1340.0,0.5254
1342.0,0.5246
1344.0,0.5236
1346.0,0.5227
1348.0,0.5223
1350.0,0.522
1352.0,0.5219
1354.0,0.522
1356.0,0.5216
1358.0,0.5211
1360.0,0.52025
1362.0,0.5195000000000001
1364.0,0.5188
1366.0,0.5181
1368.0,0.5174
1370.0,0.5167
1372.0,0.5154
1374.0,0.514
1376.0,0.5123
1378.0,0.5102
1380.0,0.5079
1382.0,0.5049
1384.0,0.5015999999999999
1386.0,0.4976
1388.0,0.49329999999999996
1390.0,0.4885
1392.0,0.48340000000000005
1394.0,0.4778
1396.0,0.4719
1398.0,0.4658
1400.0,0.46
1402.0,0.4545
1404.0,0.44939999999999997
1406.0,0.4449
1408.0,0.4412
1410.0,0.4382
1412.0,0.4357
1414.0,0.4335
1416.0,0.4318
1418.0,0.4307
1420.0,0.43
1422.0,0.4292
1424.0,0.4282
1426.0,0.4269
1428.0,0.4253
1430.0,0.42369999999999997
1432.0,0.4225
1434.0,0.4217
1436.0,0.42219999999999996
1438.0,0.42369999999999997
1440.0,0.4263
1442.0,0.42979999999999996
1444.0,0.4339
1446.0,0.43829999999999997
1448.0,0.4429
1450.0,0.4473
1452.0,0.4514
1454.0,0.4549
1456.0,0.45740000000000003
1458.0,0.4592
1460.0,0.4604
1462.0,0.4612
1464.0,0.462
1466.0,0.46259999999999996
1468.0,0.4629
1470.0,0.4636
1472.0,0.4643
1474.0,0.46549999999999997
1476.0,0.4668
1478.0,0.4682
1480.0,0.4697
1482.0,0.4715
1484.0,0.4733
1486.0,0.47509999999999997
1488.0,0.47619999999999996
1490.0,0.47759999999999997
1492.0,0.4792
1494.0,0.4808
1496.0,0.4824
1498.0,0.4838
1500.0,0.48469999999999996
1502.0,0.48590000000000005
1504.0,0.48710000000000003
1506.0,0.48840000000000006
1508.0,0.48960000000000004
1510.0,0.49079999999999996
1512.0,0.4919
1514.0,0.4929
1516.0,0.4938
1518.0,0.49479999999999996
1520.0,0.49570000000000003
1522.0,0.49670000000000003
1524.0,0.4975
1526.0,0.49829999999999997
1528.0,0.499
1530.0,0.49979999999999997
1532.0,0.5008
1534.0,0.5017
1536.0,0.50195
1538.0,0.5028
1540.0,0.5031
1542.0,0.5039
1544.0,0.5049
1546.0,0.5054
1548.0,0.506
1550.0,0.5067
1552.0,0.5074000000000001
1554.0,0.5078
1556.0,0.50805
1558.0,0.50805
1560.0,0.5083
1562.0,0.5091
1564.0,0.5097
1566.0,0.50985
1568.0,0.51055
1570.0,0.5109
1572.0,0.511
1574.0,0.5109
1576.0,0.5111
1578.0,0.5116499999999999
1580.0,0.51235
1582.0,0.5128
1584.0,0.513
1586.0,0.5131
1588.0,0.5131
1590.0,0.5136
1592.0,0.5141
1594.0,0.5144
1596.0,0.5144
1598.0,0.5145000000000001
1600.0,0.5145000000000001
1602.0,0.515
1604.0,0.5153
1606.0,0.5154
1608.0,0.5154
1610.0,0.5155
1612.0,0.5159
1614.0,0.5161
1616.0,0.5161
1618.0,0.5161
1620.0,0.5163
1622.0,0.5166
1624.0,0.517
1626.0,0.517
1628.0,0.5166
1630.0,0.5165
1632.0,0.5166
1634.0,0.5167
1636.0,0.5171
1638.0,0.5171
1640.0,0.5172
1642.0,0.5173
1644.0,0.5171
1646.0,0.5173
1648.0,0.5175
1650.0,0.5176
1652.0,0.5175
1654.0,0.5172
1656.0,0.5172
1658.0,0.5172
1660.0,0.5173
1662.0,0.5175
1664.0,0.517
1666.0,0.5169
1668.0,0.5168
1670.0,0.5166
1672.0,0.5166
1674.0,0.5163
1676.0,0.5163
1678.0,0.5163
1680.0,0.5166
1682.0,0.5168
1684.0,0.5165
1686.0,0.5163
1688.0,0.5163
1690.0,0.5165
1692.0,0.5169
1694.0,0.517
1696.0,0.5171
1698.0,0.5171
1700.0,0.5172
1702.0,0.517
1704.0,0.5167
1706.0,0.5164
1708.0,0.5161
1710.0,0.5158
1712.0,0.5159
1714.0,0.51595
1716.0,0.5162
1718.0,0.5163
1720.0,0.5159
1722.0,0.5155
1724.0,0.515
1726.0,0.5146999999999999
1728.0,0.5153
1730.0,0.5154
1732.0,0.5154
1734.0,0.5152
1736.0,0.515
1738.0,0.5146999999999999
1740.0,0.51415
1742.0,0.5136999999999999
1744.0,0.5129
1746.0,0.51235
1748.0,0.5122
1750.0,0.5122
1752.0,0.512
1754.0,0.5118
1756.0,0.5115
1758.0,0.511
1760.0,0.5109
1762.0,0.5105
1764.0,0.5102
1766.0,0.5096
1768.0,0.5094
1770.0,0.5091
1772.0,0.5088
1774.0,0.5085000000000001
1776.0,0.508
1778.0,0.5074000000000001
1780.0,0.5072
1782.0,0.5067
1784.0,0.5062
1786.0,0.506
1788.0,0.5059
1790.0,0.506
1792.0,0.5059
1794.0,0.5055
1796.0,0.5052
1798.0,0.5046
1800.0,0.5043
1802.0,0.5043
1804.0,0.5043
1806.0,0.50445
1808.0,0.5042
1810.0,0.5039
1812.0,0.5039
1814.0,0.5036999999999999
1816.0,0.5036
1818.0,0.5032
1820.0,0.503
1822.0,0.503
1824.0,0.5028
1826.0,0.5025999999999999
1828.0,0.5021
1830.0,0.5015999999999999
1832.0,0.5013000000000001
1834.0,0.501
1836.0,0.5007
1838.0,0.5003
1840.0,0.4996
1842.0,0.499
1844.0,0.4979
1846.0,0.49670000000000003
1848.0,0.496
1850.0,0.49479999999999996
1852.0,0.49340000000000006
1854.0,0.4917
1856.0,0.48960000000000004
1858.0,0.4877
1860.0,0.48560000000000003
1862.0,0.483
1864.0,0.48
1866.0,0.47619999999999996
1868.0,0.4717
1870.0,0.4668
1872.0,0.4612
1874.0,0.455
1876.0,0.4482
1878.0,0.44079999999999997
1880.0,0.4325
1882.0,0.42340000000000005
1884.0,0.41340000000000005
1886.0,0.4023
1888.0,0.39039999999999997
1890.0,0.37770000000000004
1892.0,0.36469999999999997
1894.0,0.35159999999999997
1896.0,0.3387
1898.0,0.3267
1900.0,0.3164
1902.0,0.308
1904.0,0.30210000000000004
1906.0,0.2985
1908.0,0.29675
1910.0,0.29710000000000003
1912.0,0.2984
1914.0,0.30079999999999996
1916.0,0.3039
1918.0,0.3072
1920.0,0.3106
1922.0,0.3136
1924.0,0.3164
1926.0,0.3193
1928.0,0.3222
1930.0,0.3249
1932.0,0.3272
1934.0,0.32939999999999997
1936.0,0.33140000000000003
1938.0,0.3332
1940.0,0.335
1942.0,0.3368
1944.0,0.33840000000000003
1946.0,0.33985
1948.0,0.34130000000000005
1950.0,0.3427
1952.0,0.3443
1954.0,0.3458
1956.0,0.3472
1958.0,0.34850000000000003
1960.0,0.3497
1962.0,0.35119999999999996
1964.0,0.3525
1966.0,0.35350000000000004
1968.0,0.355
1970.0,0.3567
1972.0,0.3586
1974.0,0.3599
1976.0,0.3613
1978.0,0.36310000000000003
1980.0,0.3651
1982.0,0.36700000000000005
1984.0,0.36840000000000006
1986.0,0.3703
1988.0,0.37235
1990.0,0.37450000000000006
1992.0,0.3764
1994.0,0.37829999999999997
1996.0,0.38049999999999995
1998.0,0.38280000000000003
2000.0,0.38530000000000003
2002.0,0.38770000000000004
2004.0,0.39020000000000005
2006.0,0.3924
