wavelength,reflectance
1300.0,0.5534
1302.0,0.5504
1304.0,0.5486
1306.0,0.54935
1308.0,0.5517
1310.0,0.5526
1312.0,0.5527000000000001
1314.0,0.5528
1316.0,0.5523
1318.0,0.5531
1320.0,0.5532
1322.0,0.552
1324.0,0.5519
1326.0,0.5524
1328.0,0.5515
1330.0,0.5501
1332.0,0.5499
1334.0,0.5503
1336.0,0.5506
1338.0,0.551
1340.0,0.5511
1342.0,0.5498
1344.0,0.55
1346.0,0.5501
1348.0,0.55
1350.0,0.5502
1352.0,0.5502
1354.0,0.55
1356.0,0.5502
1358.0,0.5506
1360.0,0.5506
1362.0,0.5503
1364.0,0.5498
1366.0,0.5493
1368.0,0.5489999999999999
1370.0,0.5489999999999999
1372.0,0.5492
1374.0,0.5490999999999999
1376.0,0.5489999999999999
1378.0,0.5488000000000001
1380.0,0.5482
1382.0,0.54755
1384.0,0.5468
1386.0,0.5453
1388.0,0.5435
1390.0,0.541
1392.0,0.5381
1394.0,0.535
1396.0,0.5321
1398.0,0.5294
1400.0,0.5268999999999999
1402.0,0.5249
1404.0,0.5227
1406.0,0.521
1408.0,0.5196999999999999
1410.0,0.5193
1412.0,0.5197999999999999
1414.0,0.5207999999999999
1416.0,0.5223
1418.0,0.5243
1420.0,0.5263
1422.0,0.5281
1424.0,0.5296
1426.0,0.5306000000000001
1428.0,0.531
1430.0,0.5316
1432.0,0.5321
1434.0,0.5327000000000001
1436.0,0.5329
1438.0,0.5329
1440.0,0.5328
1442.0,0.5331
1444.0,0.5332
1446.0,0.5337
1448.0,0.534
1450.0,0.5344
1452.0,0.5347999999999999
1454.0,0.5352
1456.0,0.5356000000000001
1458.0,0.5360499999999999
1460.0,0.5365
1462.0,0.5367999999999999
1464.0,0.5366
1466.0,0.5364
1468.0,0.5365
1470.0,0.537
1472.0,0.5382
1474.0,0.53895
1476.0,0.5392
1478.0,0.5393
1480.0,0.5395
1482.0,0.5398
1484.0,0.5402
1486.0,0.541
1488.0,0.5422
1490.0,0.5436
1492.0,0.5448
1494.0,0.5455
1496.0,0.546
1498.0,0.5465
1500.0,0.5471
1502.0,0.5477000000000001
1504.0,0.5485
1506.0,0.54935
1508.0,0.5504
1510.0,0.5514
1512.0,0.5519
1514.0,0.5523
1516.0,0.5529
1518.0,0.5534
1520.0,0.5538000000000001
1522.0,0.5542
1524.0,0.5546
1526.0,0.5553
1528.0,0.5559000000000001
1530.0,0.5563
1532.0,0.5565
1534.0,0.5567
1536.0,0.5569
1538.0,0.5572
1540.0,0.5574
1542.0,0.5579
1544.0,0.5586
1546.0,0.5592
1548.0,0.5594
1550.0,0.5597
1552.0,0.5597
1554.0,0.5596
1556.0,0.5596
1558.0,0.5596
1560.0,0.56
1562.0,0.5606
1564.0,0.5611999999999999
1566.0,0.5616
1568.0,0.5617
1570.0,0.5618
1572.0,0.5621
1574.0,0.5625
1576.0,0.5626
1578.0,0.56265
1580.0,0.5628
1582.0,0.5632
1584.0,0.5637
1586.0,0.5642
1588.0,0.56445
1590.0,0.5647
1592.0,0.5647
1594.0,0.5648
1596.0,0.565
1598.0,0.5650999999999999
1600.0,0.5655
1602.0,0.5660000000000001
1604.0,0.5666
1606.0,0.5667
1608.0,0.5668
1610.0,0.5666
1612.0,0.5664
1614.0,0.5666
1616.0,0.5667
1618.0,0.5669
1620.0,0.5672999999999999
1622.0,0.5671
1624.0,0.5672999999999999
1626.0,0.5678
1628.0,0.5679
1630.0,0.5679
1632.0,0.5674
1634.0,0.5669
1636.0,0.5666
1638.0,0.5667
1640.0,0.5668
1642.0,0.5671
1644.0,0.5675
1646.0,0.5679
1648.0,0.5677
1650.0,0.5672
1652.0,0.5672
1654.0,0.5675
1656.0,0.5676
1658.0,0.5675
1660.0,0.5672
1662.0,0.5671
1664.0,0.56695
1666.0,0.5668
1668.0,0.5667
1670.0,0.5664
1672.0,0.56625
1674.0,0.56625
1676.0,0.5664
1678.0,0.5669
1680.0,0.56695
1682.0,0.5667
1684.0,0.5667
1686.0,0.5669
1688.0,0.5668
1690.0,0.5671
1692.0,0.56695
1694.0,0.5672
1696.0,0.5677
1698.0,0.5678
1700.0,0.568
1702.0,0.5683
1704.0,0.5684
1706.0,0.5685
1708.0,0.5682
1710.0,0.5678
1712.0,0.5677
1714.0,0.5677
1716.0,0.5677
