wavelength,reflectance
1300.0,0.5802499999999999
1302.0,0.5802
1304.0,0.5809000000000001
1306.0,0.5818
1308.0,0.5835
1310.0,0.5844
1312.0,0.584
1314.0,0.5811999999999999
1316.0,0.5779
1318.0,0.5757
1320.0,0.5754
1322.0,0.5755
1324.0,0.5758
1326.0,0.5757
1328.0,0.575
1330.0,0.5743
1332.0,0.5736
1334.0,0.5732
1336.0,0.573
1338.0,0.5728
1340.0,0.5719
1342.0,0.5707
1344.0,0.5700999999999999
1346.0,0.5690999999999999
1348.0,0.5677
1350.0,0.5661999999999999
1352.0,0.5643
1354.0,0.563
1356.0,0.56265
1358.0,0.5629
1360.0,0.56335
1362.0,0.5637
1364.0,0.5639
1366.0,0.5637
1368.0,0.5629
1370.0,0.5614
1372.0,0.5593
1374.0,0.5565
1376.0,0.5534
1378.0,0.5499
1380.0,0.546
1382.0,0.5418999999999999
1384.0,0.53715
1386.0,0.53175
1388.0,0.5262
1390.0,0.5213
1392.0,0.5177499999999999
1394.0,0.5161
1396.0,0.5154
1398.0,0.5155
1400.0,0.5157
1402.0,0.5156000000000001
1404.0,0.515
1406.0,0.5134000000000001
1408.0,0.51
1410.0,0.5047999999999999
1412.0,0.4987
1414.0,0.4943
1416.0,0.4928
1418.0,0.49329999999999996
1420.0,0.493
1422.0,0.4889
1424.0,0.4814
1426.0,0.47369999999999995
1428.0,0.46869999999999995
1430.0,0.4685
1432.0,0.4731
1434.0,0.4805
1436.0,0.4894
1438.0,0.4982
1440.0,0.5065
1442.0,0.5127
1444.0,0.5172
1446.0,0.5199
1448.0,0.5206000000000001
1450.0,0.52
1452.0,0.5186999999999999
1454.0,0.5163
1456.0,0.5134000000000001
1458.0,0.5105
1460.0,0.5075
1462.0,0.505
1464.0,0.5035000000000001
1466.0,0.5021
1468.0,0.5007
1470.0,0.4984
1472.0,0.49450000000000005
1474.0,0.4877
1476.0,0.47729999999999995
1478.0,0.4631
1480.0,0.44789999999999996
1482.0,0.43560000000000004
1484.0,0.43189999999999995
1486.0,0.4389
1488.0,0.4542
1490.0,0.4732
1492.0,0.4914
1494.0,0.5055
1496.0,0.5151
1498.0,0.5213
1500.0,0.5254
1502.0,0.5285
1504.0,0.5317000000000001
1506.0,0.5352
1508.0,0.5389
1510.0,0.5431
1512.0,0.5473
1514.0,0.5514
1516.0,0.5552
1518.0,0.5588000000000001
1520.0,0.5613
1522.0,0.5632
1524.0,0.56445
1526.0,0.5660000000000001
1528.0,0.5674
1530.0,0.5685
1532.0,0.5694
1534.0,0.5700999999999999
1536.0,0.5708
1538.0,0.5715
1540.0,0.5722999999999999
1542.0,0.5734
1544.0,0.5741499999999999
1546.0,0.57485
1548.0,0.5753
1550.0,0.5759000000000001
1552.0,0.5764
1554.0,0.5770000000000001
1556.0,0.5771000000000001
1558.0,0.5771999999999999
1560.0,0.5771999999999999
1562.0,0.5771000000000001
1564.0,0.5771999999999999
1566.0,0.5777
1568.0,0.5783
1570.0,0.5788
1572.0,0.5788
1574.0,0.5787
1576.0,0.5783
1578.0,0.5781000000000001
1580.0,0.5778
1582.0,0.5777
1584.0,0.5779
1586.0,0.5782
1588.0,0.5787
1590.0,0.5792
1592.0,0.5794
1594.0,0.5795
1596.0,0.5794
1598.0,0.5796
1600.0,0.5798
1602.0,0.5798
1604.0,0.58
1606.0,0.5804
1608.0,0.5806
1610.0,0.5804
1612.0,0.5801
1614.0,0.5798
1616.0,0.5801
1618.0,0.5802499999999999
1620.0,0.5805
1622.0,0.5806
1624.0,0.5807
1626.0,0.5807
1628.0,0.5804
1630.0,0.5805
1632.0,0.5804
1634.0,0.5804
1636.0,0.5806
1638.0,0.5805
1640.0,0.5807
1642.0,0.5805
1644.0,0.5801
1646.0,0.5801
1648.0,0.58
1650.0,0.5801
1652.0,0.5797
1654.0,0.5788
1656.0,0.5784
1658.0,0.5781000000000001
1660.0,0.5777
1662.0,0.5770000000000001
1664.0,0.5764
1666.0,0.5764
1668.0,0.5763
1670.0,0.5759000000000001
1672.0,0.5746
1674.0,0.5737
1676.0,0.5732
1678.0,0.5732
1680.0,0.57305
1682.0,0.5726
1684.0,0.5721
1686.0,0.5717
1688.0,0.5714
1690.0,0.5710999999999999
1692.0,0.5705
1694.0,0.5702
1696.0,0.5702
1698.0,0.5699000000000001
1700.0,0.5695
1702.0,0.5692
1704.0,0.5689
1706.0,0.5685
1708.0,0.5675
1710.0,0.5666
1712.0,0.5658
1714.0,0.565
1716.0,0.5642
1718.0,0.56335
1720.0,0.5623
1722.0,0.56085
1724.0,0.55905
1726.0,0.557
1728.0,0.555
1730.0,0.55295
1732.0,0.5504
1734.0,0.5474
1736.0,0.5439
1738.0,0.5407500000000001
1740.0,0.5376
1742.0,0.5344
1744.0,0.5307
1746.0,0.5266
1748.0,0.5229
1750.0,0.5194
1752.0,0.5157
1754.0,0.5119
1756.0,0.5082
1758.0,0.5052
1760.0,0.5028
1762.0,0.50085
1764.0,0.4986
1766.0,0.4962
1768.0,0.4943
1770.0,0.4935
1772.0,0.4938
1774.0,0.4959
1776.0,0.499
1778.0,0.5025999999999999
1780.0,0.5064
1782.0,0.5103
1784.0,0.5146999999999999
1786.0,0.52
1788.0,0.5256000000000001
1790.0,0.53175
1792.0,0.5377000000000001
1794.0,0.5431
1796.0,0.5471
1798.0,0.5497
1800.0,0.5517
1802.0,0.5528
1804.0,0.5540999999999999
1806.0,0.5553
1808.0,0.5559000000000001
1810.0,0.5563
1812.0,0.5565
1814.0,0.5568
1816.0,0.5575
1818.0,0.5583
1820.0,0.5589999999999999
1822.0,0.5595
1824.0,0.56
1826.0,0.5600999999999999
1828.0,0.56
1830.0,0.5597
1832.0,0.5592
1834.0,0.5593
1836.0,0.5593
1838.0,0.5588000000000001
1840.0,0.5581
1842.0,0.5575
1844.0,0.5569
1846.0,0.55655
1848.0,0.5562
1850.0,0.5559000000000001
1852.0,0.5556
1854.0,0.5549000000000001
1856.0,0.5538000000000001
1858.0,0.5525
1860.0,0.5515
1862.0,0.5506
1864.0,0.5493
1866.0,0.5481
1868.0,0.546
1870.0,0.5439
1872.0,0.5414
1874.0,0.5386
1876.0,0.536
1878.0,0.5329999999999999
1880.0,0.5299499999999999
1882.0,0.5272
1884.0,0.5243
1886.0,0.52135
1888.0,0.5183
1890.0,0.5146000000000001
1892.0,0.5109
1894.0,0.5073
1896.0,0.5042
1898.0,0.5008
1900.0,0.4972
1902.0,0.4941
1904.0,0.491
1906.0,0.48869999999999997
1908.0,0.486
1910.0,0.4838
1912.0,0.4824
1914.0,0.48109999999999997
1916.0,0.48090000000000005
1918.0,0.4803
1920.0,0.48
1922.0,0.47979999999999995
1924.0,0.4794
1926.0,0.47979999999999995
1928.0,0.4802
1930.0,0.4804
1932.0,0.4806
1934.0,0.4807
1936.0,0.4808
1938.0,0.48119999999999996
1940.0,0.4817
1942.0,0.4824
1944.0,0.4828
1946.0,0.4827
1948.0,0.48229999999999995
1950.0,0.48210000000000003
1952.0,0.48200000000000004
1954.0,0.4817
1956.0,0.4815
1958.0,0.48100000000000004
1960.0,0.4805
1962.0,0.4803
1964.0,0.4802
1966.0,0.48009999999999997
1968.0,0.4805
1970.0,0.48090000000000005
1972.0,0.4816
1974.0,0.4826
1976.0,0.48350000000000004
1978.0,0.4844
1980.0,0.4851
1982.0,0.48560000000000003
1984.0,0.4863
1986.0,0.4867
1988.0,0.4865
1990.0,0.48560000000000003
1992.0,0.4842
1994.0,0.4826
1996.0,0.4803
1998.0,0.47759999999999997
2000.0,0.47479999999999994
2002.0,0.4727
2004.0,0.4707
2006.0,0.4686
2008.0,0.4661
2010.0,0.46409999999999996
2012.0,0.46240000000000003
2014.0,0.4618
2016.0,0.46159999999999995
2018.0,0.4619
2020.0,0.4623
2022.0,0.4623
2024.0,0.4623
2026.0,0.4618
2028.0,0.4612
2030.0,0.45990000000000003
2032.0,0.4582
2034.0,0.45649999999999996
2036.0,0.45520000000000005
2038.0,0.45409999999999995
2040.0,0.4525
2042.0,0.451
2044.0,0.4497
2046.0,0.4483
2048.0,0.44630000000000003
2050.0,0.444
2052.0,0.442
2054.0,0.4404
2056.0,0.4389
2058.0,0.4378
2060.0,0.4371
2062.0,0.4366
2064.0,0.4362
2066.0,0.4355
2068.0,0.4351
2070.0,0.4349
2072.0,0.4346
2074.0,0.4337
2076.0,0.4329
2078.0,0.43189999999999995
2080.0,0.4307
2082.0,0.4292
2084.0,0.4275
2086.0,0.4261
2088.0,0.4242
2090.0,0.42210000000000003
2092.0,0.4193
2094.0,0.4164
2096.0,0.4133
2098.0,0.40979999999999994
2100.0,0.40619999999999995
2102.0,0.4018
2104.0,0.3971
2106.0,0.3917
2108.0,0.3859
2110.0,0.3796
2112.0,0.3736
2114.0,0.3674
2116.0,0.36090000000000005
2118.0,0.3543
2120.0,0.3475
2122.0,0.34090000000000004
2124.0,0.3347
2126.0,0.3292
2128.0,0.325
2130.0,0.3209
2132.0,0.31679999999999997
2134.0,0.31329999999999997
2136.0,0.30985
2138.0,0.3064
2140.0,0.3025
2142.0,0.2983
2144.0,0.29460000000000003
2146.0,0.2908
2148.0,0.2868
2150.0,0.2823
2152.0,0.2776
2154.0,0.2725
2156.0,0.2681
2158.0,0.2644
2160.0,0.26239999999999997
2162.0,0.2615
2164.0,0.2609
2166.0,0.26039999999999996
2168.0,0.2597
2170.0,0.2594
2172.0,0.2596
2174.0,0.2608
2176.0,0.2623
2178.0,0.2637
2180.0,0.2636
2182.0,0.26289999999999997
2184.0,0.26239999999999997
2186.0,0.2643
2188.0,0.26765
2190.0,0.2721
2192.0,0.2759
2194.0,0.2796
2196.0,0.2847
2198.0,0.29109999999999997
2200.0,0.29760000000000003
2202.0,0.3014
2204.0,0.30015000000000003
2206.0,0.29350000000000004
2208.0,0.2836
2210.0,0.2753
2212.0,0.2727
2214.0,0.2778
2216.0,0.2897
2218.0,0.30519999999999997
2220.0,0.32130000000000003
2222.0,0.3373
2224.0,0.3527
2226.0,0.3666
2228.0,0.3778
2230.0,0.3859
2232.0,0.3914
2234.0,0.3956
2236.0,0.3994
2238.0,0.4031
2240.0,0.4069
2242.0,0.4103
2244.0,0.4133
2246.0,0.4154
2248.0,0.41659999999999997
2250.0,0.418
2252.0,0.41960000000000003
2254.0,0.4201
2256.0,0.4193
2258.0,0.41850000000000004
2260.0,0.41850000000000004
2262.0,0.419
2264.0,0.419
2266.0,0.4181
2268.0,0.41700000000000004
2270.0,0.4157
2272.0,0.4146
2274.0,0.4133
2276.0,0.41200000000000003
2278.0,0.41100000000000003
2280.0,0.4092
2282.0,0.4079
2284.0,0.40659999999999996
2286.0,0.405
2288.0,0.40325000000000005
2290.0,0.40090000000000003
2292.0,0.3981
2294.0,0.3942
2296.0,0.3898
2298.0,0.38420000000000004
2300.0,0.3775
2302.0,0.36920000000000003
2304.0,0.35969999999999996
2306.0,0.34950000000000003
2308.0,0.3392
2310.0,0.3297
2312.0,0.3218
2314.0,0.3166
2316.0,0.31370000000000003
2318.0,0.313
2320.0,0.315
2322.0,0.3185
2324.0,0.3235
2326.0,0.32835000000000003
2328.0,0.33340000000000003
2330.0,0.3386
2332.0,0.34380000000000005
2334.0,0.3488
2336.0,0.35295000000000004
2338.0,0.35729999999999995
2340.0,0.3603
2342.0,0.3626
2344.0,0.3643
2346.0,0.3657
2348.0,0.36625
2350.0,0.36590000000000006
2352.0,0.3652
2354.0,0.3651
2356.0,0.36560000000000004
2358.0,0.366
2360.0,0.3661
2362.0,0.365
2364.0,0.3639
2366.0,0.3624
2368.0,0.36090000000000005
2370.0,0.35835
2372.0,0.3542
2374.0,0.34850000000000003
2376.0,0.34149999999999997
2378.0,0.3348
2380.0,0.3273
2382.0,0.3195
2384.0,0.3115
2386.0,0.30375
2388.0,0.29600000000000004
2390.0,0.2882
2392.0,0.2818
2394.0,0.2772
2396.0,0.2735
2398.0,0.2706
2400.0,0.2691
2402.0,0.2687
2404.0,0.2685
2406.0,0.26839999999999997
2408.0,0.2681
2410.0,0.26739999999999997
2412.0,0.266
2414.0,0.2635
2416.0,0.2594
2418.0,0.2551
2420.0,0.24989999999999998
2422.0,0.2445
2424.0,0.23929999999999998
2426.0,0.2352
2428.0,0.23070000000000002
2430.0,0.2266
2432.0,0.223
2434.0,0.2214
2436.0,0.22149999999999997
2438.0,0.2234
2440.0,0.2256
2442.0,0.2279
2444.0,0.2299
2446.0,0.2306
2448.0,0.2302
2450.0,0.2293
2452.0,0.22820000000000001
2454.0,0.22640000000000002
2456.0,0.2237
2458.0,0.22039999999999998
2460.0,0.2164
2462.0,0.2127
2464.0,0.21100000000000002
2466.0,0.21109999999999998
2468.0,0.2125
2470.0,0.2152
2472.0,0.2181
2474.0,0.2217
2476.0,0.2242
2478.0,0.2257
2480.0,0.22510000000000002
2482.0,0.2227
2484.0,0.2184
2486.0,0.21280000000000002
2488.0,0.2071
2490.0,0.2025
2492.0,0.19920000000000002
2494.0,0.1953
2496.0,0.191
2498.0,0.1848
2500.0,0.1788
