wavelength,reflectance
1300.0,0.5236
1302.0,0.522
1304.0,0.5217
1306.0,0.523
1308.0,0.5235
1310.0,0.5217
1312.0,0.5216
1314.0,0.5218
1316.0,0.5213
1318.0,0.5212
1320.0,0.5224
1322.0,0.5216
1324.0,0.52205
1326.0,0.5228
1328.0,0.5222
1330.0,0.5217
1332.0,0.5219
1334.0,0.5217
1336.0,0.5217
1338.0,0.5224
1340.0,0.523
1342.0,0.523
1344.0,0.5233
1346.0,0.5235
1348.0,0.5236999999999999
1350.0,0.5238
1352.0,0.5242
1354.0,0.5242
1356.0,0.5241
1358.0,0.5245000000000001
1360.0,0.5255
1362.0,0.5264
1364.0,0.5268999999999999
1366.0,0.5272
1368.0,0.5272
1370.0,0.5274
1372.0,0.5272
1374.0,0.5271
1376.0,0.527
1378.0,0.5273
1380.0,0.5276
1382.0,0.5277000000000001
1384.0,0.5273
1386.0,0.5268
1388.0,0.5257999999999999
1390.0,0.5245000000000001
1392.0,0.5227
1394.0,0.52135
1396.0,0.5202
1398.0,0.5186999999999999
1400.0,0.5173
1402.0,0.51595
1404.0,0.515
1406.0,0.5143
1408.0,0.5139
1410.0,0.5141
1412.0,0.515
1414.0,0.5163
1416.0,0.5182
1418.0,0.5205
1420.0,0.5228
1422.0,0.5249
1424.0,0.5265
1426.0,0.5278
1428.0,0.5295000000000001
1430.0,0.5309
1432.0,0.5324
1434.0,0.5337
1436.0,0.535
1438.0,0.536
1440.0,0.5365
1442.0,0.5373
1444.0,0.5381
1446.0,0.53895
1448.0,0.5399
1450.0,0.5403
1452.0,0.5407
1454.0,0.54145
1456.0,0.5421
1458.0,0.5428999999999999
1460.0,0.5437
1462.0,0.5443
1464.0,0.54505
1466.0,0.5457500000000001
1468.0,0.5465
1470.0,0.5468500000000001
1472.0,0.5471
1474.0,0.5477000000000001
1476.0,0.5486
1478.0,0.54935
1480.0,0.5502
1482.0,0.5508
1484.0,0.5518
1486.0,0.5531
1488.0,0.5540999999999999
1490.0,0.5546
1492.0,0.5550999999999999
1494.0,0.5557
1496.0,0.5569
1498.0,0.5579
1500.0,0.5588000000000001
1502.0,0.5599000000000001
1504.0,0.5607
1506.0,0.5614
1508.0,0.5622
1510.0,0.5628
1512.0,0.5636
1514.0,0.5642
1516.0,0.5648
1518.0,0.56515
1520.0,0.5658
1522.0,0.5664
1524.0,0.56695
1526.0,0.5679
1528.0,0.5687
1530.0,0.5695
1532.0,0.5703
1534.0,0.5707
1536.0,0.5711999999999999
1538.0,0.5717
1540.0,0.5722999999999999
1542.0,0.5732
1544.0,0.5744
1546.0,0.5751
1548.0,0.5759000000000001
1550.0,0.5761
1552.0,0.5761999999999999
1554.0,0.5763
1556.0,0.57665
1558.0,0.5774
1560.0,0.5781000000000001
1562.0,0.579
1564.0,0.5796
1566.0,0.5804
1568.0,0.5809000000000001
1570.0,0.5811
1572.0,0.5813
1574.0,0.58205
1576.0,0.583
1578.0,0.58385
1580.0,0.5842
1582.0,0.5843
1584.0,0.58455
1586.0,0.5853
1588.0,0.5859000000000001
