wavelength,reflectance
1300.0,0.5886
1302.0,0.5882999999999999
1304.0,0.5927
1306.0,0.596
1308.0,0.5972
1310.0,0.5984
1312.0,0.5982
1314.0,0.5992000000000001
1316.0,0.5991
1318.0,0.5989
1320.0,0.5991
1322.0,0.6009
1324.0,0.6035
1326.0,0.6059
1328.0,0.6054999999999999
1330.0,0.6056
1332.0,0.6056
1334.0,0.6065999999999999
1336.0,0.6068
1338.0,0.6072
1340.0,0.6073
1342.0,0.60755
1344.0,0.6082
1346.0,0.6084
1348.0,0.6086
1350.0,0.6093
1352.0,0.61
1354.0,0.6106
1356.0,0.611
1358.0,0.61115
1360.0,0.61115
1362.0,0.6115999999999999
1364.0,0.6122
1366.0,0.6122
1368.0,0.612
1370.0,0.6114999999999999
1372.0,0.6108
1374.0,0.6099
1376.0,0.609
1378.0,0.6078
1380.0,0.6065999999999999
1382.0,0.605
1384.0,0.603
1386.0,0.6003499999999999
1388.0,0.5972999999999999
1390.0,0.5935
1392.0,0.5893
1394.0,0.5845
1396.0,0.579
1398.0,0.5722
1400.0,0.56445
1402.0,0.556
1404.0,0.5471
1406.0,0.5379999999999999
1408.0,0.5297999999999999
1410.0,0.5246
1412.0,0.5246
1414.0,0.5295000000000001
1416.0,0.53715
1418.0,0.5444
1420.0,0.5495
1422.0,0.5526
1424.0,0.5540999999999999
1426.0,0.5549000000000001
1428.0,0.5559000000000001
1430.0,0.5571
1432.0,0.5587
1434.0,0.5607
1436.0,0.5623
1438.0,0.5636
1440.0,0.5653
1442.0,0.5667
1444.0,0.5684
1446.0,0.5699000000000001
1448.0,0.5710000000000001
1450.0,0.5720000000000001
1452.0,0.5727
1454.0,0.5734
1456.0,0.5741499999999999
1458.0,0.5748
1460.0,0.5753
1462.0,0.5756
1464.0,0.5761
1466.0,0.5768
1468.0,0.5776
1470.0,0.57845
1472.0,0.5797
1474.0,0.5804
1476.0,0.5815
1478.0,0.5825
1480.0,0.5836
1482.0,0.58455
1484.0,0.5858
1486.0,0.5867
1488.0,0.5876
1490.0,0.5882999999999999
1492.0,0.5889
1494.0,0.5899
1496.0,0.5912
1498.0,0.5924
1500.0,0.5934
1502.0,0.5943999999999999
1504.0,0.5954999999999999
1506.0,0.5966
1508.0,0.5972999999999999
1510.0,0.5981000000000001
1512.0,0.5989
1514.0,0.5996
1516.0,0.6003499999999999
1518.0,0.6011
1520.0,0.6021
1522.0,0.6031
1524.0,0.6039
1526.0,0.6045
1528.0,0.6051
1530.0,0.60575
1532.0,0.6065999999999999
1534.0,0.6072
1536.0,0.6072
1538.0,0.6078
1540.0,0.6086
1542.0,0.6095
1544.0,0.61
1546.0,0.6104999999999999
1548.0,0.6107
1550.0,0.6117
1552.0,0.6125
1554.0,0.6131
1556.0,0.6138
1558.0,0.6143
1560.0,0.6146
1562.0,0.615
1564.0,0.6153
1566.0,0.6157
1568.0,0.6165999999999999
1570.0,0.6169
1572.0,0.6171
1574.0,0.6175
1576.0,0.6178
1578.0,0.6183
1580.0,0.6188
1582.0,0.619
1584.0,0.6195
1586.0,0.6199
1588.0,0.6203
1590.0,0.6206
1592.0,0.6207
1594.0,0.6208
1596.0,0.6208
1598.0,0.6213000000000001
1600.0,0.6214999999999999
1602.0,0.6219
1604.0,0.6219
1606.0,0.6218
1608.0,0.6218
1610.0,0.6217
1612.0,0.6219
1614.0,0.6221
1616.0,0.6224000000000001
1618.0,0.6225999999999999
1620.0,0.6227
1622.0,0.6231
1624.0,0.6231
1626.0,0.623
1628.0,0.6229
1630.0,0.6229
1632.0,0.623
1634.0,0.6233
1636.0,0.62335
1638.0,0.6235
1640.0,0.6233
1642.0,0.623
1644.0,0.6225999999999999
1646.0,0.6224000000000001
1648.0,0.6227
1650.0,0.6228
1652.0,0.623
1654.0,0.62335
1656.0,0.6233
1658.0,0.6231
1660.0,0.6228
1662.0,0.6224000000000001
1664.0,0.6223
1666.0,0.622
1668.0,0.6214999999999999
1670.0,0.6212
1672.0,0.6211
1674.0,0.621
1676.0,0.6211
1678.0,0.62085
1680.0,0.6208
1682.0,0.6211
1684.0,0.6214999999999999
1686.0,0.6219
1688.0,0.6217
1690.0,0.6213000000000001
1692.0,0.6212
1694.0,0.6211
1696.0,0.6212
1698.0,0.6214999999999999
1700.0,0.6217
1702.0,0.6219
1704.0,0.622
1706.0,0.622
1708.0,0.6219
1710.0,0.6218
1712.0,0.62155
1714.0,0.6214
1716.0,0.6212
1718.0,0.621
1720.0,0.621
1722.0,0.6212
1724.0,0.6212
1726.0,0.62085
1728.0,0.6203
1730.0,0.6199
1732.0,0.6203
1734.0,0.6202000000000001
1736.0,0.6202000000000001
1738.0,0.62
1740.0,0.6197
1742.0,0.61975
1744.0,0.6201
1746.0,0.6204999999999999
1748.0,0.6203
1750.0,0.61975
1752.0,0.6196
1754.0,0.6193
1756.0,0.61905
1758.0,0.6187
1760.0,0.6183
1762.0,0.6181
1764.0,0.61795
1766.0,0.6179
1768.0,0.6178
1770.0,0.6177
1772.0,0.61725
1774.0,0.6171
1776.0,0.6168
1778.0,0.6164999999999999
1780.0,0.61615
1782.0,0.6161
1784.0,0.6161
1786.0,0.6159
1788.0,0.6156
1790.0,0.6153
1792.0,0.6151
1794.0,0.6148
1796.0,0.6149
1798.0,0.6148
1800.0,0.6145
1802.0,0.6143
1804.0,0.6142
1806.0,0.6141
1808.0,0.614
1810.0,0.6136
1812.0,0.6134000000000001
1814.0,0.6135
1816.0,0.6135
1818.0,0.6132
1820.0,0.6127
1822.0,0.6122
1824.0,0.6123
1826.0,0.6126
1828.0,0.6126
1830.0,0.6121
1832.0,0.6114999999999999
1834.0,0.6111
1836.0,0.6111
1838.0,0.611
1840.0,0.6108
1842.0,0.61005
1844.0,0.6095
1846.0,0.6088
1848.0,0.6084
1850.0,0.6079
1852.0,0.6072
1854.0,0.6062
1856.0,0.6052000000000001
1858.0,0.6042000000000001
1860.0,0.6027
1862.0,0.6012
1864.0,0.5992999999999999
1866.0,0.5969
1868.0,0.5942000000000001
1870.0,0.591
1872.0,0.5871
1874.0,0.583
1876.0,0.5783
1878.0,0.5727
1880.0,0.5665
1882.0,0.5598
1884.0,0.5527000000000001
1886.0,0.5452
1888.0,0.53715
1890.0,0.528
1892.0,0.5186999999999999
1894.0,0.5097
1896.0,0.50085
1898.0,0.4928
1900.0,0.4854
1902.0,0.4796
1904.0,0.4753
1906.0,0.4722
1908.0,0.47009999999999996
1910.0,0.4686
1912.0,0.4679
1914.0,0.4677
1916.0,0.4681
1918.0,0.469
1920.0,0.4696
1922.0,0.4702
1924.0,0.4708
1926.0,0.4717
1928.0,0.4728
1930.0,0.4742
1932.0,0.4757
1934.0,0.4769
1936.0,0.4782
1938.0,0.4789
1940.0,0.4799
1942.0,0.48109999999999997
1944.0,0.4825
1946.0,0.484
1948.0,0.4854
1950.0,0.4867
1952.0,0.488
1954.0,0.4894
1956.0,0.49079999999999996
1958.0,0.4926
1960.0,0.49450000000000005
1962.0,0.4961
1964.0,0.4978
1966.0,0.49950000000000006
1968.0,0.5013000000000001
1970.0,0.503
1972.0,0.5044
1974.0,0.50625
1976.0,0.5082
1978.0,0.5101
1980.0,0.5119
1982.0,0.5139
1984.0,0.5161
1986.0,0.5176
1988.0,0.519
1990.0,0.5207
1992.0,0.5227
1994.0,0.5249
1996.0,0.5267000000000001
1998.0,0.5283
2000.0,0.5303
2002.0,0.5321
2004.0,0.53355
2006.0,0.5349
2008.0,0.5366
2010.0,0.5386
2012.0,0.5405
2014.0,0.5418999999999999
2016.0,0.5427000000000001
2018.0,0.5439
2020.0,0.5456
2022.0,0.5472
2024.0,0.5486
2026.0,0.5498
2028.0,0.55115
2030.0,0.5526
2032.0,0.55365
2034.0,0.55475
2036.0,0.5554
2038.0,0.5561
2040.0,0.5569
2042.0,0.5575
2044.0,0.5587
2046.0,0.5594
2048.0,0.56
2050.0,0.5602
2052.0,0.5603
2054.0,0.5611
2056.0,0.5617
2058.0,0.5626
2060.0,0.5628
2062.0,0.5628
2064.0,0.5629
2066.0,0.56265
2068.0,0.5632
2070.0,0.5635
2072.0,0.5637
