wavelength,reflectance
1300.0,0.5426
1302.0,0.5418
1304.0,0.5424
1306.0,0.5432
1308.0,0.5445
1310.0,0.5462
1312.0,0.5478000000000001
1314.0,0.5493
1316.0,0.54865
1318.0,0.5477000000000001
1320.0,0.5478000000000001
1322.0,0.5488000000000001
1324.0,0.5505
1326.0,0.5526
1328.0,0.5532
1330.0,0.5538000000000001
1332.0,0.5544
1334.0,0.55475
1336.0,0.5556
1338.0,0.5563
1340.0,0.55655
1342.0,0.55725
1344.0,0.5578
1346.0,0.5585
1348.0,0.5595
1350.0,0.5596
1352.0,0.5598
1354.0,0.5608
1356.0,0.5613
1358.0,0.562
1360.0,0.56265
1362.0,0.5631
1364.0,0.5637
1366.0,0.5646
1368.0,0.5653
1370.0,0.5660000000000001
1372.0,0.5664
1374.0,0.5666
1376.0,0.5667
1378.0,0.5669
1380.0,0.5672999999999999
1382.0,0.5679
1384.0,0.5685
1386.0,0.5690999999999999
1388.0,0.5693
1390.0,0.5692
1392.0,0.5692
1394.0,0.5689
1396.0,0.5687
1398.0,0.5683
1400.0,0.5679
1402.0,0.5677
1404.0,0.5676
1406.0,0.5674
1408.0,0.5672
1410.0,0.5671
1412.0,0.5668
1414.0,0.5667
1416.0,0.5666
1418.0,0.5666
1420.0,0.5666
1422.0,0.5666
1424.0,0.56625
1426.0,0.5660000000000001
1428.0,0.5657
1430.0,0.5657
1432.0,0.5659000000000001
1434.0,0.5659000000000001
1436.0,0.5654
1438.0,0.5648
1440.0,0.5643
1442.0,0.5640999999999999
1444.0,0.5639
1446.0,0.5635
1448.0,0.5623
1450.0,0.5611999999999999
1452.0,0.5604
1454.0,0.5595
1456.0,0.5589
1458.0,0.5579
1460.0,0.5569
1462.0,0.5557
1464.0,0.5545
1466.0,0.5535
1468.0,0.5526
1470.0,0.5516
1472.0,0.5506
1474.0,0.5498
1476.0,0.5493
1478.0,0.5489999999999999
1480.0,0.5488000000000001
1482.0,0.5486
1484.0,0.54865
1486.0,0.5488000000000001
1488.0,0.5489
1490.0,0.5492
1492.0,0.5502
1494.0,0.5516
1496.0,0.5536
1498.0,0.5554
1500.0,0.5567
1502.0,0.5578
1504.0,0.5587
1506.0,0.5598
1508.0,0.561
1510.0,0.5619
1512.0,0.5624
1514.0,0.5628
1516.0,0.5631
1518.0,0.5636
1520.0,0.5639
1522.0,0.5639
1524.0,0.5640999999999999
1526.0,0.5640999999999999
1528.0,0.564
1530.0,0.5640999999999999
1532.0,0.5644
1534.0,0.56445
1536.0,0.5647
1538.0,0.5650999999999999
1540.0,0.5655
1542.0,0.5658
1544.0,0.5660000000000001
1546.0,0.5660000000000001
1548.0,0.5666
1550.0,0.5668
1552.0,0.5667
1554.0,0.5667
1556.0,0.5672
1558.0,0.5679
1560.0,0.5687
1562.0,0.5692
1564.0,0.5696
1566.0,0.5705
1568.0,0.5714
1570.0,0.5720000000000001
1572.0,0.5725
1574.0,0.57235
1576.0,0.5725
1578.0,0.57305
1580.0,0.5735
1582.0,0.5740999999999999
1584.0,0.5747
1586.0,0.5753
1588.0,0.5756
1590.0,0.5757
1592.0,0.57595
1594.0,0.5766
1596.0,0.5770000000000001
1598.0,0.5776
1600.0,0.5776
1602.0,0.5778
1604.0,0.5779
1606.0,0.5782
1608.0,0.5784
1610.0,0.5786
1612.0,0.5787
1614.0,0.5788
1616.0,0.5789
1618.0,0.5793
1620.0,0.5797
1622.0,0.5797
1624.0,0.5796
1626.0,0.5797
1628.0,0.5797
1630.0,0.5801
1632.0,0.5802499999999999
1634.0,0.5804
1636.0,0.5806
1638.0,0.5804
1640.0,0.5802
1642.0,0.5802499999999999
1644.0,0.5802499999999999
1646.0,0.5804
1648.0,0.5805
1650.0,0.5807
1652.0,0.5808
1654.0,0.5806
1656.0,0.5806
1658.0,0.5809000000000001
1660.0,0.5811
1662.0,0.5811
1664.0,0.5808
1666.0,0.5807
1668.0,0.5802499999999999
1670.0,0.58
1672.0,0.5797
1674.0,0.5797
1676.0,0.5799
1678.0,0.5802
1680.0,0.5802
1682.0,0.5802499999999999
1684.0,0.5802499999999999
1686.0,0.5802499999999999
1688.0,0.5804
1690.0,0.5802499999999999
1692.0,0.5806
1694.0,0.5807
1696.0,0.5808
1698.0,0.5811999999999999
1700.0,0.5814
1702.0,0.5813
1704.0,0.5811
1706.0,0.5808
1708.0,0.5808
1710.0,0.5807
1712.0,0.5809000000000001
1714.0,0.5802499999999999
1716.0,0.5801
1718.0,0.5801
1720.0,0.5802
1722.0,0.5805
1724.0,0.5804
1726.0,0.5802499999999999
1728.0,0.5802499999999999
1730.0,0.5801
1732.0,0.5801
1734.0,0.58
1736.0,0.5802499999999999
1738.0,0.5804
1740.0,0.58
1742.0,0.5799
1744.0,0.5799
1746.0,0.5797
1748.0,0.5793
1750.0,0.5787
1752.0,0.5786
1754.0,0.5787
1756.0,0.5784
1758.0,0.5782
1760.0,0.5784
1762.0,0.5786
1764.0,0.5782
1766.0,0.5776
1768.0,0.5771000000000001
1770.0,0.5770000000000001
1772.0,0.5770000000000001
1774.0,0.5768
1776.0,0.5765
1778.0,0.5761
1780.0,0.5759000000000001
1782.0,0.5757
1784.0,0.5752
1786.0,0.5745
1788.0,0.574
1790.0,0.5737
1792.0,0.5734
1794.0,0.57305
1796.0,0.5726
1798.0,0.5722
1800.0,0.5718
1802.0,0.5714
1804.0,0.57055
1806.0,0.5698
1808.0,0.5692
1810.0,0.5687
1812.0,0.568
1814.0,0.5672
1816.0,0.5661999999999999
1818.0,0.5654
1820.0,0.564
1822.0,0.5622
1824.0,0.56
1826.0,0.5574
1828.0,0.5546
1830.0,0.5521
1832.0,0.5497
1834.0,0.5478999999999999
1836.0,0.5466
1838.0,0.5457500000000001
1840.0,0.5456
1842.0,0.5462
1844.0,0.5466
1846.0,0.5472
1848.0,0.5477000000000001
1850.0,0.5474
1852.0,0.5474
1854.0,0.5468500000000001
1856.0,0.5464
1858.0,0.5459
1860.0,0.5455
1862.0,0.5455
1864.0,0.5457
1866.0,0.5461
1868.0,0.5461
