wavelength,reflectance
1300.0,0.7284
1302.0,0.7281
1304.0,0.7302
1306.0,0.7326999999999999
1308.0,0.7332500000000001
1310.0,0.7323000000000001
1312.0,0.73075
1314.0,0.7279000000000001
1316.0,0.7263
1318.0,0.7225
1320.0,0.71925
1322.0,0.718
1324.0,0.71745
1326.0,0.7167
1328.0,0.71675
1330.0,0.7145
1332.0,0.7111
1334.0,0.7077500000000001
1336.0,0.7055
1338.0,0.7044
1340.0,0.7031999999999999
1342.0,0.7020000000000001
1344.0,0.7004
1346.0,0.6987000000000001
1348.0,0.6968000000000001
1350.0,0.6948000000000001
1352.0,0.6928
1354.0,0.691
1356.0,0.6890000000000001
1358.0,0.6867
1360.0,0.684
1362.0,0.6815000000000001
1364.0,0.6794
1366.0,0.6770999999999999
1368.0,0.6747
1370.0,0.6722
1372.0,0.6692
1374.0,0.6659
1376.0,0.6624
1378.0,0.6581999999999999
1380.0,0.6537000000000001
1382.0,0.6485
1384.0,0.643
1386.0,0.637
1388.0,0.6309
1390.0,0.6236999999999999
1392.0,0.6157
1394.0,0.6069
1396.0,0.5977
1398.0,0.58815
1400.0,0.57845
1402.0,0.5692
1404.0,0.5600999999999999
1406.0,0.55115
1408.0,0.5427000000000001
1410.0,0.5347999999999999
1412.0,0.528
1414.0,0.5226
1416.0,0.5184000000000001
1418.0,0.5154
1420.0,0.5134000000000001
1422.0,0.5125
1424.0,0.5128
1426.0,0.514
1428.0,0.5158
1430.0,0.5183
1432.0,0.5211
1434.0,0.5246
1436.0,0.5284
1438.0,0.5322
1440.0,0.5364
1442.0,0.5406
1444.0,0.545
1446.0,0.5492
1448.0,0.5532
1450.0,0.5575
1452.0,0.5611
1454.0,0.5647
1456.0,0.5679
1458.0,0.5704
1460.0,0.5725
1462.0,0.5740999999999999
1464.0,0.575
1466.0,0.5753
1468.0,0.5752
1470.0,0.5751
1472.0,0.5755
1474.0,0.5768
1476.0,0.5788
1478.0,0.5817
1480.0,0.5851
1482.0,0.589
1484.0,0.5937
1486.0,0.5984
1488.0,0.6031
1490.0,0.60755
1492.0,0.6115999999999999
1494.0,0.6154
1496.0,0.619
1498.0,0.6222
1500.0,0.6256
1502.0,0.6286999999999999
1504.0,0.6315999999999999
1506.0,0.6342
1508.0,0.6366499999999999
1510.0,0.6393
1512.0,0.6415000000000001
1514.0,0.6437
