wavelength,reflectance
1300.0,0.8875
1302.0,0.8906000000000001
1304.0,0.8925
1306.0,0.8909999999999999
1308.0,0.8901
1310.0,0.8891
1312.0,0.8887999999999999
1314.0,0.8885
1316.0,0.8878
1318.0,0.8863
1320.0,0.8852
1322.0,0.8845999999999999
1324.0,0.8856999999999999
1326.0,0.8867
1328.0,0.8876000000000001
1330.0,0.8876999999999999
1332.0,0.8869
1334.0,0.8870999999999999
1336.0,0.8883
1338.0,0.8876999999999999
1340.0,0.8876000000000001
1342.0,0.8862000000000001
1344.0,0.8854000000000001
1346.0,0.8856
1348.0,0.8863
1350.0,0.8865000000000001
1352.0,0.8869
1354.0,0.8861
1356.0,0.8853
1358.0,0.8843000000000001
1360.0,0.884
1362.0,0.8845000000000001
1364.0,0.8856
1366.0,0.8861
1368.0,0.8856999999999999
1370.0,0.8848999999999999
1372.0,0.8835999999999999
1374.0,0.8820999999999999
1376.0,0.8794
1378.0,0.8741
1380.0,0.8629000000000001
1382.0,0.841
1384.0,0.8044
1386.0,0.7569
1388.0,0.7081999999999999
1390.0,0.6736
1392.0,0.6634
1394.0,0.67865
1396.0,0.7103
1398.0,0.7481
1400.0,0.7825
1402.0,0.8094
1404.0,0.8279000000000001
1406.0,0.8401000000000001
1408.0,0.8476
1410.0,0.8523000000000001
1412.0,0.855
1414.0,0.8562000000000001
1416.0,0.8568000000000001
1418.0,0.8573000000000001
1420.0,0.858
1422.0,0.8584999999999999
1424.0,0.8587
1426.0,0.8586
1428.0,0.8581
1430.0,0.8581
1432.0,0.858
1434.0,0.8572
1436.0,0.8565
1438.0,0.8559
1440.0,0.8558
1442.0,0.8556999999999999
1444.0,0.8556
1446.0,0.8563
1448.0,0.8572
1450.0,0.8582
1452.0,0.8593999999999999
1454.0,0.86
1456.0,0.8606999999999999
1458.0,0.8619
1460.0,0.8626999999999999
1462.0,0.8634999999999999
1464.0,0.8641
1466.0,0.8641
1468.0,0.8643000000000001
1470.0,0.8649
1472.0,0.8654000000000001
1474.0,0.8661
1476.0,0.8669
1478.0,0.8676
1480.0,0.8679000000000001
1482.0,0.8683
1484.0,0.8687999999999999
1486.0,0.8692
1488.0,0.8698999999999999
1490.0,0.8702
1492.0,0.8702
1494.0,0.8698
1496.0,0.8692
1498.0,0.8686
1500.0,0.8681
1502.0,0.8679000000000001
1504.0,0.8679000000000001
1506.0,0.8679000000000001
1508.0,0.8684000000000001
1510.0,0.8687999999999999
1512.0,0.8692
1514.0,0.8694
1516.0,0.8693000000000001
1518.0,0.8687
1520.0,0.8679000000000001
1522.0,0.867
1524.0,0.8663
1526.0,0.8652
1528.0,0.8639
1530.0,0.8628
1532.0,0.8623000000000001
1534.0,0.8626999999999999
1536.0,0.8633
1538.0,0.8639
1540.0,0.8645
1542.0,0.8648
1544.0,0.8654999999999999
1546.0,0.8665999999999999
1548.0,0.8676
1550.0,0.8684000000000001
1552.0,0.8691
1554.0,0.8698
1556.0,0.8706999999999999
1558.0,0.8714
1560.0,0.872
1562.0,0.8725
1564.0,0.8728
1566.0,0.8731
1568.0,0.8733
1570.0,0.8734000000000001
1572.0,0.8737999999999999
1574.0,0.8744
