wavelength,reflectance
1300.0,0.45640000000000003
1302.0,0.45640000000000003
1304.0,0.4569
1306.0,0.4573
1308.0,0.45799999999999996
1310.0,0.4586
1312.0,0.45890000000000003
1314.0,0.45899999999999996
1316.0,0.4595
1318.0,0.46020000000000005
1320.0,0.4607
1322.0,0.46090000000000003
1324.0,0.4612
1326.0,0.4612
1328.0,0.46159999999999995
1330.0,0.4621
1332.0,0.4621
1334.0,0.46240000000000003
1336.0,0.46270000000000006
1338.0,0.4628
1340.0,0.46299999999999997
1342.0,0.4629
1344.0,0.46240000000000003
1346.0,0.46149999999999997
1348.0,0.4603
1350.0,0.45890000000000003
1352.0,0.45740000000000003
1354.0,0.4559
1356.0,0.45439999999999997
1358.0,0.45299999999999996
1360.0,0.45159999999999995
1362.0,0.45049999999999996
1364.0,0.44909999999999994
1366.0,0.4475
1368.0,0.4454
1370.0,0.4429
1372.0,0.4395
1374.0,0.4351
1376.0,0.4293
1378.0,0.4225
1380.0,0.4152
1382.0,0.4082
1384.0,0.4018
1386.0,0.39640000000000003
1388.0,0.392
1390.0,0.3881
1392.0,0.3843
1394.0,0.3801
1396.0,0.37560000000000004
1398.0,0.37
1400.0,0.3643
1402.0,0.35810000000000003
1404.0,0.3513
1406.0,0.3439
1408.0,0.33640000000000003
1410.0,0.3295
1412.0,0.325
1414.0,0.3247
1416.0,0.3297
1418.0,0.3389
1420.0,0.34990000000000004
1422.0,0.3605
1424.0,0.3704
1426.0,0.3787
1428.0,0.3864
1430.0,0.3934
1432.0,0.3996
1434.0,0.4045
1436.0,0.40869999999999995
1438.0,0.4121
1440.0,0.4147
1442.0,0.4171
1444.0,0.4191
1446.0,0.4207
1448.0,0.42200000000000004
1450.0,0.4228
1452.0,0.4232
1454.0,0.4232
1456.0,0.4235
1458.0,0.42369999999999997
1460.0,0.4241
1462.0,0.4243
1464.0,0.4243
1466.0,0.4244
1468.0,0.42460000000000003
1470.0,0.4251
1472.0,0.4257
1474.0,0.4267
1476.0,0.42729999999999996
1478.0,0.42810000000000004
1480.0,0.42869999999999997
1482.0,0.4293
1484.0,0.4302
1486.0,0.43119999999999997
1488.0,0.43189999999999995
1490.0,0.4325
1492.0,0.4329
1494.0,0.4334
1496.0,0.434
1498.0,0.43450000000000005
1500.0,0.4353
1502.0,0.4357
1504.0,0.4361
1506.0,0.43670000000000003
1508.0,0.43689999999999996
1510.0,0.4371
1512.0,0.4375
1514.0,0.4376
1516.0,0.43829999999999997
1518.0,0.43920000000000003
1520.0,0.4399
1522.0,0.4403
1524.0,0.4403
1526.0,0.4404
1528.0,0.44079999999999997
1530.0,0.4413
1532.0,0.4414
1534.0,0.4415
1536.0,0.44170000000000004
1538.0,0.4421
1540.0,0.4425
1542.0,0.44310000000000005
1544.0,0.44310000000000005
1546.0,0.4434
1548.0,0.44380000000000003
1550.0,0.44420000000000004
1552.0,0.44439999999999996
1554.0,0.4448
1556.0,0.44520000000000004
1558.0,0.4457
1560.0,0.44630000000000003
1562.0,0.44659999999999994
1564.0,0.44689999999999996
1566.0,0.4471
1568.0,0.4473
1570.0,0.4475
1572.0,0.44780000000000003
1574.0,0.4483
1576.0,0.4486
1578.0,0.4487
1580.0,0.44909999999999994
1582.0,0.44939999999999997
1584.0,0.4497
1586.0,0.4498
1588.0,0.4499
1590.0,0.45020000000000004
1592.0,0.4506
1594.0,0.4512
1596.0,0.4517
1598.0,0.4517
1600.0,0.4517
1602.0,0.4514
1604.0,0.4514
1606.0,0.45189999999999997
1608.0,0.4523
1610.0,0.4526
1612.0,0.45270000000000005
1614.0,0.45280000000000004
1616.0,0.4531
1618.0,0.4532
1620.0,0.4533
1622.0,0.4534
1624.0,0.4539
1626.0,0.45399999999999996
1628.0,0.4542
1630.0,0.4545
1632.0,0.4547
1634.0,0.455
1636.0,0.4551
1638.0,0.4551
1640.0,0.45520000000000005
1642.0,0.45530000000000004
1644.0,0.45539999999999997
1646.0,0.4556
1648.0,0.45549999999999996
1650.0,0.45549999999999996
1652.0,0.45549999999999996
1654.0,0.45530000000000004
1656.0,0.45530000000000004
1658.0,0.45520000000000005
1660.0,0.4548
1662.0,0.4545
1664.0,0.4542
1666.0,0.4543
1668.0,0.45439999999999997
1670.0,0.45439999999999997
1672.0,0.45409999999999995
1674.0,0.4533
1676.0,0.45299999999999996
1678.0,0.4532
1680.0,0.4536
1682.0,0.4536
1684.0,0.4532
1686.0,0.45299999999999996
1688.0,0.4531
1690.0,0.4534
1692.0,0.4539
1694.0,0.4542
1696.0,0.4547
1698.0,0.4549
1700.0,0.4547
1702.0,0.45439999999999997
1704.0,0.4543
1706.0,0.4542
1708.0,0.45409999999999995
1710.0,0.4539
1712.0,0.4534
1714.0,0.4532
1716.0,0.45280000000000004
1718.0,0.4526
1720.0,0.4524
1722.0,0.4525
1724.0,0.4526
1726.0,0.45270000000000005
1728.0,0.4525
1730.0,0.4523
1732.0,0.45189999999999997
1734.0,0.4522
1736.0,0.4524
1738.0,0.4526
