wavelength,reflectance
1300.0,0.5720000000000001
1302.0,0.5709000000000001
1304.0,0.5704
1306.0,0.5698
1308.0,0.5682
1310.0,0.5690999999999999
1312.0,0.5694
1314.0,0.5699000000000001
1316.0,0.5704
1318.0,0.5705
1320.0,0.5694
1322.0,0.5684
1324.0,0.5679
1326.0,0.5674
1328.0,0.5674
1330.0,0.5678
1332.0,0.568
1334.0,0.5677
1336.0,0.5668
1338.0,0.5661
1340.0,0.5657
1342.0,0.5657
1344.0,0.5657
1346.0,0.5656
1348.0,0.5654
1350.0,0.5659000000000001
1352.0,0.56515
1354.0,0.5646
1356.0,0.5635
1358.0,0.5635
1360.0,0.5638000000000001
1362.0,0.5640999999999999
1364.0,0.5637
1366.0,0.5631
1368.0,0.5625
1370.0,0.5626
1372.0,0.5629
1374.0,0.5628
1376.0,0.5626
1378.0,0.5623
1380.0,0.5619
1382.0,0.5615
1384.0,0.561
1386.0,0.5603
1388.0,0.5594
1390.0,0.5585
1392.0,0.55725
1394.0,0.5562
1396.0,0.555
1398.0,0.5534
1400.0,0.55115
1402.0,0.54935
1404.0,0.5474
1406.0,0.5456
1408.0,0.5443
1410.0,0.5426
1412.0,0.5407500000000001
1414.0,0.5390999999999999
1416.0,0.5373
1418.0,0.5352
1420.0,0.5333
1422.0,0.5313
1424.0,0.5295000000000001
1426.0,0.5284
1428.0,0.52745
1430.0,0.5266
1432.0,0.5253
1434.0,0.5238499999999999
1436.0,0.5222
1438.0,0.5201
1440.0,0.5177499999999999
1442.0,0.51595
1444.0,0.5133
1446.0,0.5115
1448.0,0.5104
1450.0,0.5096
1452.0,0.5102
1454.0,0.5115
1456.0,0.5131
1458.0,0.5149
1460.0,0.5168
1462.0,0.51845
1464.0,0.5199
1466.0,0.5212
1468.0,0.5222
1470.0,0.523
1472.0,0.5238
1474.0,0.5246
1476.0,0.5253
1478.0,0.5261
1480.0,0.5268
1482.0,0.5272
1484.0,0.5277000000000001
1486.0,0.52815
1488.0,0.5286
1490.0,0.5289
1492.0,0.5289
1494.0,0.529
1496.0,0.5294
1498.0,0.5303
1500.0,0.5316
1502.0,0.5331
1504.0,0.535
1506.0,0.537
1508.0,0.5389
1510.0,0.5405
1512.0,0.5418999999999999
1514.0,0.5431
1516.0,0.5443
1518.0,0.5453
1520.0,0.5462
1522.0,0.5468
1524.0,0.5471
1526.0,0.5473
1528.0,0.5475
1530.0,0.5477000000000001
1532.0,0.5478999999999999
1534.0,0.5482
1536.0,0.5483
1538.0,0.5484
1540.0,0.5489
1542.0,0.5493
1544.0,0.5499
1546.0,0.5506
1548.0,0.5517
1550.0,0.5532
1552.0,0.5550999999999999
1554.0,0.5565
1556.0,0.5576
1558.0,0.5586
1560.0,0.5598
1562.0,0.5611
1564.0,0.5621
1566.0,0.5628
1568.0,0.5632
1570.0,0.5638000000000001
1572.0,0.5646
1574.0,0.56515
1576.0,0.5661
1578.0,0.5669
1580.0,0.5674
1582.0,0.5674
1584.0,0.5672999999999999
1586.0,0.5677
1588.0,0.5687
1590.0,0.57
1592.0,0.5709000000000001
1594.0,0.5715
1596.0,0.5717
1598.0,0.5718
1600.0,0.5721
1602.0,0.5726
1604.0,0.5726
1606.0,0.5733
1608.0,0.574
1610.0,0.5745
1612.0,0.5748
1614.0,0.57485
1616.0,0.5751
1618.0,0.5754
1620.0,0.5756
1622.0,0.5759000000000001
1624.0,0.5761999999999999
1626.0,0.5766
1628.0,0.5765
1630.0,0.5764
1632.0,0.57665
1634.0,0.5769
1636.0,0.5772999999999999
1638.0,0.5778
1640.0,0.5778
1642.0,0.5779
1644.0,0.5778
1646.0,0.5776
1648.0,0.5777
1650.0,0.578
1652.0,0.57845
1654.0,0.579
1656.0,0.5791
1658.0,0.5788
1660.0,0.5786
1662.0,0.5783
1664.0,0.5782
1666.0,0.578
1668.0,0.5776
1670.0,0.5777
1672.0,0.5775
1674.0,0.5775
1676.0,0.5772999999999999
1678.0,0.5770000000000001
1680.0,0.5771999999999999
1682.0,0.5777
1684.0,0.5779
1686.0,0.5778
1688.0,0.5774
1690.0,0.5771000000000001
1692.0,0.5771000000000001
1694.0,0.5774
1696.0,0.5777
1698.0,0.5776
1700.0,0.5771999999999999
1702.0,0.5768
1704.0,0.5763
1706.0,0.5759000000000001
1708.0,0.5755
1710.0,0.5751
1712.0,0.5746
1714.0,0.5743
1716.0,0.5737
1718.0,0.57305
1720.0,0.5722999999999999
1722.0,0.5711999999999999
1724.0,0.5702
1726.0,0.5693
1728.0,0.5685
1730.0,0.568
1732.0,0.5672
1734.0,0.5664
1736.0,0.5653
1738.0,0.5639
1740.0,0.5629
1742.0,0.5616
1744.0,0.5605
1746.0,0.56
1748.0,0.5595
1750.0,0.5588000000000001
1752.0,0.55835
1754.0,0.5579
1756.0,0.5578
1758.0,0.5583
1760.0,0.5587
1762.0,0.5589999999999999
1764.0,0.5592
1766.0,0.5597
1768.0,0.5600999999999999
1770.0,0.5605
1772.0,0.5605
1774.0,0.5605
1776.0,0.5603
1778.0,0.5604
1780.0,0.5606
1782.0,0.5608
1784.0,0.5613
1786.0,0.5618
1788.0,0.5622
1790.0,0.5628
1792.0,0.5633
1794.0,0.5639
1796.0,0.5640999999999999
1798.0,0.5644
1800.0,0.5648
1802.0,0.5655
1804.0,0.56625
1806.0,0.5665
1808.0,0.5664
1810.0,0.5665
1812.0,0.5668
1814.0,0.5671
1816.0,0.5672
1818.0,0.5672999999999999
1820.0,0.56695
1822.0,0.5668
1824.0,0.5665
1826.0,0.5664
1828.0,0.5667
1830.0,0.5668
1832.0,0.56695
1834.0,0.5668
1836.0,0.5661999999999999
1838.0,0.5657
1840.0,0.5650999999999999
1842.0,0.56445
1844.0,0.5642
1846.0,0.5638000000000001
1848.0,0.563
1850.0,0.5623
1852.0,0.5614
1854.0,0.5600999999999999
1856.0,0.5587
1858.0,0.5572
1860.0,0.5554
1862.0,0.55365
1864.0,0.5517
