wavelength,reflectance
1300.0,0.8183
1302.0,0.8187000000000001
1304.0,0.8159000000000001
1306.0,0.8129000000000001
1308.0,0.8123
1310.0,0.8122
1312.0,0.8116
1314.0,0.8116
1316.0,0.8114
1318.0,0.8101
1320.0,0.8081999999999999
1322.0,0.8070999999999999
1324.0,0.8046
1326.0,0.8027
1328.0,0.8018000000000001
1330.0,0.8005
1332.0,0.8
1334.0,0.7990999999999999
1336.0,0.79755
1338.0,0.7947
1340.0,0.7928000000000001
1342.0,0.7906
1344.0,0.7878499999999999
1346.0,0.7851
1348.0,0.7807
1350.0,0.7756000000000001
1352.0,0.7706000000000001
1354.0,0.765
1356.0,0.7603
1358.0,0.7568
1360.0,0.7535
1362.0,0.7506
1364.0,0.7472
1366.0,0.7432
1368.0,0.7386
1370.0,0.7325499999999999
1372.0,0.7245
1374.0,0.7145999999999999
1376.0,0.7031000000000001
1378.0,0.6903
1380.0,0.6776000000000001
1382.0,0.6651
1384.0,0.6537999999999999
1386.0,0.6448
1388.0,0.638
1390.0,0.6334000000000001
1392.0,0.6317
1394.0,0.6321
1396.0,0.6336999999999999
1398.0,0.636
1400.0,0.638
1402.0,0.6388
1404.0,0.6372
1406.0,0.6321
1408.0,0.6238
1410.0,0.6141
1412.0,0.6067
1414.0,0.60575
1416.0,0.6133
1418.0,0.6275999999999999
1420.0,0.6455
1422.0,0.6629999999999999
1424.0,0.6777
1426.0,0.6897
1428.0,0.6990000000000001
1430.0,0.7056
1432.0,0.711
1434.0,0.7156
1436.0,0.7199
1438.0,0.7237
1440.0,0.7271500000000001
1442.0,0.7302
1444.0,0.733
1446.0,0.7358
1448.0,0.738
1450.0,0.74
1452.0,0.7419
1454.0,0.7440000000000001
1456.0,0.7458499999999999
1458.0,0.7473000000000001
1460.0,0.74835
1462.0,0.7494
1464.0,0.7506999999999999
1466.0,0.7517
1468.0,0.753
1470.0,0.754
1472.0,0.7553
1474.0,0.7565999999999999
1476.0,0.7585
1478.0,0.7605
1480.0,0.7631999999999999
1482.0,0.7656999999999999
1484.0,0.76775
1486.0,0.7692
1488.0,0.7707999999999999
1490.0,0.7722
1492.0,0.7735
1494.0,0.7748999999999999
1496.0,0.7763
1498.0,0.7781
1500.0,0.7798
1502.0,0.78105
1504.0,0.7818999999999999
1506.0,0.7831999999999999
1508.0,0.7846
1510.0,0.7865000000000001
1512.0,0.7876000000000001
1514.0,0.7885
1516.0,0.7889
1518.0,0.7898000000000001
1520.0,0.7906
1522.0,0.7917000000000001
1524.0,0.7928000000000001
1526.0,0.7938
1528.0,0.7947
1530.0,0.7957
1532.0,0.7966
1534.0,0.7975
1536.0,0.7986
1538.0,0.79935
1540.0,0.8001999999999999
1542.0,0.8009000000000001
1544.0,0.8016
1546.0,0.8019
