wavelength,reflectance
1300.0,0.5677
1302.0,0.5675
1304.0,0.5677
1306.0,0.5684
1308.0,0.5657
1310.0,0.5646
1312.0,0.5656
1314.0,0.5669
1316.0,0.5666
1318.0,0.5667
1320.0,0.5633
1322.0,0.56265
1324.0,0.5639
1326.0,0.5659000000000001
1328.0,0.5666
1330.0,0.5672
1332.0,0.56695
1334.0,0.5669
1336.0,0.5671
1338.0,0.5672
1340.0,0.5666
1342.0,0.5668
1344.0,0.5672
1346.0,0.5675
1348.0,0.5677
1350.0,0.5676
1352.0,0.5675
1354.0,0.5676
1356.0,0.5681
1358.0,0.5686
1360.0,0.56875
1362.0,0.56875
1364.0,0.5687
1366.0,0.5684
1368.0,0.5685
1370.0,0.5689
1372.0,0.5689
1374.0,0.5686
1376.0,0.5679
1378.0,0.5668
1380.0,0.5661999999999999
1382.0,0.5654
1384.0,0.5646
1386.0,0.5635
1388.0,0.5617
1390.0,0.5595
1392.0,0.5571
1394.0,0.5544
1396.0,0.5517
1398.0,0.5488000000000001
1400.0,0.5455
1402.0,0.5422
1404.0,0.5392
1406.0,0.5362
1408.0,0.53355
1410.0,0.5314
1412.0,0.5302
1414.0,0.5299
1416.0,0.5305
1418.0,0.5316
1420.0,0.5337
1422.0,0.5367000000000001
1424.0,0.5406
1426.0,0.5445
1428.0,0.5482
1430.0,0.5515
1432.0,0.5544
1434.0,0.5569
1436.0,0.55905
1438.0,0.56085
1440.0,0.56265
1442.0,0.5644
1444.0,0.5658
1446.0,0.5669
1448.0,0.568
1450.0,0.5690999999999999
1452.0,0.57
1454.0,0.57055
1456.0,0.5710000000000001
1458.0,0.5711999999999999
1460.0,0.5719
1462.0,0.57305
1464.0,0.5743
1466.0,0.5755
1468.0,0.57595
1470.0,0.5763
1472.0,0.5765
1474.0,0.5770000000000001
1476.0,0.5777
1478.0,0.5784
1480.0,0.5793
1482.0,0.5802
1484.0,0.58095
1486.0,0.5817
1488.0,0.5822999999999999
1490.0,0.583
1492.0,0.58385
1494.0,0.585
1496.0,0.5856
1498.0,0.5863
1500.0,0.5867
1502.0,0.5874
1504.0,0.5882999999999999
1506.0,0.5893
1508.0,0.5901
1510.0,0.5909
1512.0,0.5917
1514.0,0.5924
1516.0,0.593
1518.0,0.5937
1520.0,0.5943999999999999
1522.0,0.5951
1524.0,0.5959
1526.0,0.5962
1528.0,0.5967
1530.0,0.5977
1532.0,0.598
1534.0,0.5985
1536.0,0.5985499999999999
1538.0,0.599
1540.0,0.59965
1542.0,0.6008
1544.0,0.6015999999999999
1546.0,0.6021
1548.0,0.6024
1550.0,0.6026
1552.0,0.603
1554.0,0.6036
1556.0,0.6041
1558.0,0.6043999999999999
1560.0,0.6046
1562.0,0.6052000000000001
1564.0,0.60575
1566.0,0.6065999999999999
1568.0,0.6071
1570.0,0.6075
1572.0,0.6079
1574.0,0.6085
1576.0,0.6092
1578.0,0.6097
1580.0,0.6103000000000001
1582.0,0.6108
1584.0,0.6111
1586.0,0.6113000000000001
1588.0,0.6114999999999999
1590.0,0.6118
1592.0,0.6123
1594.0,0.6131
1596.0,0.6136
1598.0,0.61365
1600.0,0.6136
1602.0,0.6139
1604.0,0.6146
1606.0,0.6154
1608.0,0.6157
1610.0,0.61545
1612.0,0.6156
1614.0,0.616
1616.0,0.617
1618.0,0.6175999999999999
1620.0,0.6181
1622.0,0.6181
1624.0,0.6183
1626.0,0.6185
1628.0,0.6186
1630.0,0.6189
1632.0,0.619
1634.0,0.6192
1636.0,0.6192
1638.0,0.6192
1640.0,0.61975
1642.0,0.6202000000000001
1644.0,0.6206
1646.0,0.6207
1648.0,0.6207
1650.0,0.62085
1652.0,0.6212
1654.0,0.6214999999999999
1656.0,0.6214999999999999
1658.0,0.6214
1660.0,0.6211
1662.0,0.6212
1664.0,0.62155
1666.0,0.62155
1668.0,0.62155
1670.0,0.6214999999999999
1672.0,0.6214
1674.0,0.62155
1676.0,0.6221
1678.0,0.6223
1680.0,0.6225999999999999
1682.0,0.6227
1684.0,0.6229
1686.0,0.6236999999999999
1688.0,0.6242
1690.0,0.6244
1692.0,0.6243
1694.0,0.6246
1696.0,0.6248
1698.0,0.625
1700.0,0.62515
1702.0,0.62515
1704.0,0.6256
1706.0,0.6257
1708.0,0.62585
1710.0,0.62585
1712.0,0.62585
1714.0,0.6261
1716.0,0.6263000000000001
1718.0,0.6265999999999999
1720.0,0.6267
1722.0,0.6265999999999999
1724.0,0.6263000000000001
1726.0,0.6264
1728.0,0.6267
1730.0,0.62695
1732.0,0.6269
1734.0,0.6268
1736.0,0.6272
1738.0,0.6279
1740.0,0.6285000000000001
1742.0,0.6286
1744.0,0.6286999999999999
1746.0,0.6284000000000001
1748.0,0.6285000000000001
1750.0,0.6285000000000001
1752.0,0.6286999999999999
1754.0,0.6291
1756.0,0.6294
1758.0,0.62945
1760.0,0.6294
1762.0,0.629
1764.0,0.6289
1766.0,0.6291
1768.0,0.6293
1770.0,0.6297
1772.0,0.6296
1774.0,0.6293
1776.0,0.6293
1778.0,0.6291
1780.0,0.6296
1782.0,0.62945
1784.0,0.6296
1786.0,0.6297
1788.0,0.6297999999999999
1790.0,0.6301
1792.0,0.6303
1794.0,0.6303
1796.0,0.6303
1798.0,0.6303
1800.0,0.6303
1802.0,0.6304
1804.0,0.6304
1806.0,0.6306
1808.0,0.6306
1810.0,0.6307
1812.0,0.6308
1814.0,0.6307
1816.0,0.6306
1818.0,0.6306
1820.0,0.6305
1822.0,0.6305
1824.0,0.6308
1826.0,0.6306
1828.0,0.6303
1830.0,0.63
1832.0,0.6294
1834.0,0.6292
1836.0,0.6293
1838.0,0.629
1840.0,0.629
1842.0,0.6285000000000001
1844.0,0.6281
1846.0,0.6279
1848.0,0.62765
1850.0,0.6273
1852.0,0.6267
1854.0,0.626
1856.0,0.6251
1858.0,0.624
1860.0,0.6232
1862.0,0.6221
1864.0,0.6202000000000001
1866.0,0.61725
1868.0,0.6139
1870.0,0.6107
1872.0,0.6071
1874.0,0.6032500000000001
1876.0,0.5992999999999999
1878.0,0.5949
1880.0,0.5908
1882.0,0.5866
1884.0,0.5821999999999999
1886.0,0.5772999999999999
1888.0,0.5714
1890.0,0.56515
1892.0,0.55835
1894.0,0.5515
1896.0,0.5444
1898.0,0.53715
1900.0,0.5302
1902.0,0.5241
1904.0,0.5196999999999999
1906.0,0.5169
1908.0,0.5155
1910.0,0.5152
1912.0,0.51595
1914.0,0.5174
1916.0,0.51955
1918.0,0.5216
1920.0,0.5238
1922.0,0.526
1924.0,0.5286
1926.0,0.5313
1928.0,0.5331
1930.0,0.5349
1932.0,0.5360499999999999
1934.0,0.5375
1936.0,0.5390999999999999
1938.0,0.5407500000000001
1940.0,0.5429999999999999
1942.0,0.5443
1944.0,0.5452
1946.0,0.5461
1948.0,0.5472
1950.0,0.5484
1952.0,0.5492
1954.0,0.5501
1956.0,0.55115
1958.0,0.5524
1960.0,0.5539999999999999
1962.0,0.5550999999999999
1964.0,0.556
1966.0,0.5564
1968.0,0.5571
1970.0,0.55835
1972.0,0.5599000000000001
1974.0,0.5615
1976.0,0.5626
1978.0,0.5635
1980.0,0.5648
1982.0,0.5661999999999999
1984.0,0.568
1986.0,0.5692
1988.0,0.57
1990.0,0.5710999999999999
1992.0,0.5721
1994.0,0.5735
1996.0,0.5748
1998.0,0.5761999999999999
2000.0,0.5776
2002.0,0.5791
2004.0,0.5804
2006.0,0.5818
2008.0,0.583
2010.0,0.5838
2012.0,0.5851
2014.0,0.5865
2016.0,0.58815
2018.0,0.5895
2020.0,0.5906
2022.0,0.5914
2024.0,0.5921
2026.0,0.5931000000000001
2028.0,0.59425
2030.0,0.5954
2032.0,0.59605
2034.0,0.5965
2036.0,0.5974
2038.0,0.5985499999999999
2040.0,0.5998
2042.0,0.6006
2044.0,0.6012
2046.0,0.6015999999999999
2048.0,0.6017
2050.0,0.6021500000000001
2052.0,0.6026
2054.0,0.6035
2056.0,0.6043999999999999
2058.0,0.6046
2060.0,0.6045
2062.0,0.6049
2064.0,0.6056
2066.0,0.6061
2068.0,0.6061
2070.0,0.6062
2072.0,0.6065
2074.0,0.6065
2076.0,0.6065
2078.0,0.6063000000000001
2080.0,0.6067
2082.0,0.6064
2084.0,0.6061
2086.0,0.6061
2088.0,0.6063000000000001
2090.0,0.6061
2092.0,0.6057
2094.0,0.6053999999999999
2096.0,0.6051
2098.0,0.6047
2100.0,0.6039
2102.0,0.6036
2104.0,0.6037
2106.0,0.6042000000000001
2108.0,0.6041
2110.0,0.6039
2112.0,0.6036
