wavelength,reflectance
1300.0,0.6214
1302.0,0.6217
1304.0,0.6223
1306.0,0.6217
1308.0,0.6212
1310.0,0.6201
1312.0,0.6174000000000001
1314.0,0.6168
1316.0,0.6179
1318.0,0.6175
1320.0,0.6164999999999999
1322.0,0.6143
1324.0,0.6124
1326.0,0.613
1328.0,0.6126
1330.0,0.6127
1332.0,0.6118
1334.0,0.6106
1336.0,0.6103000000000001
1338.0,0.6109
1340.0,0.6111
1342.0,0.6108
1344.0,0.6093500000000001
1346.0,0.6082500000000001
1348.0,0.6079
1350.0,0.6081
1352.0,0.6084
1354.0,0.6081
1356.0,0.6079
1358.0,0.6078
1360.0,0.6079
1362.0,0.6081
1364.0,0.6079
1366.0,0.6073
1368.0,0.6065999999999999
1370.0,0.6061
1372.0,0.606
1374.0,0.6059
1376.0,0.6057
1378.0,0.6053999999999999
1380.0,0.605
1382.0,0.6047
1384.0,0.6047
1386.0,0.6046
1388.0,0.6042000000000001
1390.0,0.60395
1392.0,0.6034
1394.0,0.6032500000000001
1396.0,0.603
1398.0,0.6027
1400.0,0.6021500000000001
1402.0,0.602
1404.0,0.6019
1406.0,0.6019
1408.0,0.6018
1410.0,0.60145
1412.0,0.6013000000000001
1414.0,0.6012
1416.0,0.6012
1418.0,0.6014
1420.0,0.6014
1422.0,0.6011
1424.0,0.6009
1426.0,0.6006
1428.0,0.6006
1430.0,0.6007
1432.0,0.6008
1434.0,0.6009
1436.0,0.6011
1438.0,0.6013000000000001
1440.0,0.6012
1442.0,0.601
1444.0,0.6007
1446.0,0.6003499999999999
1448.0,0.6003499999999999
1450.0,0.6008
1452.0,0.6012
1454.0,0.6011
1456.0,0.6008
1458.0,0.6004999999999999
1460.0,0.5999
1462.0,0.5993999999999999
1464.0,0.5987
1466.0,0.5976
1468.0,0.5972999999999999
1470.0,0.5965
1472.0,0.5959
1474.0,0.5949
1476.0,0.5937
1478.0,0.5926
1480.0,0.5920000000000001
1482.0,0.5917
1484.0,0.5922999999999999
1486.0,0.593
1488.0,0.594
1490.0,0.5952000000000001
1492.0,0.5965
1494.0,0.5978
1496.0,0.599
1498.0,0.5998
1500.0,0.6003499999999999
1502.0,0.6008
1504.0,0.6012
1506.0,0.6018
1508.0,0.6024
1510.0,0.6025
1512.0,0.6031
1514.0,0.6032
1516.0,0.6032
1518.0,0.6037
1520.0,0.6041
1522.0,0.6043999999999999
1524.0,0.6047
1526.0,0.6048
1528.0,0.6049
1530.0,0.6052000000000001
1532.0,0.6053000000000001
1534.0,0.6053000000000001
1536.0,0.6053000000000001
1538.0,0.6056
1540.0,0.606
1542.0,0.6061
1544.0,0.6062
1546.0,0.6064
1548.0,0.6063000000000001
1550.0,0.6063000000000001
1552.0,0.6064
1554.0,0.6065999999999999
1556.0,0.607
1558.0,0.6072
1560.0,0.6072
1562.0,0.6073
1564.0,0.6074
1566.0,0.6075
1568.0,0.6077
1570.0,0.608
1572.0,0.6082
1574.0,0.6085
1576.0,0.6086
1578.0,0.609
1580.0,0.6093
1582.0,0.6093500000000001
1584.0,0.6096
1586.0,0.6098
1588.0,0.61005
1590.0,0.6103000000000001
1592.0,0.6103999999999999
