wavelength,reflectance
1300.0,0.48979999999999996
1302.0,0.48960000000000004
1304.0,0.4891
1306.0,0.48869999999999997
1308.0,0.48840000000000006
1310.0,0.48840000000000006
1312.0,0.48869999999999997
1314.0,0.489
1316.0,0.4893
1318.0,0.489
1320.0,0.4885
1322.0,0.488
1324.0,0.4876
1326.0,0.48710000000000003
1328.0,0.4865
1330.0,0.486
1332.0,0.4857
1334.0,0.4854
1336.0,0.4852
1338.0,0.4851
1340.0,0.4851
1342.0,0.4852
1344.0,0.4852
1346.0,0.48460000000000003
1348.0,0.483
1350.0,0.4803
1352.0,0.4767
1354.0,0.4728
1356.0,0.4694
1358.0,0.467
1360.0,0.4657
1362.0,0.46549999999999997
1364.0,0.466
1366.0,0.4669
1368.0,0.4673
1370.0,0.467
1372.0,0.4658
1374.0,0.4636
1376.0,0.46020000000000005
1378.0,0.456
1380.0,0.4507
1382.0,0.4445
1384.0,0.4375
1386.0,0.4292
1388.0,0.4193
1390.0,0.40840000000000004
1392.0,0.3982
1394.0,0.39159999999999995
1396.0,0.3898
1398.0,0.392
1400.0,0.3957
1402.0,0.3993
1404.0,0.402
1406.0,0.40380000000000005
1408.0,0.4032
1410.0,0.3993
1412.0,0.3934
1414.0,0.38939999999999997
1416.0,0.392
1418.0,0.4018
1420.0,0.41450000000000004
1422.0,0.42479999999999996
1424.0,0.4304
1426.0,0.4325
1428.0,0.43439999999999995
1430.0,0.4378
1432.0,0.4429
1434.0,0.4485
1436.0,0.4539
1438.0,0.4587
1440.0,0.46240000000000003
1442.0,0.4648
1444.0,0.4658
1446.0,0.46590000000000004
1448.0,0.46549999999999997
1450.0,0.4647
1452.0,0.4637
1454.0,0.46270000000000006
1456.0,0.46159999999999995
1458.0,0.461
1460.0,0.4607
1462.0,0.46090000000000003
1464.0,0.46090000000000003
1466.0,0.46049999999999996
1468.0,0.4587
1470.0,0.45530000000000004
1472.0,0.44920000000000004
1474.0,0.4413
1476.0,0.4334
1478.0,0.4289
1480.0,0.4301
1482.0,0.43670000000000003
1484.0,0.4462
1486.0,0.4556
1488.0,0.4628
1490.0,0.4675
1492.0,0.4703
1494.0,0.4721
1496.0,0.47340000000000004
1498.0,0.4747
1500.0,0.47619999999999996
1502.0,0.4778
1504.0,0.4796
1506.0,0.4817
1508.0,0.48369999999999996
1510.0,0.4855
1512.0,0.48710000000000003
1514.0,0.48829999999999996
1516.0,0.4893
1518.0,0.4903
1520.0,0.49119999999999997
1522.0,0.4921
1524.0,0.4928
1526.0,0.49340000000000006
1528.0,0.4938
1530.0,0.49420000000000003
1532.0,0.4943
1534.0,0.4946
1536.0,0.4949
1538.0,0.4955
1540.0,0.496
1542.0,0.4963
1544.0,0.4966
1546.0,0.49700000000000005
1548.0,0.4972
1550.0,0.4974
1552.0,0.4976
1554.0,0.4978
1556.0,0.49810000000000004
1558.0,0.49829999999999997
1560.0,0.4984
1562.0,0.4985
1564.0,0.4988
1566.0,0.4989
1568.0,0.49920000000000003
1570.0,0.49939999999999996
1572.0,0.49950000000000006
1574.0,0.4996
1576.0,0.5001
1578.0,0.5003
1580.0,0.5004
1582.0,0.5003
1584.0,0.5001
1586.0,0.5003
1588.0,0.5006
1590.0,0.5008
1592.0,0.5012
1594.0,0.5015
1596.0,0.5017
1598.0,0.5019
1600.0,0.5021
1602.0,0.5019
1604.0,0.5021
1606.0,0.5023
1608.0,0.5025
1610.0,0.5025999999999999
1612.0,0.5028
1614.0,0.5029
1616.0,0.5032
1618.0,0.5035000000000001
1620.0,0.5036
1622.0,0.5039
1624.0,0.5041
1626.0,0.5043
1628.0,0.5044
1630.0,0.5046
1632.0,0.5046
1634.0,0.5047999999999999
1636.0,0.5047999999999999
1638.0,0.5047999999999999
1640.0,0.5047999999999999
1642.0,0.5049
1644.0,0.5047999999999999
1646.0,0.5047999999999999
1648.0,0.5047999999999999
1650.0,0.5046
1652.0,0.5044
1654.0,0.5043
1656.0,0.5043
1658.0,0.5043
1660.0,0.504
1662.0,0.5036
1664.0,0.5032
1666.0,0.5031
1668.0,0.5028
1670.0,0.5021
1672.0,0.5018
1674.0,0.5017
1676.0,0.5015
1678.0,0.5015
1680.0,0.5012
1682.0,0.5012
1684.0,0.5011
1686.0,0.5008
1688.0,0.5007
1690.0,0.5006
1692.0,0.5006
1694.0,0.5008
1696.0,0.5008
1698.0,0.5006
1700.0,0.5003
1702.0,0.5
1704.0,0.4996
1706.0,0.4993
1708.0,0.4988
1710.0,0.4984
1712.0,0.4979
1714.0,0.4972
1716.0,0.4965
1718.0,0.49560000000000004
1720.0,0.49479999999999996
1722.0,0.4939
1724.0,0.4927
1726.0,0.49119999999999997
1728.0,0.49
1730.0,0.48869999999999997
1732.0,0.4875
1734.0,0.4861
1736.0,0.48460000000000003
1738.0,0.48350000000000004
1740.0,0.48219999999999996
1742.0,0.4807
1744.0,0.4789
1746.0,0.4772
1748.0,0.4756
1750.0,0.4743
1752.0,0.4729
1754.0,0.47159999999999996
1756.0,0.4707
1758.0,0.46990000000000004
1760.0,0.4689
1762.0,0.4677
1764.0,0.46659999999999996
1766.0,0.46590000000000004
1768.0,0.4658
1770.0,0.4661
1772.0,0.4671
1774.0,0.46840000000000004
1776.0,0.4696
1778.0,0.4707
1780.0,0.4719
1782.0,0.4732
1784.0,0.4746
1786.0,0.47609999999999997
1788.0,0.4779
1790.0,0.48
1792.0,0.4819
1794.0,0.4833
1796.0,0.48460000000000003
1798.0,0.48560000000000003
1800.0,0.4866
1802.0,0.48729999999999996
1804.0,0.4875
1806.0,0.4874
1808.0,0.48710000000000003
1810.0,0.4868
1812.0,0.48619999999999997
1814.0,0.486
1816.0,0.4857
1818.0,0.4855
1820.0,0.4854
1822.0,0.4854
1824.0,0.4857
1826.0,0.48619999999999997
1828.0,0.4868
1830.0,0.4874
1832.0,0.4876
1834.0,0.4878
1836.0,0.4876
1838.0,0.4869
1840.0,0.48619999999999997
1842.0,0.4855
1844.0,0.4852
1846.0,0.4855
1848.0,0.4865
1850.0,0.4876
1852.0,0.48869999999999997
1854.0,0.4892
1856.0,0.4891
1858.0,0.4885
1860.0,0.4878
1862.0,0.48729999999999996
1864.0,0.4865
1866.0,0.4854
1868.0,0.4838
1870.0,0.48210000000000003
1872.0,0.4804
1874.0,0.4783
1876.0,0.47600000000000003
1878.0,0.47350000000000003
1880.0,0.47119999999999995
1882.0,0.46909999999999996
1884.0,0.46659999999999996
1886.0,0.46380000000000005
1888.0,0.4608
1890.0,0.45770000000000005
1892.0,0.45399999999999996
1894.0,0.45030000000000003
1896.0,0.4462
1898.0,0.44229999999999997
1900.0,0.4385
1902.0,0.4349
1904.0,0.43200000000000005
1906.0,0.4293
1908.0,0.42729999999999996
1910.0,0.4257
1912.0,0.42460000000000003
1914.0,0.4244
1916.0,0.4244
1918.0,0.4249
1920.0,0.4255
1922.0,0.426
1924.0,0.4268
1926.0,0.42729999999999996
1928.0,0.4278
1930.0,0.42840000000000006
1932.0,0.429
1934.0,0.4296
1936.0,0.43
1938.0,0.4302
1940.0,0.4303
1942.0,0.43090000000000006
1944.0,0.43119999999999997
1946.0,0.4315
1948.0,0.4316
1950.0,0.4316
1952.0,0.4316
1954.0,0.43170000000000003
1956.0,0.43170000000000003
1958.0,0.43189999999999995
1960.0,0.4321
1962.0,0.43229999999999996
1964.0,0.4328
1966.0,0.43310000000000004
1968.0,0.4335
1970.0,0.4339
1972.0,0.43450000000000005
1974.0,0.43520000000000003
1976.0,0.4357
1978.0,0.4362
1980.0,0.4364
1982.0,0.4364
1984.0,0.4362
1986.0,0.436
1988.0,0.43579999999999997
1990.0,0.4353
1992.0,0.4346
1994.0,0.4338
1996.0,0.4329
1998.0,0.4322
2000.0,0.4315
2002.0,0.43079999999999996
2004.0,0.4301
2006.0,0.42950000000000005
2008.0,0.429
2010.0,0.4285
2012.0,0.4282
2014.0,0.42810000000000004
2016.0,0.42810000000000004
2018.0,0.42829999999999996
2020.0,0.4285
2022.0,0.42869999999999997
2024.0,0.4285
2026.0,0.42810000000000004
2028.0,0.4275
2030.0,0.4268
2032.0,0.426
2034.0,0.4253
2036.0,0.4251
2038.0,0.42460000000000003
2040.0,0.424
2042.0,0.4232
2044.0,0.4226
2046.0,0.4219
2048.0,0.42100000000000004
2050.0,0.42
2052.0,0.4188
2054.0,0.4178
2056.0,0.4169
2058.0,0.41609999999999997
2060.0,0.4153
2062.0,0.4142
2064.0,0.4133
2066.0,0.4127
2068.0,0.4119
2070.0,0.41100000000000003
2072.0,0.41009999999999996
2074.0,0.4092
2076.0,0.4086
2078.0,0.4079
2080.0,0.4071
2082.0,0.4061
2084.0,0.4048
2086.0,0.40340000000000004
2088.0,0.4023
2090.0,0.4014
2092.0,0.4003
2094.0,0.3993
2096.0,0.39799999999999996
2098.0,0.3968
2100.0,0.39549999999999996
2102.0,0.3935
2104.0,0.3914
2106.0,0.3883
2108.0,0.385
2110.0,0.38130000000000003
2112.0,0.3778
2114.0,0.3746
2116.0,0.3718
2118.0,0.3691
2120.0,0.36590000000000006
2122.0,0.3625
2124.0,0.3589
2126.0,0.3556
2128.0,0.3527
2130.0,0.34990000000000004
2132.0,0.3471
2134.0,0.34409999999999996
2136.0,0.3411
2138.0,0.3375
2140.0,0.3337
2142.0,0.3297
2144.0,0.3251
2146.0,0.32
2148.0,0.3143
2150.0,0.30879999999999996
2152.0,0.3034
2154.0,0.2987
2156.0,0.2948
2158.0,0.2922
2160.0,0.2904
2162.0,0.2887
2164.0,0.2874
2166.0,0.2866
2168.0,0.2872
2170.0,0.28859999999999997
2172.0,0.2908
2174.0,0.293
2176.0,0.2942
2178.0,0.29469999999999996
2180.0,0.2948
2182.0,0.2954
