wavelength,reflectance
1300.0,0.2904
1302.0,0.2915
1304.0,0.2922
1306.0,0.2926
1308.0,0.293
1310.0,0.29350000000000004
1312.0,0.2938
1314.0,0.2939
1316.0,0.2939
1318.0,0.2938
1320.0,0.2942
1322.0,0.2948
1324.0,0.29460000000000003
1326.0,0.2944
1328.0,0.2945
1330.0,0.2945
1332.0,0.2948
1334.0,0.2949
1336.0,0.29469999999999996
1338.0,0.2945
1340.0,0.2944
1342.0,0.2942
1344.0,0.294
1346.0,0.2938
1348.0,0.29309999999999997
1350.0,0.2926
1352.0,0.2917
1354.0,0.2913
1356.0,0.2907
1358.0,0.2901
1360.0,0.2896
1362.0,0.2891
1364.0,0.2887
1366.0,0.28850000000000003
1368.0,0.2882
1370.0,0.2878
1372.0,0.2872
1374.0,0.2864
1376.0,0.2849
1378.0,0.2829
1380.0,0.2807
1382.0,0.2779
1384.0,0.275
1386.0,0.27140000000000003
1388.0,0.267
1390.0,0.26239999999999997
1392.0,0.2583
1394.0,0.2548
1396.0,0.2523
1398.0,0.2502
1400.0,0.24789999999999998
1402.0,0.24600000000000002
1404.0,0.2441
1406.0,0.242
1408.0,0.23929999999999998
1410.0,0.2354
1412.0,0.23170000000000002
1414.0,0.2306
1416.0,0.2332
1418.0,0.2391
1420.0,0.2463
1422.0,0.2526
1424.0,0.25739999999999996
1426.0,0.261
1428.0,0.264
1430.0,0.26649999999999996
1432.0,0.26890000000000003
1434.0,0.2708
1436.0,0.2722
1438.0,0.2733
1440.0,0.2741
1442.0,0.2746
1444.0,0.275
1446.0,0.2755
1448.0,0.2755
1450.0,0.2759
1452.0,0.2762
1454.0,0.2763
1456.0,0.2764
1458.0,0.2764
1460.0,0.2764
1462.0,0.2764
1464.0,0.2761
1466.0,0.2762
1468.0,0.2763
1470.0,0.2764
1472.0,0.2766
1474.0,0.2768
1476.0,0.2768
1478.0,0.2775
1480.0,0.2781
1482.0,0.2784
1484.0,0.2787
1486.0,0.2788
1488.0,0.2784
1490.0,0.2784
1492.0,0.2784
1494.0,0.2786
1496.0,0.2791
1498.0,0.2793
1500.0,0.2797
1502.0,0.28
1504.0,0.28
1506.0,0.28
1508.0,0.2802
1510.0,0.2804
1512.0,0.2807
1514.0,0.2808
1516.0,0.2807
1518.0,0.2808
1520.0,0.2809
1522.0,0.2811
1524.0,0.2813
1526.0,0.2816
1528.0,0.2814
1530.0,0.2813
1532.0,0.2814
1534.0,0.2816
1536.0,0.2816
1538.0,0.2818
1540.0,0.2816
1542.0,0.2816
1544.0,0.2818
1546.0,0.282
1548.0,0.2822
1550.0,0.2822
1552.0,0.2822
1554.0,0.2824
1556.0,0.2825
1558.0,0.2825
1560.0,0.2824
1562.0,0.2824
1564.0,0.2827
1566.0,0.28300000000000003
1568.0,0.2832
1570.0,0.2833
1572.0,0.28309999999999996
1574.0,0.2833
1576.0,0.2833
1578.0,0.2836
1580.0,0.2839
1582.0,0.2839
1584.0,0.2838
1586.0,0.2836
1588.0,0.2834
1590.0,0.2836
1592.0,0.2839
1594.0,0.2839
1596.0,0.2839
1598.0,0.2837
1600.0,0.284
1602.0,0.2841
1604.0,0.2843
1606.0,0.2846
1608.0,0.2845
1610.0,0.2843
1612.0,0.2842
1614.0,0.2843
1616.0,0.2845
1618.0,0.2846
1620.0,0.2847
1622.0,0.2846
1624.0,0.2847
1626.0,0.2846
1628.0,0.2843
1630.0,0.2843
1632.0,0.2843
1634.0,0.2846
1636.0,0.2849
1638.0,0.285
1640.0,0.2849
1642.0,0.2847
1644.0,0.2846
1646.0,0.2846
1648.0,0.2849
1650.0,0.285
1652.0,0.2852
1654.0,0.285
1656.0,0.2843
1658.0,0.2839
1660.0,0.2837
1662.0,0.2839
1664.0,0.2842
1666.0,0.2843
1668.0,0.2842
1670.0,0.2839
1672.0,0.2833
1674.0,0.28300000000000003
1676.0,0.2828
1678.0,0.28300000000000003
1680.0,0.28300000000000003
1682.0,0.2833
1684.0,0.2832
1686.0,0.28300000000000003
1688.0,0.28300000000000003
1690.0,0.2828
1692.0,0.28309999999999996
1694.0,0.2833
1696.0,0.2834
1698.0,0.2834
1700.0,0.2833
1702.0,0.2833
1704.0,0.2832
1706.0,0.2833
1708.0,0.2832
1710.0,0.2828
1712.0,0.2827
1714.0,0.2825
1716.0,0.2824
1718.0,0.2823
1720.0,0.2821
1722.0,0.282
1724.0,0.2821
1726.0,0.2824
1728.0,0.2824
1730.0,0.2823
1732.0,0.2824
1734.0,0.2823
1736.0,0.2825
1738.0,0.28300000000000003
1740.0,0.2832
1742.0,0.28300000000000003
1744.0,0.2827
1746.0,0.2824
1748.0,0.2822
1750.0,0.2822
1752.0,0.282
1754.0,0.2816
1756.0,0.2813
1758.0,0.2812
1760.0,0.2813
1762.0,0.2816
1764.0,0.2816
1766.0,0.2816
1768.0,0.2813
1770.0,0.2812
1772.0,0.2812
1774.0,0.2811
1776.0,0.2812
1778.0,0.2811
1780.0,0.2809
1782.0,0.2811
1784.0,0.2808
1786.0,0.2807
1788.0,0.2804
1790.0,0.28
1792.0,0.2797
1794.0,0.2793
1796.0,0.2791
1798.0,0.2791
1800.0,0.27899999999999997
1802.0,0.2789
1804.0,0.2788
1806.0,0.2789
1808.0,0.2788
1810.0,0.2782
1812.0,0.2778
1814.0,0.2778
1816.0,0.2782
1818.0,0.2784
1820.0,0.2784
1822.0,0.2784
1824.0,0.278
1826.0,0.278
1828.0,0.2779
1830.0,0.278
1832.0,0.2782
1834.0,0.2782
1836.0,0.2778
1838.0,0.2777
1840.0,0.2773
1842.0,0.27699999999999997
1844.0,0.2763
1846.0,0.2755
1848.0,0.2755
1850.0,0.2759
1852.0,0.2757
1854.0,0.2753
1856.0,0.275
1858.0,0.275
1860.0,0.275
1862.0,0.2746
1864.0,0.2737
1866.0,0.273
1868.0,0.2722
1870.0,0.27140000000000003
1872.0,0.2702
1874.0,0.26890000000000003
1876.0,0.2676
1878.0,0.2658
1880.0,0.2638
1882.0,0.261
1884.0,0.2579
1886.0,0.2544
1888.0,0.2506
1890.0,0.2463
1892.0,0.2416
1894.0,0.2365
1896.0,0.23129999999999998
1898.0,0.2266
1900.0,0.2225
1902.0,0.2191
1904.0,0.2164
1906.0,0.2146
1908.0,0.2141
1910.0,0.21420000000000003
1912.0,0.2147
1914.0,0.2155
1916.0,0.2164
1918.0,0.21760000000000002
1920.0,0.2186
1922.0,0.21969999999999998
1924.0,0.2211
1926.0,0.22210000000000002
1928.0,0.2232
1930.0,0.22390000000000002
1932.0,0.2242
1934.0,0.2248
1936.0,0.2255
1938.0,0.2261
1940.0,0.2267
1942.0,0.2271
1944.0,0.2271
1946.0,0.22769999999999999
1948.0,0.2279
1950.0,0.2284
1952.0,0.22899999999999998
1954.0,0.2296
1956.0,0.23079999999999998
1958.0,0.23170000000000002
1960.0,0.2322
1962.0,0.2325
1964.0,0.2327
1966.0,0.233
1968.0,0.2336
1970.0,0.2341
1972.0,0.23440000000000003
1974.0,0.2347
1976.0,0.2351
1978.0,0.23550000000000001
1980.0,0.2364
1982.0,0.2366
1984.0,0.2371
1986.0,0.2376
1988.0,0.2382
1990.0,0.23879999999999998
1992.0,0.2394
1994.0,0.23989999999999997
1996.0,0.2401
1998.0,0.24059999999999998
2000.0,0.24100000000000002
2002.0,0.2419
2004.0,0.2419
2006.0,0.2421
2008.0,0.2427
2010.0,0.2434
2012.0,0.2441
2014.0,0.24420000000000003
2016.0,0.24420000000000003
2018.0,0.2445
2020.0,0.24480000000000002
2022.0,0.2451
2024.0,0.2457
2026.0,0.2462
2028.0,0.24600000000000002
2030.0,0.2462
2032.0,0.2462
2034.0,0.2464
2036.0,0.2465
2038.0,0.2464
2040.0,0.2465
2042.0,0.2465
2044.0,0.2468
2046.0,0.247
2048.0,0.2469
2050.0,0.24710000000000001
2052.0,0.2473
2054.0,0.24739999999999998
2056.0,0.24739999999999998
2058.0,0.2473
2060.0,0.2468
2062.0,0.24670000000000003
2064.0,0.2463
2066.0,0.2463
2068.0,0.2465
2070.0,0.2463
2072.0,0.2463
2074.0,0.24559999999999998
2076.0,0.24480000000000002
2078.0,0.24420000000000003
2080.0,0.24420000000000003
2082.0,0.2443
2084.0,0.244
2086.0,0.2434
2088.0,0.2426
2090.0,0.24230000000000002
2092.0,0.2416
2094.0,0.2407
2096.0,0.2402
2098.0,0.23989999999999997
2100.0,0.2401
2102.0,0.2395
2104.0,0.2386
2106.0,0.2376
2108.0,0.23620000000000002
2110.0,0.2351
2112.0,0.2341
2114.0,0.23329999999999998
2116.0,0.2329
2118.0,0.2329
2120.0,0.233
2122.0,0.233
2124.0,0.2324
2126.0,0.2321
2128.0,0.2316
2130.0,0.23129999999999998
2132.0,0.23079999999999998
2134.0,0.2297
2136.0,0.2284
2138.0,0.22690000000000002
2140.0,0.2249
2142.0,0.2225
2144.0,0.22
2146.0,0.2173
2148.0,0.2146
2150.0,0.2118
2152.0,0.2094
2154.0,0.20679999999999998
2156.0,0.2045
2158.0,0.2029
2160.0,0.20170000000000002
2162.0,0.2007
2164.0,0.2
2166.0,0.1996
2168.0,0.19920000000000002
2170.0,0.19870000000000002
2172.0,0.19829999999999998
2174.0,0.1975
2176.0,0.1967
2178.0,0.19579999999999997
2180.0,0.19469999999999998
2182.0,0.1934
2184.0,0.1913
2186.0,0.18899999999999997
2188.0,0.1861
2190.0,0.18350000000000002
2192.0,0.1819
2194.0,0.1801
2196.0,0.17809999999999998
2198.0,0.1757
2200.0,0.1725
2202.0,0.16870000000000002
2204.0,0.1638
2206.0,0.16010000000000002
2208.0,0.1583
2210.0,0.1591
2212.0,0.16269999999999998
2214.0,0.1678
2216.0,0.1728
2218.0,0.1772
2220.0,0.18
2222.0,0.18309999999999998
2224.0,0.1852
2226.0,0.187
2228.0,0.1894
2230.0,0.1918
2232.0,0.1937
2234.0,0.1948
2236.0,0.1943
2238.0,0.19469999999999998
2240.0,0.1949
2242.0,0.1957
2244.0,0.19579999999999997
2246.0,0.19649999999999998
2248.0,0.19579999999999997
2250.0,0.1961
2252.0,0.1963
2254.0,0.19649999999999998
2256.0,0.1961
2258.0,0.1961
2260.0,0.19760000000000003
2262.0,0.1993
2264.0,0.2002
2266.0,0.2002
2268.0,0.1996
2270.0,0.1991
2272.0,0.19949999999999998
2274.0,0.1998
2276.0,0.1993
2278.0,0.1986
2280.0,0.1986
2282.0,0.1985
2284.0,0.1978
2286.0,0.1973
2288.0,0.19649999999999998
2290.0,0.196
2292.0,0.1949
2294.0,0.1946
2296.0,0.1948
2298.0,0.19469999999999998
2300.0,0.1936
2302.0,0.192
2304.0,0.19010000000000002
2306.0,0.1893
2308.0,0.1881
2310.0,0.187
2312.0,0.1861
2314.0,0.1857
2316.0,0.1845
2318.0,0.1837
2320.0,0.1832
2322.0,0.1826
2324.0,0.1808
2326.0,0.1787
2328.0,0.1776
2330.0,0.1771
2332.0,0.1771
2334.0,0.1764
2336.0,0.1754
2338.0,0.17350000000000002
2340.0,0.1723
2342.0,0.1718
2344.0,0.17010000000000003
2346.0,0.16940000000000002
2348.0,0.1691
2350.0,0.16940000000000002
2352.0,0.1691
2354.0,0.16829999999999998
2356.0,0.16760000000000003
2358.0,0.16760000000000003
2360.0,0.16820000000000002
2362.0,0.1684
2364.0,0.1679
2366.0,0.1678
2368.0,0.1679
2370.0,0.16690000000000002
2372.0,0.1659
2374.0,0.1654
2376.0,0.165
2378.0,0.1641
2380.0,0.1632
2382.0,0.1631
2384.0,0.1623
2386.0,0.1624
2388.0,0.1629
2390.0,0.16390000000000002
2392.0,0.1632
2394.0,0.16269999999999998
2396.0,0.1625
2398.0,0.163
2400.0,0.1638
2402.0,0.1638
2404.0,0.16399999999999998
2406.0,0.1632
2408.0,0.1623
2410.0,0.16149999999999998
2412.0,0.1603
2414.0,0.1592
2416.0,0.1582
2418.0,0.1575
2420.0,0.1566
2422.0,0.1573
2424.0,0.1566
2426.0,0.155
2428.0,0.1534
2430.0,0.1523
2432.0,0.15130000000000002
2434.0,0.14980000000000002
2436.0,0.1482
2438.0,0.1463
2440.0,0.1447
2442.0,0.1446
2444.0,0.14429999999999998
2446.0,0.1441
2448.0,0.1424
2450.0,0.1424
2452.0,0.14300000000000002
2454.0,0.1434
2456.0,0.14279999999999998
2458.0,0.1416
2460.0,0.14150000000000001
2462.0,0.142
2464.0,0.142
2466.0,0.1414
2468.0,0.1409
2470.0,0.1406
2472.0,0.1414
2474.0,0.142
2476.0,0.1416
2478.0,0.14029999999999998
2480.0,0.1401
2482.0,0.1394
2484.0,0.139
2486.0,0.13849999999999998
2488.0,0.1382
2490.0,0.1375
2492.0,0.1368
2494.0,0.1368
2496.0,0.1375
2498.0,0.1375
2500.0,0.1367
